Filename,Extracted Values
X8Y4RCC3,
X8Y4RCN0,
X8Y4RE7S,
X8Y4REEP,
X8Y4REMA,
X8Y4RFD6,
X8Y4RG7U,"{'Current assets': 'nan', 'Cash at bank and in hand': '100', 'Net assets': '100', 'Issued share capital': 'nan', '100 Ordinary Shares 1 of Â£ each': 'nan', 'Total Shareholder funds': '100'}"
X8Y4RGAB,
X8Y4RH9C,"{'Current assets': 'nan', 'Cash at bank and in hand': '100'}"
X8Y4RHX7,{'Current assets': 'nan'}
X8Y4RI3S,
X8Y4RJKJ,
X8Y4RKWI,
X8Y4RL0B,
X8Y4RLJL,"{'Called up share capital not paid': '100', 'Net assets': '100', 'Total Shareholder funds': '100'}"
X8Y4RLLM,
X8Y4RM48,
X8Y4RM4W,
X8Y4RM8X,
X8Y4RMKR,
X8Y4RP2J,
X8Y4RPRV,
X8Y4RPXC,
X8Y4RQMB,
X8Y4RR01,
X8Y4RREB,"{'Current assets': 'nan', 'Cash at bank and in hand': '100', 'Net assets': '100', 'Issued share capital': 'nan', '100 Ordinary Shares 1 of Â£ each': 'nan', 'Total Shareholder funds': '100'}"
X8Y4RSXR,
X8Y4RTW8,
X8Y4RU81,
X8Y4RUDE,"{'Current assets': 'nan', 'Cash at bank and in hand': '100', 'Net assets': '100', 'Issued share capital': 'nan', 'Total Shareholder funds': '100'}"
X8Y4RUPK,
X8Y4RV3M,
X8Y4RVQH,
X8Y4RWLD,
X8Y4RX03,
X8Y4RX54,
X8Y4RXDD,
X8Y4RYWX,
X8Y4RZAZ,
X8Y4RZKO,
X8Y4RZMH,
X8Y4S037,
X8Y4S08G,
X8Y4S1CP,
X8Y4S1RV,
X8Y4S2W9,
X8Y4S3MP,
X8Y4S3PL,
X8Y4S3QX,
X8Y4S3RE,
X8Y4S3T6,
X8Y4S3TU,
X8Y4S3VE,
X8Y4S41N,
X8Y4S4OI,
X8Y4S57L,
X8Y4S66I,
X8Y4S6AA,
X8Y4S7YB,
X8Y4S8TF,
X8Y4S969,"{'Called up share capital not paid': '100', 'Current assets': 'nan', 'Cash at bank and in hand': '100', 'Net assets': '100', 'Issued share capital': 'nan'}"
X8Y4S9F6,
X8Y4SA4Q,
X8Y4SBPU,
X8Y4SDBE,"{'Current assets': 'nan', 'Cash at bank and in hand': '100', 'Net assets': '100', 'Issued share capital': 'nan', '100 Ordinary Shares 1 of Â£ each': 'nan', 'Total Shareholder funds': '100'}"
X8Y4SE57,"{'Called up share capital not paid': '100', 'Net assets': '100', 'Total Shareholder funds': '100'}"
X8Y4SESG,
X8Y4SEYR,
X8Y4SF81,
X8Y4SFA1,
X8Y4SFD5,
X8Y4SFR7,{'Called up share capital not paid': '100'}
X8Y4SHTK,"{'Current assets': 'nan', 'Cash at bank and in hand': '1', 'Net assets': '1', 'Issued share capital': 'nan', '1 Ordinary Share 1 of Â£ each': '1', 'Total Shareholder funds': '1'}"
X8Y4SINS,
X8Y4SIQW,
X8Y4SJNN,
X8Y4SKV5,"{'Called up share capital not paid': '100', 'Net assets': '100', 'Total Shareholder funds': '100'}"
X8Y4SLB7,"{'Current assets': 'nan', 'Cash at bank and in hand': '1', 'Net assets': '1', 'Issued share capital': 'nan', '1 Ordinary Share 1 of Â£ each': '1', 'Total Shareholder funds': '1'}"
X8Y4SLGQ,
X8Y4SMXM,"{'Current assets': 'nan', 'Cash at bank and in hand': '100', 'Net assets': '100', 'Issued share capital': 'nan', '100 Ordinary Shares 1 of Â£ each': 'nan', 'Total Shareholder funds': '100'}"
X8Y4SNUY,"{'Current assets': 'nan', 'Cash at bank and in hand': '1', 'Net assets': '1', 'Issued share capital': 'nan', '1 Ordinary Share 1 of Â£ each': '1', 'Total Shareholder funds': '1'}"
X8Y4SNXT,
X8Y4SOZS,{'Current Assets': 'nan'}
X8Y4SP1S,
X8Y4SP28,"{'Current assets': 'nan', 'Cash at bank and in hand': '1', 'Net assets': '1', 'Issued share capital': 'nan', '1 Ordinary Share 1 of Â£ each': '1', 'Total Shareholder funds': '1'}"
X8Y4SP8R,
X8Y4SPSO,
X8Y4SR0I,
X8Y4SRG8,
X8Y4SRGR,
X8Y4STP4,
X8Y4STUZ,
X8Y4SWO1,
X8Y4SWQ1,"{'Called up share capital not paid': '100', 'Net assets': '100', 'Total Shareholder funds': '100'}"
X8Y4SWQH,
X8Y4SXX7,
X8Y4SXZU,
X8Y4SYH4,"{'Current assets': 'nan', 'Cash at bank and in hand': '100', 'Net assets': '100', 'Issued share capital': 'nan', '100 Ordinary Shares 1 of Â£ each': 'nan', 'Total Shareholder funds': '100'}"
X8Y4SZ5L,
X8Y4SZOY,
X8Y4T0LT,
X8Y4T1Q0,
X8Y4T2MJ,"{'Current assets': 'nan', 'Cash at bank and in hand': '1', 'Net assets': '1', 'Issued share capital': 'nan', '1 Ordinary Share 1 of Â£ each': '1', 'Total Shareholder funds': '1'}"
X8Y4T2OB,
X8Y4T3KA,
X8Y4T68H,
X8Y4T6GG,"{'Current assets': 'nan', 'Cash at bank and in hand': '1', 'Net assets': '1', 'Issued share capital': 'nan', '1 Ordinary Share 1 of Â£ each': '1', 'Total Shareholder funds': '1'}"
X8Y4T6RU,
X8Y4T6W9,
X8Y4T788,
X8Y4T78O,"{'Current assets': 'nan', 'Cash at bank and in hand': '1', 'Net assets': '1', 'Issued share capital': 'nan', '1 Ordinary Share 1 of Â£ each': '1', 'Total Shareholder funds': '1'}"
X8Y4T8NS,
X8Y4T8P4,"{'Current assets': 'nan', 'Cash at bank and in hand': '1', 'Net assets': '1', 'Issued share capital': 'nan', '1 Ordinary Share 1 of Â£ each': '1', 'Total Shareholder funds': '1'}"
X8Y4T8PC,"{'Current assets': 'nan', 'Cash at bank and in hand': '100', 'Net assets': '100', 'Issued share capital': 'nan', 'Total Shareholder funds': '100'}"
X8Y4T9BL,
X8Y4TAXD,"{'Called up share capital not paid': '100', 'Net assets': '100', '100 Ordinary Shares 1 of Â£ each': 'nan', 'Total Shareholder funds': '100'}"
X8Y4TBSP,
X8Y4TCB6,
X8Y4TCWB,
X8Y4TD22,
X8Y4TD2I,"{'Called up share capital not paid': '100', 'Net assets': '100', 'Total Shareholder funds': '100'}"
X8Y4TDK0,
X8Y4TDOJ,"{'Current assets': 'nan', 'Cash at bank and in hand': '1', 'Net assets': '1', 'Issued share capital': 'nan', 'Total Shareholder funds': '1'}"
X8Y4TFAZ,
X8Y4TG1N,
X8Y4TGYA,
X8Y4TGZ6,
X8Y4THD4,
X8Y4TJ1O,
X8Y4TJ1S,
X8Y4TKGH,"{'Called up share capital not paid': '100', 'Net assets': '100', '100 Ordinary Shares 1 of Â£ each': 'nan', 'Total Shareholder funds': '100'}"
X8Y4TKLK,"{'Called up share capital not paid': '100', 'Net assets': '100', 'Total Shareholder funds': '100'}"
X8Y4TKPN,
X8Y4TLIR,
X8Y4TOYI,
X8Y4TQB7,
X8Y4TQBN,
X8Y4TU43,"{'Called up share capital not paid': '100', 'Current assets': 'nan', 'Cash at bank and in hand': '100', 'Net assets': '100', 'Issued share capital': 'nan'}"
X8Y4TUMQ,"{'Called up share capital not paid': '100', 'Current assets': 'nan', 'Cash at bank and in hand': '100', 'Net assets': '100', 'Issued share capital': 'nan'}"
X8Y4TUOQ,
X8Y4TUUB,"{'Called up share capital not paid': '100', 'Current assets': 'nan', 'Cash at bank and in hand': '100', 'Net assets': '100', 'Issued share capital': 'nan'}"
X8Y4TV08,"{'Called up share capital not paid': '100', 'Current assets': 'nan', 'Cash at bank and in hand': '100', 'Net assets': '100', 'Issued share capital': 'nan'}"
X8Y4TV40,
X8Y4TVGA,"{'Called up share capital not paid': '100', 'Current assets': 'nan', 'Cash at bank and in hand': '100', 'Net assets': '100', 'Issued share capital': 'nan'}"
X8Y4TVKZ,
X8Y4TW66,"{'Called up share capital not paid': '100', 'Net assets': '100', 'Total Shareholder funds': '100'}"
X8Y4TXQQ,
X8Y4TYE1,
X8Y4TYSR,
X8Y4TZRK,
X8Y4TZVK,"{'Called up share capital not paid': '100', 'Net assets': '100', '100 Ordinary Shares 1 of Â£ each': 'nan', 'Total Shareholder funds': '100'}"
X8Y4U0G3,"{'Current assets': 'nan', 'Cash at bank and in hand': '1'}"
X8Y4U0RL,
X8Y4U0TL,"{'Current assets': 'nan', 'Cash at bank and in hand': '100', 'Net assets': '100', 'Issued share capital': 'nan', 'Total Shareholder funds': '100'}"
X8Y4U0VT,
X8Y4U2BD,"{'Called up share capital not paid': '100', 'Net assets': '100', '100 Ordinary Shares 1 of Â£ each': 'nan', 'Total Shareholder funds': '100'}"
X8Y4U37L,"{'Called up share capital not paid': '100', 'Net assets': '100', '100 Ordinary Shares 1 of Â£ each': 'nan', 'Total Shareholder funds': '100'}"
X8Y4U3IJ,
X8Y4U3UP,"{'Current assets': 'nan', 'Cash at bank and in hand': '100', 'Net assets': '100', 'Issued share capital': 'nan', '100 Ordinary Shares 1 of Â£ each': 'nan', 'Total Shareholder funds': '100'}"
X8Y4U4O1,
X8Y4U4ZM,"{'Current assets': 'nan', 'Cash at bank and in hand': '1', 'Net assets': '1', 'Issued share capital': 'nan', '1 Ordinary Share 1 of Â£ each': '1', 'Total Shareholder funds': '1'}"
X8Y4U51F,
X8Y4U5TV,
X8Y4U6QJ,
X8Y4U77U,"{'Current assets': 'nan', 'Cash at bank and in hand': '1', 'Net assets': '1', 'Issued share capital': 'nan', 'Total Shareholder funds': '1'}"
X8Y4U81M,
X8Y4U856,
X8Y4U8BF,
X8Y4U8V6,"{'Current assets': 'nan', 'Cash at bank and in hand': '1', 'Net assets': '1', 'Issued share capital': 'nan', 'Total Shareholder funds': '1'}"
X8Y4U8YA,"{'Called up share capital not paid': '100', 'Current assets': 'nan', 'Cash at bank and in hand': '100', 'Net assets': '100', 'Issued share capital': 'nan'}"
X8Y4U963,
X8Y4U974,
X8Y4U9G1,
X8Y4UBJF,"{'Current assets': 'nan', 'Cash at bank and in hand': '1', 'Net assets': '1', 'Issued share capital': 'nan', 'Total Shareholder funds': '1'}"
X8Y4UBL0,
X8Y4UBMG,
X8Y4UC77,"{'Current assets': 'nan', 'Cash at bank and in hand': '100', 'Net assets': '100', 'Issued share capital': 'nan', '100 Ordinary Shares 1 of Â£ each': 'nan', 'Total Shareholder funds': '100'}"
X8Y4UCJL,
X8Y4UCQQ,
X8Y4UDKA,
X8Y4UDNM,
X8Y4UDTN,
X8Y4UECQ,
X8Y4UESO,
X8Y4UEZT,
X8Y4UF29,
X8Y4UF5E,
X8Y4UFO8,
X8Y4UFZM,
X8Y4UGJT,
X8Y4UGVM,
X8Y4UI1O,
X8Y4UI8P,
X8Y4UJ1T,
X8Y4UKE8,{'Called up share capital not paid': '100'}
X8Y4UKFK,"{'Current assets': 'nan', 'Cash at bank and in hand': '1', 'Net assets': '1', 'Issued share capital': 'nan', 'Total Shareholder funds': '1'}"
X8Y4UKFS,
X8Y4UL4G,
X8Y4UL6O,
X8Y4ULBL,
X8Y4ULYO,
X8Y4UMQ0,
X8Y4UN56,
X8Y4UNU2,
X8Y4UNWI,"{'Called up share capital not paid': '100', 'Net assets': '100', '100 Ordinary Shares 1 of Â£ each': 'nan', 'Total Shareholder funds': '100'}"
X8Y4UOIX,
X8Y4UOLU,
X8Y4UPU8,
X8Y4UQ41,
X8Y4URUI,
X8Y4URYJ,"{'Called up share capital not paid': '100', 'Net assets': '100', '100 Ordinary Shares 1 of Â£ each': 'nan', 'Total Shareholder funds': '100'}"
X8Y4USA0,
X8Y4UT0O,
X8Y4UT4O,
X8Y4UT6H,"{'Current assets': 'nan', 'Cash at bank and in hand': '100', 'Net assets': '100', 'Issued share capital': 'nan', '100 Ordinary Shares 1 of Â£ each': 'nan', 'Total Shareholder funds': '100'}"
X8Y4UU5U,
X8Y4UUKG,
X8Y4UVSY,"{'Current assets': 'nan', 'Cash at bank and in hand': '1', 'Net assets': '1', 'Issued share capital': 'nan', '1 Ordinary Share 1 of Â£ each': '1', 'Total Shareholder funds': '1'}"
X8Y4UWY8,
X8Y4UX4H,
X8Y4UX4P,
X8Y4UZY3,
X8Y4V0F5,
X8Y4V15T,
X8Y4V20P,
X8Y4V357,
X8Y4V3VF,
X8Y4V4OJ,
X8Y4V4PZ,"{'Called up share capital not paid': '100', 'Net assets': '100', 'Total Shareholder funds': '100'}"
X8Y4V5QG,
X8Y4V6A3,
X8Y4V6N5,
X8Y4V6QP,
X8Y4V8QX,
X8Y4V99N,"{'Called up share capital not paid': '100', 'Current assets': 'nan', 'Cash at bank and in hand': '100', 'Net assets': '100', 'Issued share capital': 'nan'}"
X8Y4VBTE,
X8Y4VCSX,
X8Y4VEBL,
X8Y4VEGH,
X8Y4VEGP,
X8Y4VFQQ,
X8Y4VG20,"{'Called up share capital not paid': '100', 'Net assets': '100', 'Total Shareholder funds': '100'}"
X8Y4VGOP,"{'Called up share capital not paid': '100', 'Current assets': 'nan', 'Cash at bank and in hand': '100', 'Net assets': '100', 'Issued share capital': 'nan'}"
X8Y4VH6B,
X8Y4VHCY,
X8Y4VHOG,
X8Y4VIGO,
X8Y4VIS3,
X8Y4VJ5T,
X8Y4VJF3,
X8Y4VL1F,
X8Y4VLLC,
X8Y4VMKJ,
X8Y4VNMA,
X8Y4VOB7,
X8Y4VOCB,
X8Y4VOS8,
X8Y4VPEP,"{'Current assets': 'nan', 'Cash at bank and in hand': '100', 'Net assets': '100', 'Issued share capital': 'nan', 'Total Shareholder funds': '100'}"
X8Y4VQ55,
X8Y4VR7S,
X8Y4VRIA,
X8Y4VS77,
X8Y4VSM1,
X8Y4VSM9,
X8Y4VTL4,
X8Y4VTZ6,
X8Y4W2I3,
X8Y4W2YH,
X8Y4W2YW,"{'Called up share capital not paid': '100', 'Net assets': '100', 'Total Shareholder funds': '100'}"
X8Y4W3ZF,
X8Y4W423,
X8Y4W4EP,
X8Y4W6ER,
X8Y4W7RS,
X8Y4W7ZV,
X8Y4W876,
X8Y4W8G9,
X8Y4W91U,
X8Y4WAVC,
X8Y4WB00,
X8Y4WDTE,
X8Y4WDW9,
X8Y4WFEP,"{'Current assets': 'nan', 'Cash at bank and in hand': '100', 'Net assets': '100', 'Issued share capital': 'nan', '100 Ordinary Shares 1 of Â£ each': 'nan', 'Total Shareholder funds': '100'}"
X8Y4WFMO,"{'Current assets': 'nan', 'Cash at bank and in hand': '100', 'Net assets': '100', 'Issued share capital': 'nan', 'Total Shareholder funds': '100'}"
X8Y4WHBC,"{'Called up share capital not paid': '100', 'Current assets': 'nan', 'Cash at bank and in hand': '100', 'Net assets': '100', 'Issued share capital': 'nan'}"
X8Y4WHHN,
X8Y4WJGP,
X8Y4WJNS,
X8Y4WJSR,
X8Y4WKMB,
