TITLE,RESTAURANT_ID,CUISINES,TIME,CITY,LOCALITY,RATING,VOTES,COST,,,,,,,,,,,,,,,,,,,
CASUAL,7051,South,9,Andheri West,Andheri,3.9,739,700,,,,,,,,,,,,,,,,,,,
QUICK,5349,North,12,Bangalore,Rajajinagar,3.7,34,350,,,,,,,,,,,,,,,,,,,
QUICK,688,Chinese,0:00,Bangalore,Banaswadi,3.7,66,400,,,,,,,,,,,,,,,,,,,
CAFÉ,13334,Cafe,10,Kochi,Panampilly,3.8,31,400,,,,,,,,,,,,,,,,,,,
QUICK,2257,Italian,12,New Delhi,Rajinder,3.3,20,400,,,,,,,,,,,,,,,,,,,
QUICK,6172,South,6,Hyderabad,Tarnaka,3.6,219,300,,,,,,,,,,,,,,,,,,,
CASUAL,4963,Kerala,12,682036,Kerala,4.0,145,400,,,,,,,,,,,,,,,,,,,
CASUAL,638,North,7,Chennai,T.,3.9,196,800,,,,,,,,,,,,,,,,,,,
CASUAL,7600,Seafood,0:00,Bangalor,Jalahalli,3.6,18,600,,,,,,,,,,,,,,,,,,,
CASUAL,3216,Chinese,12,New Delhi,Greater,3.6,593,1100,,,,,,,,,,,,,,,,,,,
QUICK,7841,North,11,Kochi,Kalamassery,NEW,,200,,,,,,,,,,,,,,,,,,,
QUICK,6335,South,7,Bangalore,Kengeri,4.0,87,200,,,,,,,,,,,,,,,,,,,
BEVERAGE,8750,Beverages,12,Mumbai,Mazgaon,3.7,69,300,,,,,,,,,,,,,,,,,,,
CASUAL,10976,South,0:00,Chennai,Triplicane,4.3,1025,300,,,,,,,,,,,,,,,,,,,
QUICK,11999,Arabian,11,Bangalore,BTM,3.4,6,100,,,,,,,,,,,,,,,,,,,
CASUAL,13569,North,0:00,Mumbai,Kalwa,4.3,1185,850,,,,,,,,,,,,,,,,,,,
CASUAL,15483,European,7,Kochi,Mattancherry,3.3,4,2500,,,,,,,,,,,,,,,,,,,
None,11096,Pizza,11,New Delhi,Kalkaji,NEW,,200,,,,,,,,,,,,,,,,,,,
SWEET,5186,Mithai,0:00,Bangalore,BTM,4.0,225,200,,,,,,,,,,,,,,,,,,,
QUICK,2787,North,0:00,New Delhi,Rohini,3.6,53,200,,,,,,,,,,,,,,,,,,,
CASUAL,10614,North,12,Mumbai,Kurla,4.3,380,1800,,,,,,,,,,,,,,,,,,,
QUICK,8887,Fast,11,New Delhi,Satyaniketan,4.0,405,150,,,,,,,,,,,,,,,,,,,
CASUAL,10327,Pizza,11,Mumbai,Kandivali,4.3,1920,650,,,,,,,,,,,,,,,,,,,
DESSERT,8155,Desserts,0:00,Hyderabad,Dilsukhnagar,3.5,101,200,,,,,,,,,,,,,,,,,,,
BAKERY,2646,Bakery,10,Hyderabad,Gachibowli,3.1,145,300,,,,,,,,,,,,,,,,,,,
QUICK,7173,Rolls,0:00,Bangalore,Electronic,3.4,72,400,,,,,,,,,,,,,,,,,,,
BEVERAGE,7739,Beverages,10,Bangalore,Kengeri,3.9,8,150,,,,,,,,,,,,,,,,,,,
QUICK,1795,Fast,7,Mumbai,Bhayandar,3.8,105,350,,,,,,,,,,,,,,,,,,,
CASUAL,5287,Kerala,9,Navi Mumbai,Nerul,4.0,284,500,,,,,,,,,,,,,,,,,,,
QUICK,13173,North,7,Bangalore,City,3.8,73,400,,,,,,,,,,,,,,,,,,,
BAKERY,5684,Bakery,10,Bandra West,Pali,4.0,545,500,,,,,,,,,,,,,,,,,,,
None,1100,Chinese,12,New Delhi,East,4.2,1120,1500,,,,,,,,,,,,,,,,,,,
FINE,4212,Asian,12,Gurgaon,Sector,4.0,416,3500,,,,,,,,,,,,,,,,,,,
QUICK,12657,North,Closed,Bangalore,Vijay,-,,300,,,,,,,,,,,,,,,,,,,
QUICK,3461,North,9,Delhi,Uttam,3.8,164,400,,,,,,,,,,,,,,,,,,,
QUICK,3328,Arabian,11,Kochi,Near,3.1,4,400,,,,,,,,,,,,,,,,,,,
CASUAL,9136,North,11,Bangalore,Koramangala,3.7,166,500,,,,,,,,,,,,,,,,,,,
QUICK,9039,Kerala,8,Kochi,Kaloor,4.1,175,300,,,,,,,,,,,,,,,,,,,
CASUAL,7713,Thai,11,Bangalore,New,4.1,70,800,,,,,,,,,,,,,,,,,,,
QUICK,9565,Chinese,1,Hyderabad,Kacheguda,4.0,61,300,,,,,,,,,,,,,,,,,,,
CASUAL,2340,Chinese,0:00,Mumbai,Near,3.9,1054,700,,,,,,,,,,,,,,,,,,,
None,7400,Italian,9,Bangalore,BTM,3.4,15,300,,,,,,,,,,,,,,,,,,,
CAFÉ,2768,Cafe,11,New Delhi,Delhi,3.9,691,750,,,,,,,,,,,,,,,,,,,
CAFÉ,9952,Cafe,0:00,Hyderabad,Lingampally,4.2,148,500,,,,,,,,,,,,,,,,,,,
CASUAL,10884,Fast,11,Chennai,Nanganallur,3.8,221,700,,,,,,,,,,,,,,,,,,,
CASUAL,1177,North,12,Bangalore,Church,3.9,228,950,,,,,,,,,,,,,,,,,,,
QUICK,3055,Biryani,Closed,Bangalore,Rajajinagar,3.8,302,400,,,,,,,,,,,,,,,,,,,
BAR,13495,North,11,Bangalore,Koramangala,3.7,23,800,,,,,,,,,,,,,,,,,,,
BAKERY,4933,Bakery,9,Chennai,Anna,3.8,66,400,,,,,,,,,,,,,,,,,,,
BEVERAGE,13927,Juices,10,Chennai,Poonamalle,3.4,19,250,,,,,,,,,,,,,,,,,,,
None,14529,Burger,11,Chennai,Purasaiwalkam,3.5,27,200,,,,,,,,,,,,,,,,,,,
CASUAL,6413,Hyderabadi,12,Bangalore,Whitefield,4.0,284,800,,,,,,,,,,,,,,,,,,,
QUICK,10156,Kerala,11,Kochi,Marine,2.7,119,350,,,,,,,,,,,,,,,,,,,
CASUAL,2843,Malwani,0:00,Mumbai,Dadar,4.3,1259,700,,,,,,,,,,,,,,,,,,,
CASUAL,405,Mediterranean,0:00,Bangalore,Kalyan,4.2,789,1400,,,,,,,,,,,,,,,,,,,
QUICK,8787,Fast,8,Kochi,Kakkanad,3.4,159,300,,,,,,,,,,,,,,,,,,,
BAKERY,7776,Bakery,7,Bangalore,BTM,4.0,17,450,,,,,,,,,,,,,,,,,,,
CASUAL,6902,North,12,Kochi,Kakkanad,4.1,180,250,,,,,,,,,,,,,,,,,,,
QUICK,1627,South,11,Chennai,Kodambakkam,3.7,40,500,,,,,,,,,,,,,,,,,,,
CASUAL,7095,Gujarati,0:00,Mumbai,Borivali,NEW,,800,,,,,,,,,,,,,,,,,,,
QUICK,2657,Mexican,11,Gurgaon,Sohna,3.7,55,500,,,,,,,,,,,,,,,,,,,
CASUAL,3739,Chinese,7,Hyderabad,LIngampally,3.6,45,500,,,,,,,,,,,,,,,,,,,
CAFÉ,2478,Cafe,0:00,Bangalore,Kalyan,4.1,610,700,,,,,,,,,,,,,,,,,,,
QUICK,4634,Burger,11,Bangalore,JP,4.0,66,300,,,,,,,,,,,,,,,,,,,
None,2806,North,11,Noida,Sector,3.4,260,400,,,,,,,,,,,,,,,,,,,
QUICK,8091,North,11,New Delhi,Dwarka,NEW,,500,,,,,,,,,,,,,,,,,,,
None,15562,Healthy,7,Gurgaon,MG,4.4,702,500,,,,,,,,,,,,,,,,,,,
QUICK,11340,Chinese,8,Mumbai,Kandivali,3.8,234,450,,,,,,,,,,,,,,,,,,,
QUICK,4993,North,0:00,Bangalore-560066,Whitefield,NEW,,150,,,,,,,,,,,,,,,,,,,
None,119,Mithai,8,Bangalore,HSR,3.6,55,150,,,,,,,,,,,,,,,,,,,
BAKERY,10122,Bakery,10,Secunderabad,Uppal,3.6,75,300,,,,,,,,,,,,,,,,,,,
CASUAL,4506,North,11,Mumbai,Vasai,4.2,1126,1100,,,,,,,,,,,,,,,,,,,
BAKERY,2633,Bakery,9,Mumbai,Jogeshwari,3.3,6,400,,,,,,,,,,,,,,,,,,,
BAR,4214,Italian,12,New Delhi,Connaught,4.3,1293,1600,,,,,,,,,,,,,,,,,,,
CAFÉ,2431,Cafe,10,Kochi,Elamkulam,3.1,10,400,,,,,,,,,,,,,,,,,,,
CASUAL,10830,Arabian,12,Bangalore,Kammanahalli,3.9,261,450,,,,,,,,,,,,,,,,,,,
CASUAL,9576,North,0:00,Mumbai,Kandivali,3.7,541,1300,,,,,,,,,,,,,,,,,,,
None,9101,North,12,,,3.6,728,500,,,,,,,,,,,,,,,,,,,
BEVERAGE,4940,Beverages,11,Andheri West,Shastri,4.2,317,200,,,,,,,,,,,,,,,,,,,
QUICK,4958,Pizza,5,Hyderabad,Kothapet,3.9,74,400,,,,,,,,,,,,,,,,,,,
QUICK,9057,North,0:00,New Delhi,JNU,4.0,331,400,,,,,,,,,,,,,,,,,,,
FOOD,5171,Desserts,11,Hyderabad,Hitech,3.8,52,180,,,,,,,,,,,,,,,,,,,
CASUAL,14310,Thai,12,Bangalore,MG,3.9,1956,2100,,,,,,,,,,,,,,,,,,,
QUICK,10311,Chinese,11,India,Telangana,3.5,92,250,,,,,,,,,,,,,,,,,,,
CASUAL,13962,North,7,Bangalore,Banashankari,3.9,912,750,,,,,,,,,,,,,,,,,,,
CASUAL,8397,North,12,Bangalore,JP,4.1,1326,1200,,,,,,,,,,,,,,,,,,,
QUICK,15149,North,0:00,New Delhi,Shahdara,3.8,230,550,,,,,,,,,,,,,,,,,,,
CASUAL,8977,North,12,New Delhi,Greater,3.8,49,1800,,,,,,,,,,,,,,,,,,,
QUICK,12374,Fast,12,Hyderabad,Nizampet,3.5,79,350,,,,,,,,,,,,,,,,,,,
CAFÉ,7757,Cafe,8,Mumbai,Marol,3.8,118,600,,,,,,,,,,,,,,,,,,,
QUICK,14194,Fast,11,Chennai,Potheri,3.7,16,300,,,,,,,,,,,,,,,,,,,
CASUAL,1266,North,0:00,Bangalore,Indiranagar,4.0,402,650,,,,,,,,,,,,,,,,,,,
BAR,13566,Continental,12,Mumbai,Breach,3.9,462,1500,,,,,,,,,,,,,,,,,,,
None,1731,North,12,Mumbai,4,4.7,226,350,,,,,,,,,,,,,,,,,,,
QUICK,4634,Fast,1,Bangalore,Indiranagar,3.7,78,200,,,,,,,,,,,,,,,,,,,
LOUNGE,12989,Continental,12,New Delhi,Rajouri,4.2,481,1100,,,,,,,,,,,,,,,,,,,
CASUAL,6440,Biryani,12,Bangalore,Electronic,4.0,1404,600,,,,,,,,,,,,,,,,,,,
BAKERY,2641,Bakery,10,Madhuranagar,Behind,3.5,32,300,,,,,,,,,,,,,,,,,,,
FINE,8167,South,0:00,Chennai Teynampet,Teynampet,4.2,288,1800,,,,,,,,,,,,,,,,,,,
None,13098,South,8,Hyderabad,Madhapur,3.3,164,350,,,,,,,,,,,,,,,,,,,
CASUAL,5123,North,11,Bangalore,Rajarajeshwari,3.8,34,700,,,,,,,,,,,,,,,,,,,
QUICK,9309,Fast,10,Mumbai,Near,4.0,201,150,,,,,,,,,,,,,,,,,,,
QUICK,6352,Chinese,0:00,Secunderabad,S,3.7,58,600,,,,,,,,,,,,,,,,,,,
QUICK,15440,Fast,1,Hyderabad,Mehdipatnam,4.0,176,300,,,,,,,,,,,,,,,,,,,
QUICK,6302,South,6,Kochi,Vyttila,-,,400,,,,,,,,,,,,,,,,,,,
CASUAL,6213,Chinese,5,Hyderabad,Saroor,3.7,770,600,,,,,,,,,,,,,,,,,,,
CASUAL,5269,North,0:00,Mumbai,Juhu,4.2,888,900,,,,,,,,,,,,,,,,,,,
CASUAL,3260,Biryani,0:00,Hyderabad,Manikonda,2.5,241,700,,,,,,,,,,,,,,,,,,,
None,7280,North,11,New Delhi,Punjabi,3.8,227,600,,,,,,,,,,,,,,,,,,,
BAKERY,2045,Bakery,0:00,Chennai,K.K.,3.7,39,500,,,,,,,,,,,,,,,,,,,
CASUAL,12080,South,8,Mumbai,Kandivali,3.4,162,500,,,,,,,,,,,,,,,,,,,
CASUAL,5140,Finger,12,Chennai,Thousand,3.9,211,1500,,,,,,,,,,,,,,,,,,,
BAKERY,1366,Bakery,9,Kochi,Aluva,3.5,14,200,,,,,,,,,,,,,,,,,,,
QUICK,10292,American,11,Mumbai,Malad,NEW,,300,,,,,,,,,,,,,,,,,,,
QUICK,12742,Chinese,11,Hyderabad,Nallakunta,3.7,73,300,,,,,,,,,,,,,,,,,,,
CASUAL,4242,American,7,Bandra West,Pali,4.1,1942,1100,,,,,,,,,,,,,,,,,,,
QUICK,2403,Chinese,11,Bangalore,Jeevan,4.1,510,300,,,,,,,,,,,,,,,,,,,
CASUAL,6100,Chinese,7,Hyderabad,Manikonda,3.1,46,400,,,,,,,,,,,,,,,,,,,
CASUAL,14143,Continental,1,Mumbai,Vasai,4.3,1078,700,,,,,,,,,,,,,,,,,,,
LOUNGE,14908,Pizza,5,Chennai,Ramapuram,3.9,71,1200,,,,,,,,,,,,,,,,,,,
None,5663,Chinese,12,New Delhi,Vasant,4.0,911,600,,,,,,,,,,,,,,,,,,,
None,2030,Sandwich,8,Mumbai,Fort,3.4,16,400,,,,,,,,,,,,,,,,,,,
CASUAL,10964,North,12,Kochi,Fort,4.2,99,1000,,,,,,,,,,,,,,,,,,,
CASUAL,11760,Chinese,1,Mumbai,Mira,3.8,74,600,,,,,,,,,,,,,,,,,,,
BEVERAGE,2680,Juices,0:00,Bangalore,Jayanagar,4.1,88,100,,,,,,,,,,,,,,,,,,,
QUICK,11288,South,6,Hyderabad,Abids,4.3,518,150,,,,,,,,,,,,,,,,,,,
CASUAL,14064,Indian,12,Kochi,Vennala,-,,400,,,,,,,,,,,,,,,,,,,
BAKERY,2462,Bakery,0:00,Hyderabad,Lakdikapul,4.5,756,150,,,,,,,,,,,,,,,,,,,
BAKERY,14515,Bakery,10,Hyderabad,Panjagutta,3.5,60,400,,,,,,,,,,,,,,,,,,,
QUICK,1984,North,12,New Delhi,Rohini,3.1,22,650,,,,,,,,,,,,,,,,,,,
CAFÉ,7941,Coffee,0:00,Hyderabad,Dilsukhnagar,3.5,32,350,,,,,,,,,,,,,,,,,,,
QUICK,10571,South,7,Bangalore,Basaveshwara,4.0,413,400,,,,,,,,,,,,,,,,,,,
CASUAL,1678,North,9,Bangalore,Indiranagar,4.1,1118,700,,,,,,,,,,,,,,,,,,,
QUICK,7609,South,6,Hyderabad,Kukatpally,3.1,83,150,,,,,,,,,,,,,,,,,,,
CASUAL,2004,North,12,Mumbai,Santacruz,4.6,4478,1800,,,,,,,,,,,,,,,,,,,
CASUAL,14306,Continental,11,Mumbai,Vasai,4.1,620,1200,,,,,,,,,,,,,,,,,,,
DESSERT,3411,Desserts,12,Hyderabad,LB,3.9,228,300,,,,,,,,,,,,,,,,,,,
CASUAL,1281,South,8,Kochi,Panampilly,2.8,28,400,,,,,,,,,,,,,,,,,,,
CASUAL,47,North,12,Chennai,Nungambakkam,3.9,248,900,,,,,,,,,,,,,,,,,,,
QUICK,14892,North,12,Chennai,Arumbakkam,3.5,77,300,,,,,,,,,,,,,,,,,,,
DESSERT,122,Desserts,12,Hyderabad,Habsiguda,3.9,185,300,,,,,,,,,,,,,,,,,,,
CAFÉ,2747,Cafe,0:00,Mumbai,Andheri,4.3,569,300,,,,,,,,,,,,,,,,,,,
QUICK,4666,North,11,Bangalore,Marathahalli,NEW,,300,,,,,,,,,,,,,,,,,,,
LOUNGE,6827,North,11,New Delhi,Vijay,4.3,361,1000,,,,,,,,,,,,,,,,,,,
LOUNGE,5646,Continental,11,New Delhi,Hauz,4.6,13500,1300,,,,,,,,,,,,,,,,,,,
CASUAL,9588,Chinese,12,Mumbai,Girgaum,3.8,221,550,,,,,,,,,,,,,,,,,,,
QUICK,12449,Continental,12,Bangalore,Bannerghatta,3.7,15,300,,,,,,,,,,,,,,,,,,,
QUICK,9095,North,0:00,Chennai,Karapakkam,4.0,56,400,,,,,,,,,,,,,,,,,,,
BAKERY,2299,Bakery,9,Bangalore,Banaswadi,3.6,7,200,,,,,,,,,,,,,,,,,,,
BEVERAGE,8743,Juices,10,Hyderabad,Mehdipatnam,3.8,77,200,,,,,,,,,,,,,,,,,,,
CASUAL,15104,Indonesian,12,Hyderabad,Himayath,4.1,872,550,,,,,,,,,,,,,,,,,,,
BAKERY,5206,Bakery,9,Secunderabad,Railway,3.7,62,150,,,,,,,,,,,,,,,,,,,
BAKERY,15062,Bakery,Not,Kochi,Marine,,,200,,,,,,,,,,,,,,,,,,,
None,12329,Beverages,11,Bangalore,Sahakara,3.6,9,300,,,,,,,,,,,,,,,,,,,
QUICK,12135,Gujarati,0:00,Mumbai,Kalbadevi,4.7,1542,1200,,,,,,,,,,,,,,,,,,,
QUICK,9949,Fast,12,Gurgaon,DLF,4.7,339,400,,,,,,,,,,,,,,,,,,,
FINE,4338,North,0:00,New Delhi,Lodhi,3.9,337,3500,,,,,,,,,,,,,,,,,,,
CASUAL,7516,North,12,Mumbai,Bandra,4.1,713,500,,,,,,,,,,,,,,,,,,,
QUICK,1734,Fast,11,New Delhi,Sainik,3.9,141,200,,,,,,,,,,,,,,,,,,,
CASUAL,2756,South,12mid,Mumbai,Bandra,3.8,279,550,,,,,,,,,,,,,,,,,,,
QUICK,7426,South,12,Bangalore,Sahakara,NEW,,300,,,,,,,,,,,,,,,,,,,
CASUAL,1885,European,9,Mumbai,Andheri,4.1,1372,1000,,,,,,,,,,,,,,,,,,,
FOOD,1480,BBQ,0:00,Thane,Ambernath,NEW,,300,,,,,,,,,,,,,,,,,,,
None,12879,Fast,2,New Delhi,Tilak,NEW,,200,,,,,,,,,,,,,,,,,,,
QUICK,12891,Healthy,0:00,New Delhi,Aerocity,3.7,139,500,,,,,,,,,,,,,,,,,,,
BAKERY,9571,Bakery,10,Chennai,Ashok,3.8,93,250,,,,,,,,,,,,,,,,,,,
QUICK,6683,Chinese,11,Chennai,Ramapuram,3.8,191,350,,,,,,,,,,,,,,,,,,,
None,15500,Pizza,11,Mumbai,Lower,4.0,336,400,,,,,,,,,,,,,,,,,,,
CASUAL,4217,Pizza,11,Chennai,Adyar,3.6,445,600,,,,,,,,,,,,,,,,,,,
CASUAL,9701,North,0:00,Chennai,Semmancheri,3.5,25,1000,,,,,,,,,,,,,,,,,,,
FOOD,12024,Hyderabadi,7,Hyderabad,Madhapur,3.5,103,300,,,,,,,,,,,,,,,,,,,
SWEET,385,Mithai,8,New Delhi,Vikaspuri,3.9,106,100,,,,,,,,,,,,,,,,,,,
QUICK,12891,Healthy,11,Mumbai,Mira,3.7,687,500,,,,,,,,,,,,,,,,,,,
QUICK,11743,Chinese,7,Chennai,Kanchipuram,3.8,73,300,,,,,,,,,,,,,,,,,,,
QUICK,11965,South,0:00,Bangalore,HSR,3.7,38,500,,,,,,,,,,,,,,,,,,,
QUICK,1677,Bihari,10,Navi Mumbai,CBD-Belapur,NEW,,250,,,,,,,,,,,,,,,,,,,
QUICK,12713,Fast,12,Hyderabad,Abids,3.6,144,500,,,,,,,,,,,,,,,,,,,
QUICK,11186,Rolls,11,Noida,Sector,3.3,18,200,,,,,,,,,,,,,,,,,,,
CAFÉ,8677,Cafe,24,Bangalore,Mysore,4.0,160,700,,,,,,,,,,,,,,,,,,,
BEVERAGE,3412,Beverages,9,Bangalore,Jayanagar,4.2,844,250,,,,,,,,,,,,,,,,,,,
QUICK,956,Lebanese,0:00,Hyderabad,Madhapur,3.0,121,250,,,,,,,,,,,,,,,,,,,
QUICK,220,South,1,Hyderabad,Toli,3.6,55,250,,,,,,,,,,,,,,,,,,,
CASUAL,792,Andhra,11,Bangalore,Whitefield,3.8,252,550,,,,,,,,,,,,,,,,,,,
QUICK,14990,Kerala,8,Kochi,Near,-,,50,,,,,,,,,,,,,,,,,,,
QUICK,1605,Bengali,Closed,Chennai,Perungudi,4.0,216,300,,,,,,,,,,,,,,,,,,,
CASUAL,3111,Chinese,12,Chennai,Gopalapuram,4.0,442,1200,,,,,,,,,,,,,,,,,,,
QUICK,10052,Maharashtrian,7,Mumbai,Dadar,4.0,92,250,,,,,,,,,,,,,,,,,,,
BAKERY,13623,Bakery,9,Chennai,Navallur,2.8,54,200,,,,,,,,,,,,,,,,,,,
CASUAL,7116,North,11,Hyderabad,Hitech,3.6,301,750,,,,,,,,,,,,,,,,,,,
None,7353,Fast,12,New Delhi,East,3.6,532,400,,,,,,,,,,,,,,,,,,,
None,9486,Biryani,0:00,Hyderabad,Adikmet,2.7,47,350,,,,,,,,,,,,,,,,,,,
CASUAL,5708,Italian,12,Bangalore,Whitefield,4.0,1120,1000,,,,,,,,,,,,,,,,,,,
QUICK,13114,Continental,0:00,Noida,Sector,3.9,69,500,,,,,,,,,,,,,,,,,,,
CASUAL,13538,Continental,0:00,Gurgaon,Golf,4.1,1291,1400,,,,,,,,,,,,,,,,,,,
QUICK,14502,Biryani,12,,Palarivattom,3.4,82,300,,,,,,,,,,,,,,,,,,,
BAKERY,10237,Bakery,10,Faridabad,Sector,3.8,261,400,,,,,,,,,,,,,,,,,,,
QUICK,12370,North,0:00,Hyderabad,Kukatpally,3.3,146,100,,,,,,,,,,,,,,,,,,,
QUICK,7871,Chinese,9,Hyderabad,Begumpet,3.7,41,400,,,,,,,,,,,,,,,,,,,
CASUAL,9825,South,7,Hyderabad,Madhapur,3.4,42,900,,,,,,,,,,,,,,,,,,,
CASUAL,11547,Chettinad,12,Chennai,Virugambakkam,3.6,17,400,,,,,,,,,,,,,,,,,,,
CASUAL,13894,Continental,8,Hyderabad,Kompally,3.8,424,800,,,,,,,,,,,,,,,,,,,
BEVERAGE,6840,Juices,11,Kochi,Edappally,-,,150,,,,,,,,,,,,,,,,,,,
QUICK,6362,Fast,10,Bangalore,Wilson,3.7,22,250,,,,,,,,,,,,,,,,,,,
CAFÉ,5710,Cafe,12,Hyderabad,Madhapur,4.3,1193,500,,,,,,,,,,,,,,,,,,,
QUICK,1780,North,0:00,Chennai,Pallavaram,3.2,106,450,,,,,,,,,,,,,,,,,,,
CASUAL,12223,Continental,12,Mumbai,Borivali,3.8,512,1000,,,,,,,,,,,,,,,,,,,
QUICK,7173,Fast,11,Chennai,Karapakkam,3.9,354,200,,,,,,,,,,,,,,,,,,,
