application_date,segment,case_count
8/5/2018,1,44
8/6/2018,1,90
8/7/2018,1,64
8/8/2018,1,48
8/9/2018,1,51
8/10/2018,1,58
8/11/2018,1,69
8/12/2018,1,45
8/13/2018,1,88
8/14/2018,1,62
8/15/2018,1,26
8/16/2018,1,61
8/17/2018,1,72
8/18/2018,1,55
8/19/2018,1,33
8/20/2018,1,78
8/21/2018,1,92
8/22/2018,1,51
8/23/2018,1,51
8/24/2018,1,70
8/25/2018,1,60
8/26/2018,1,37
8/27/2018,1,82
8/28/2018,1,55
8/29/2018,1,57
8/30/2018,1,66
8/31/2018,1,93
9/1/2018,1,27
9/2/2018,1,0
9/3/2018,1,53
9/4/2018,1,60
9/5/2018,1,65
9/6/2018,1,57
9/7/2018,1,45
9/8/2018,1,55
9/9/2018,1,40
9/10/2018,1,69
9/11/2018,1,167
9/12/2018,1,264
9/13/2018,1,200
9/14/2018,1,177
9/15/2018,1,173
9/16/2018,1,211
9/17/2018,1,100
9/18/2018,1,184
9/19/2018,1,185
9/20/2018,1,115
9/21/2018,1,122
9/22/2018,1,113
9/23/2018,1,114
9/24/2018,1,135
9/25/2018,1,126
9/26/2018,1,114
9/27/2018,1,120
9/28/2018,1,184
9/29/2018,1,200
9/30/2018,1,409
10/1/2018,1,206
10/2/2018,1,1
10/3/2018,1,205
10/4/2018,1,175
10/5/2018,1,228
10/6/2018,1,163
10/7/2018,1,263
10/8/2018,1,272
10/9/2018,1,231
10/10/2018,1,262
10/11/2018,1,260
10/12/2018,1,289
10/13/2018,1,291
10/14/2018,1,468
10/15/2018,1,463
10/16/2018,1,346
10/17/2018,1,151
10/18/2018,1,68
10/19/2018,1,28
10/20/2018,1,145
10/21/2018,1,137
10/22/2018,1,237
10/23/2018,1,230
10/24/2018,1,241
10/25/2018,1,183
10/26/2018,1,178
10/27/2018,1,190
10/28/2018,1,167
10/29/2018,1,197
10/30/2018,1,156
10/31/2018,1,621
11/1/2018,1,2
11/2/2018,1,0
11/3/2018,1,227
11/4/2018,1,317
11/5/2018,1,383
11/6/2018,1,288
11/7/2018,1,170
11/8/2018,1,214
11/9/2018,1,96
11/10/2018,1,216
11/11/2018,1,143
11/12/2018,1,194
11/13/2018,1,185
11/14/2018,1,150
11/15/2018,1,121
11/16/2018,1,155
11/17/2018,1,135
11/18/2018,1,108
11/19/2018,1,174
11/20/2018,1,148
11/21/2018,1,155
11/22/2018,1,122
11/23/2018,1,136
11/24/2018,1,119
11/25/2018,1,112
11/26/2018,1,143
11/27/2018,1,140
11/28/2018,1,149
11/29/2018,1,113
11/30/2018,1,247
12/1/2018,1,48
12/2/2018,1,61
12/3/2018,1,155
12/4/2018,1,131
12/5/2018,1,161
12/6/2018,1,115
12/7/2018,1,130
12/8/2018,1,114
12/9/2018,1,127
12/10/2018,1,186
12/11/2018,1,151
12/12/2018,1,148
12/13/2018,1,124
12/14/2018,1,176
12/15/2018,1,100
12/16/2018,1,98
12/17/2018,1,148
12/18/2018,1,103
12/19/2018,1,113
12/20/2018,1,104
12/21/2018,1,134
12/22/2018,1,109
12/23/2018,1,84
12/24/2018,1,157
12/25/2018,1,122
12/26/2018,1,134
12/27/2018,1,111
12/28/2018,1,149
12/29/2018,1,123
12/30/2018,1,116
12/31/2018,1,257
1/1/2019,1,0
1/2/2019,1,153
1/3/2019,1,110
1/4/2019,1,129
1/5/2019,1,115
1/6/2019,1,89
1/7/2019,1,151
1/8/2019,1,146
1/9/2019,1,147
1/10/2019,1,115
1/11/2019,1,152
1/12/2019,1,137
1/13/2019,1,123
1/14/2019,1,155
1/15/2019,1,164
1/16/2019,1,173
1/17/2019,1,145
1/18/2019,1,169
1/19/2019,1,142
1/20/2019,1,130
1/21/2019,1,173
1/22/2019,1,141
1/23/2019,1,186
1/24/2019,1,121
1/25/2019,1,145
1/26/2019,1,81
1/27/2019,1,108
1/28/2019,1,174
1/29/2019,1,146
1/30/2019,1,145
1/31/2019,1,255
2/1/2019,1,1
2/2/2019,1,126
2/3/2019,1,134
2/4/2019,1,190
2/5/2019,1,173
2/6/2019,1,165
2/7/2019,1,164
2/8/2019,1,372
2/9/2019,1,0
2/10/2019,1,111
2/11/2019,1,206
2/12/2019,1,149
2/13/2019,1,152
2/14/2019,1,133
2/15/2019,1,177
2/16/2019,1,155
2/17/2019,1,123
2/18/2019,1,184
2/19/2019,1,172
2/20/2019,1,172
2/21/2019,1,150
2/22/2019,1,130
2/23/2019,1,81
2/24/2019,1,149
2/25/2019,1,150
2/26/2019,1,98
2/27/2019,1,104
2/28/2019,1,220
3/1/2019,1,143
3/2/2019,1,11
3/3/2019,1,128
3/4/2019,1,207
3/5/2019,1,147
3/6/2019,1,140
3/7/2019,1,124
3/8/2019,1,156
3/9/2019,1,139
3/10/2019,1,134
3/11/2019,1,183
3/12/2019,1,162
3/13/2019,1,178
3/14/2019,1,128
3/15/2019,1,165
3/16/2019,1,129
3/17/2019,1,161
3/18/2019,1,194
3/19/2019,1,173
3/20/2019,1,205
3/21/2019,1,9
3/22/2019,1,153
3/23/2019,1,192
3/24/2019,1,116
3/25/2019,1,202
3/26/2019,1,211
3/27/2019,1,188
3/28/2019,1,159
3/29/2019,1,165
3/30/2019,1,143
3/31/2019,1,294
4/1/2019,1,0
4/2/2019,1,136
4/3/2019,1,156
4/4/2019,1,149
4/5/2019,1,149
4/6/2019,1,169
4/7/2019,1,158
4/8/2019,1,230
4/9/2019,1,157
4/10/2019,1,161
4/11/2019,1,125
4/12/2019,1,162
4/13/2019,1,145
4/14/2019,1,137
4/15/2019,1,266
4/16/2019,1,149
4/17/2019,1,169
4/18/2019,1,146
4/19/2019,1,163
4/20/2019,1,118
4/21/2019,1,122
4/22/2019,1,163
4/23/2019,1,180
4/24/2019,1,148
4/25/2019,1,132
4/26/2019,1,141
4/27/2019,1,133
4/28/2019,1,82
4/29/2019,1,184
4/30/2019,1,122
5/1/2019,1,119
5/2/2019,1,157
5/3/2019,1,64
5/4/2019,1,138
5/5/2019,1,124
5/6/2019,1,114
5/7/2019,1,198
5/8/2019,1,177
5/9/2019,1,152
5/10/2019,1,167
5/11/2019,1,164
5/12/2019,1,136
5/13/2019,1,192
5/14/2019,1,178
5/15/2019,1,184
5/16/2019,1,149
5/17/2019,1,152
5/18/2019,1,126
5/19/2019,1,96
5/20/2019,1,232
5/21/2019,1,176
5/22/2019,1,207
5/23/2019,1,121
5/24/2019,1,206
5/25/2019,1,147
5/26/2019,1,183
5/27/2019,1,232
5/28/2019,1,219
5/29/2019,1,258
5/30/2019,1,219
5/31/2019,1,234
6/1/2019,1,275
6/2/2019,1,288
6/3/2019,1,416
6/4/2019,1,559
6/5/2019,1,202
6/6/2019,1,184
6/7/2019,1,222
6/8/2019,1,151
6/9/2019,1,138
6/10/2019,1,189
6/11/2019,1,205
6/12/2019,1,187
6/13/2019,1,149
6/14/2019,1,177
6/15/2019,1,166
6/16/2019,1,111
6/17/2019,1,200
6/18/2019,1,152
6/19/2019,1,188
6/20/2019,1,151
6/21/2019,1,168
6/22/2019,1,143
6/23/2019,1,157
6/24/2019,1,170
6/25/2019,1,160
6/26/2019,1,188
6/27/2019,1,140
6/28/2019,1,158
6/29/2019,1,137
6/30/2019,1,125
7/1/2019,1,169
7/2/2019,1,139
7/3/2019,1,165
7/4/2019,1,169
7/5/2019,1,0
4/1/2017,1,58
4/3/2017,1,13
4/4/2017,1,6
4/5/2017,1,74
4/7/2017,1,74
4/12/2017,1,57
4/13/2017,1,56
4/14/2017,1,74
4/15/2017,1,17
4/16/2017,1,84
4/17/2017,1,61
4/18/2017,1,48
4/19/2017,1,63
4/20/2017,1,69
4/21/2017,1,71
4/22/2017,1,7
4/23/2017,1,40
4/24/2017,1,77
4/25/2017,1,60
4/26/2017,1,58
4/27/2017,1,45
4/28/2017,1,84
4/29/2017,1,15
4/30/2017,1,402
5/1/2017,1,39
5/2/2017,1,25
5/3/2017,1,16
5/4/2017,1,45
5/5/2017,1,96
5/7/2017,1,15
5/8/2017,1,0
5/9/2017,1,2
5/10/2017,1,88
5/11/2017,1,55
5/12/2017,1,69
5/13/2017,1,8
5/14/2017,1,70
5/15/2017,1,73
5/16/2017,1,49
5/17/2017,1,66
5/18/2017,1,82
5/19/2017,1,66
5/20/2017,1,18
5/21/2017,1,109
5/22/2017,1,74
5/23/2017,1,58
5/24/2017,1,63
5/25/2017,1,55
5/26/2017,1,69
5/27/2017,1,27
5/28/2017,1,105
5/29/2017,1,92
5/30/2017,1,71
5/31/2017,1,368
6/1/2017,1,0
6/2/2017,1,25
6/3/2017,1,24
6/4/2017,1,17
6/5/2017,1,65
6/6/2017,1,9
6/7/2017,1,71
6/8/2017,1,54
6/9/2017,1,103
6/10/2017,1,8
6/11/2017,1,137
6/12/2017,1,87
6/13/2017,1,75
6/14/2017,1,83
6/15/2017,1,90
6/16/2017,1,92
6/17/2017,1,29
6/18/2017,1,139
6/19/2017,1,96
6/20/2017,1,73
6/21/2017,1,81
6/22/2017,1,97
6/23/2017,1,87
6/24/2017,1,35
6/25/2017,1,144
6/26/2017,1,87
6/27/2017,1,66
6/28/2017,1,102
6/29/2017,1,109
6/30/2017,1,601
7/1/2017,1,117
7/2/2017,1,0
7/5/2017,1,34
7/6/2017,1,22
7/7/2017,1,138
7/10/2017,1,96
7/11/2017,1,76
7/12/2017,1,101
7/13/2017,1,95
7/14/2017,1,91
7/15/2017,1,9
7/16/2017,1,149
7/17/2017,1,131
7/18/2017,1,82
7/19/2017,1,79
7/20/2017,1,84
7/21/2017,1,112
7/22/2017,1,32
7/23/2017,1,124
7/24/2017,1,84
7/25/2017,1,71
7/26/2017,1,91
7/27/2017,1,57
7/28/2017,1,79
7/29/2017,1,30
7/30/2017,1,169
7/31/2017,1,560
8/1/2017,1,136
8/3/2017,1,0
8/4/2017,1,0
8/5/2017,1,0
8/6/2017,1,0
8/7/2017,1,77
8/8/2017,1,83
8/9/2017,1,94
8/10/2017,1,97
8/11/2017,1,86
8/12/2017,1,33
8/13/2017,1,156
8/14/2017,1,150
8/15/2017,1,27
8/16/2017,1,116
8/17/2017,1,97
8/18/2017,1,115
8/19/2017,1,44
8/20/2017,1,188
8/21/2017,1,123
8/22/2017,1,90
8/23/2017,1,111
8/24/2017,1,107
8/25/2017,1,137
8/26/2017,1,40
8/27/2017,1,160
8/28/2017,1,126
8/29/2017,1,102
8/30/2017,1,94
8/31/2017,1,781
9/4/2017,1,0
9/5/2017,1,23
9/7/2017,1,22
9/8/2017,1,68
9/9/2017,1,10
9/10/2017,1,83
9/11/2017,1,69
9/12/2017,1,61
9/13/2017,1,87
9/14/2017,1,50
9/15/2017,1,70
9/16/2017,1,34
9/17/2017,1,116
9/18/2017,1,83
9/19/2017,1,74
9/20/2017,1,141
9/21/2017,1,265
9/22/2017,1,167
9/23/2017,1,87
9/24/2017,1,255
9/25/2017,1,215
9/26/2017,1,159
9/27/2017,1,183
9/28/2017,1,203
9/29/2017,1,188
9/30/2017,1,1108
10/1/2017,1,54
10/2/2017,1,14
10/3/2017,1,6
10/4/2017,1,13
10/5/2017,1,16
10/6/2017,1,19
10/7/2017,1,13
10/8/2017,1,46
10/9/2017,1,76
10/10/2017,1,94
10/11/2017,1,200
10/12/2017,1,236
10/13/2017,1,305
10/14/2017,1,258
10/15/2017,1,520
10/16/2017,1,526
10/17/2017,1,706
10/18/2017,1,417
10/19/2017,1,324
10/20/2017,1,48
10/21/2017,1,63
10/22/2017,1,200
10/23/2017,1,147
10/24/2017,1,117
10/25/2017,1,115
10/26/2017,1,87
10/27/2017,1,110
10/28/2017,1,49
10/29/2017,1,177
10/30/2017,1,120
10/31/2017,1,754
11/1/2017,1,38
11/2/2017,1,0
11/3/2017,1,0
11/4/2017,1,0
11/5/2017,1,0
11/6/2017,1,0
11/7/2017,1,11
11/8/2017,1,78
11/9/2017,1,101
11/10/2017,1,103
11/11/2017,1,39
11/12/2017,1,154
11/13/2017,1,105
11/14/2017,1,84
11/15/2017,1,91
11/16/2017,1,78
11/17/2017,1,80
11/18/2017,1,24
11/19/2017,1,228
11/20/2017,1,0
11/21/2017,1,76
11/22/2017,1,79
11/23/2017,1,92
11/24/2017,1,93
11/25/2017,1,30
11/26/2017,1,102
11/27/2017,1,89
11/28/2017,1,66
11/29/2017,1,83
11/30/2017,1,310
12/1/2017,1,0
12/2/2017,1,0
12/3/2017,1,9
12/4/2017,1,64
12/5/2017,1,65
12/6/2017,1,85
12/7/2017,1,79
12/8/2017,1,76
12/9/2017,1,37
12/10/2017,1,125
12/11/2017,1,101
12/12/2017,1,75
12/13/2017,1,84
12/14/2017,1,113
12/15/2017,1,121
12/16/2017,1,42
12/17/2017,1,126
12/18/2017,1,90
12/19/2017,1,76
12/20/2017,1,84
12/21/2017,1,80
12/22/2017,1,93
12/23/2017,1,39
12/24/2017,1,114
12/25/2017,1,112
12/26/2017,1,77
12/27/2017,1,107
12/28/2017,1,113
12/29/2017,1,136
12/30/2017,1,75
12/31/2017,1,1035
1/1/2018,1,25
1/2/2018,1,0
1/3/2018,1,0
1/4/2018,1,0
1/5/2018,1,178
1/6/2018,1,69
1/8/2018,1,0
1/9/2018,1,96
1/10/2018,1,114
1/11/2018,1,111
1/12/2018,1,121
1/13/2018,1,52
1/14/2018,1,213
1/15/2018,1,130
1/16/2018,1,109
1/17/2018,1,111
1/18/2018,1,113
1/19/2018,1,114
1/20/2018,1,38
1/21/2018,1,186
1/22/2018,1,159
1/23/2018,1,73
1/24/2018,1,111
1/25/2018,1,94
1/26/2018,1,9
1/27/2018,1,29
1/28/2018,1,155
1/29/2018,1,123
1/30/2018,1,101
1/31/2018,1,471
2/1/2018,1,86
2/2/2018,1,0
2/3/2018,1,0
2/5/2018,1,140
2/6/2018,1,79
2/7/2018,1,92
2/8/2018,1,100
2/9/2018,1,119
2/10/2018,1,40
2/11/2018,1,181
2/12/2018,1,134
2/13/2018,1,127
2/14/2018,1,171
2/15/2018,1,117
2/16/2018,1,108
2/17/2018,1,38
2/18/2018,1,159
2/19/2018,1,106
2/20/2018,1,93
2/21/2018,1,123
2/22/2018,1,122
2/23/2018,1,103
2/24/2018,1,45
2/25/2018,1,150
2/26/2018,1,125
2/27/2018,1,94
2/28/2018,1,409
3/1/2018,1,0
3/3/2018,1,0
3/5/2018,1,118
3/6/2018,1,95
3/7/2018,1,112
3/8/2018,1,124
3/9/2018,1,120
3/10/2018,1,43
3/11/2018,1,199
3/12/2018,1,136
3/13/2018,1,111
3/14/2018,1,132
3/15/2018,1,129
3/16/2018,1,111
3/17/2018,1,61
3/18/2018,1,285
3/19/2018,1,173
3/20/2018,1,118
3/21/2018,1,176
3/22/2018,1,132
3/23/2018,1,191
3/24/2018,1,112
3/25/2018,1,235
3/26/2018,1,111
3/27/2018,1,82
3/28/2018,1,104
3/29/2018,1,116
3/30/2018,1,158
3/31/2018,1,1174
4/1/2018,1,0
4/2/2018,1,0
4/3/2018,1,0
4/4/2018,1,0
4/5/2018,1,0
4/6/2018,1,1
4/7/2018,1,1
4/8/2018,1,5
4/9/2018,1,231
4/10/2018,1,5
4/11/2018,1,148
4/12/2018,1,144
4/13/2018,1,158
4/14/2018,1,49
4/15/2018,1,184
4/16/2018,1,161
4/17/2018,1,109
4/18/2018,1,152
4/19/2018,1,117
4/20/2018,1,116
4/21/2018,1,26
4/22/2018,1,162
4/23/2018,1,137
4/24/2018,1,91
4/25/2018,1,105
4/26/2018,1,121
4/27/2018,1,120
4/28/2018,1,45
4/29/2018,1,144
4/30/2018,1,205
5/1/2018,1,4
5/2/2018,1,97
5/3/2018,1,103
5/4/2018,1,108
5/5/2018,1,57
5/6/2018,1,176
5/7/2018,1,135
5/8/2018,1,93
5/9/2018,1,104
5/10/2018,1,154
5/11/2018,1,119
5/12/2018,1,45
5/13/2018,1,192
5/14/2018,1,141
5/15/2018,1,115
5/16/2018,1,133
5/17/2018,1,95
5/18/2018,1,112
5/19/2018,1,48
5/20/2018,1,163
5/21/2018,1,121
5/22/2018,1,80
5/23/2018,1,105
5/24/2018,1,104
5/25/2018,1,106
5/26/2018,1,48
5/27/2018,1,130
5/28/2018,1,110
5/29/2018,1,84
5/30/2018,1,93
5/31/2018,1,183
6/1/2018,1,25
6/2/2018,1,38
6/3/2018,1,164
6/4/2018,1,104
6/5/2018,1,124
6/6/2018,1,130
6/7/2018,1,145
6/8/2018,1,134
6/9/2018,1,58
6/10/2018,1,250
6/11/2018,1,180
6/12/2018,1,135
6/13/2018,1,157
6/14/2018,1,151
6/15/2018,1,190
6/16/2018,1,86
6/17/2018,1,247
6/18/2018,1,154
6/19/2018,1,126
6/20/2018,1,173
6/21/2018,1,136
6/22/2018,1,163
6/23/2018,1,52
6/24/2018,1,248
6/25/2018,1,174
6/26/2018,1,73
6/27/2018,1,134
6/28/2018,1,165
6/29/2018,1,169
6/30/2018,1,305
7/1/2018,1,8
7/2/2018,1,173
7/3/2018,1,139
7/4/2018,1,168
7/5/2018,1,138
7/6/2018,1,181
7/7/2018,1,74
7/8/2018,1,277
7/9/2018,1,193
7/10/2018,1,151
7/11/2018,1,186
7/12/2018,1,154
7/13/2018,1,148
7/14/2018,1,98
7/15/2018,1,269
7/16/2018,1,204
7/17/2018,1,147
7/18/2018,1,213
7/19/2018,1,182
7/20/2018,1,208
7/21/2018,1,57
7/22/2018,1,283
7/23/2018,1,191
7/24/2018,1,153
7/25/2018,1,191
7/26/2018,1,142
7/27/2018,1,150
7/28/2018,1,104
