predict,0to3,10to15,15to25,25to50,3to6,6to10
15to25,0.011063508,0.237208562,0.474994202,0.080654653,0.016495992,0.179583084
10to15,0.114100279,0.283124648,0.142452534,0.02313854,0.183826965,0.253357034
10to15,0.021768786,0.492800175,0.294918885,0.035534582,0.027457927,0.127519645
25to50,0.06037206,0.139738709,0.194171554,0.418740212,0.056057196,0.130920268
6to10,0.026212625,0.354503751,0.078003109,0.024879693,0.074908951,0.44149187
10to15,0.033666956,0.316683216,0.300293887,0.028847868,0.052624819,0.267883255
0to3,0.508598357,0.158771904,0.09488643,0.034294252,0.075063798,0.128385259
0to3,0.476500387,0.201726832,0.091361607,0.028632094,0.071727955,0.130051125
10to15,0.065859363,0.404725023,0.120135778,0.029591735,0.161645907,0.218042195
10to15,0.027995671,0.462714962,0.111855022,0.04082768,0.035072311,0.321534353
10to15,0.098875329,0.27734311,0.183591678,0.021484283,0.172019397,0.246686202
25to50,0.019610329,0.062797069,0.309741181,0.499513692,0.040309113,0.068028614
10to15,0.111969342,0.311009539,0.149847701,0.04775836,0.101188331,0.278226728
6to10,0.13164921,0.21960151,0.081530547,0.030621411,0.089726882,0.44687044
6to10,0.048537746,0.350579994,0.067625426,0.022054781,0.110258064,0.400943989
6to10,0.048380178,0.232040849,0.11876939,0.067553213,0.1724649,0.360791471
10to15,0.042257221,0.330673491,0.323593131,0.019657579,0.067098114,0.216720465
10to15,0.016278547,0.419004394,0.415908411,0.035051112,0.024606554,0.089150982
10to15,0.038854044,0.414378727,0.079687817,0.036008565,0.050684163,0.380386684
0to3,0.438576648,0.252223865,0.089347164,0.045247221,0.064369579,0.110235523
10to15,0.021284477,0.391102981,0.295815496,0.035517432,0.019327969,0.236951645
10to15,0.054143729,0.500344752,0.17920063,0.051119727,0.063800022,0.151391141
25to50,0.020668542,0.170857888,0.371084173,0.385395845,0.014455657,0.037537895
0to3,0.445756389,0.170412174,0.151687334,0.037148385,0.100277632,0.094718086
15to25,0.01032382,0.281243955,0.40789198,0.177099731,0.013428598,0.110011917
10to15,0.039612063,0.381067948,0.146547004,0.0689979,0.07435986,0.289415226
15to25,0.024401273,0.255626266,0.394286959,0.05475059,0.091532443,0.179402468
0to3,0.506517336,0.096285241,0.033296287,0.01517583,0.23435392,0.114371386
15to25,0.022945077,0.349912276,0.488949849,0.043936237,0.020370518,0.073886043
10to15,0.017406997,0.459115891,0.30111947,0.095969507,0.014370395,0.112017739
15to25,0.013107616,0.341117764,0.454793637,0.092685367,0.012540391,0.085755225
10to15,0.023930703,0.377385948,0.286551101,0.190804314,0.016762811,0.104565123
0to3,0.545951429,0.103650802,0.057350955,0.016506657,0.186186034,0.090354123
15to25,0.010030747,0.142749036,0.453263788,0.350062014,0.008997465,0.034896951
25to50,0.078665357,0.260722304,0.26198872,0.27172873,0.061755043,0.065139845
10to15,0.017877477,0.445962668,0.332618269,0.038121047,0.029817478,0.135603061
25to50,0.028554523,0.161771822,0.190744529,0.46954222,0.047560464,0.101826443
10to15,0.088015223,0.374704129,0.080861005,0.050396365,0.060866231,0.345157047
0to3,0.559485215,0.086439021,0.05407217,0.022986619,0.208457121,0.068559854
15to25,0.008720957,0.3611288,0.438754509,0.040879215,0.024766246,0.125750273
6to10,0.022915191,0.258795328,0.265851674,0.038969871,0.099145602,0.314322334
10to15,0.04176572,0.408125936,0.10301705,0.053686972,0.077538533,0.315865788
15to25,0.06779163,0.206612937,0.294436456,0.035964395,0.181252786,0.213941796
10to15,0.021696975,0.502218775,0.304907791,0.051508296,0.020044968,0.099623196
10to15,0.044438512,0.326562798,0.239817994,0.034540997,0.051985507,0.302654192
10to15,0.030330893,0.461772939,0.108532466,0.026880458,0.079939333,0.29254391
10to15,0.082353121,0.317454357,0.132613205,0.030849179,0.153507747,0.283222391
15to25,0.015097005,0.40181922,0.436796593,0.060228731,0.015185563,0.070872887
10to15,0.025602514,0.564276015,0.207820694,0.038128441,0.018873368,0.145298968
6to10,0.093545072,0.302261918,0.091940469,0.029816709,0.089637328,0.392798504
15to25,0.030387098,0.325001024,0.419254715,0.059948625,0.061772522,0.103636016
15to25,0.033650753,0.360031643,0.386204545,0.059691294,0.064761153,0.095660612
0to3,0.452412029,0.213522097,0.100053281,0.036773576,0.069731834,0.127507183
25to50,0.009102827,0.201353565,0.341837224,0.35097277,0.012245759,0.084487856
15to25,0.029421225,0.369295532,0.424734416,0.023807645,0.040663084,0.112078097
10to15,0.106170089,0.350972847,0.185820566,0.04909194,0.050021031,0.257923529
10to15,0.0215998,0.484713511,0.280357828,0.062622271,0.024239902,0.126466687
6to10,0.204682112,0.188665131,0.059712729,0.023107975,0.252751625,0.271080428
10to15,0.192230703,0.293683866,0.119701294,0.03702531,0.076846896,0.280511932
6to10,0.065177376,0.197276178,0.153826353,0.03668571,0.223112634,0.323921749
6to10,0.084345652,0.30142125,0.137592209,0.028326607,0.117518437,0.330795846
0to3,0.373363145,0.273825456,0.120735839,0.034542024,0.075926769,0.121606769
0to3,0.541060373,0.091879962,0.049654661,0.016238675,0.215766246,0.085400083
10to15,0.019324632,0.415812216,0.37200623,0.068193352,0.016292057,0.108371513
15to25,0.022303064,0.208079915,0.374427892,0.344554701,0.01274285,0.037891578
6to10,0.046197585,0.168807061,0.057713309,0.030763031,0.25949223,0.437026784
15to25,0.047339772,0.351718706,0.355171567,0.045976863,0.067654924,0.132138168
6to10,0.023934537,0.218679454,0.313739183,0.031486069,0.079578424,0.332582333
0to3,0.605334491,0.084066769,0.047810425,0.019999076,0.158643979,0.08414526
6to10,0.038469619,0.215336224,0.055471734,0.040526589,0.307231567,0.342964267
6to10,0.093577704,0.170595889,0.157862865,0.027799938,0.201517685,0.34864592
15to25,0.022254033,0.393516936,0.436709541,0.044996485,0.021060204,0.081462801
0to3,0.523381208,0.15289414,0.096957135,0.039809901,0.075490966,0.11146665
6to10,0.040885432,0.257025724,0.106181088,0.08481911,0.161963591,0.349125055
10to15,0.182061163,0.284971035,0.15009094,0.040058292,0.204220593,0.138597976
10to15,0.043793887,0.355789041,0.189376377,0.023302705,0.138132914,0.249605076
0to3,0.400456018,0.087365008,0.083917889,0.023763859,0.220934564,0.183562662
15to25,0.011125782,0.243633339,0.486755801,0.097593286,0.015395949,0.145495843
25to50,0.016615632,0.229122698,0.129767675,0.54855006,0.012894694,0.063049241
6to10,0.053332234,0.254496348,0.116532916,0.060221011,0.092609225,0.422808267
15to25,0.018864945,0.255456337,0.387317899,0.042096835,0.074804368,0.221459616
0to3,0.686113334,0.058985417,0.041243787,0.020040764,0.148957295,0.044659401
10to15,0.063446921,0.472698296,0.278121742,0.038023005,0.060349466,0.08736057
0to3,0.401568616,0.105616484,0.064328233,0.017062782,0.190525326,0.220898559
10to15,0.045867651,0.446192851,0.073435207,0.035946032,0.056460529,0.342097729
15to25,0.02305373,0.259783626,0.350026567,0.226004051,0.04103164,0.100100387
15to25,0.081001261,0.242214811,0.274638435,0.025310124,0.165317308,0.21151806
10to15,0.0164006,0.444653117,0.376076743,0.039683459,0.019582281,0.1036038
10to15,0.043287879,0.358087718,0.198132232,0.026691889,0.173794112,0.20000617
10to15,0.232252288,0.330390379,0.09866002,0.03621747,0.092822648,0.209657197
6to10,0.144287075,0.28434184,0.093093783,0.039687371,0.059396448,0.379193483
10to15,0.048765378,0.35825464,0.189436788,0.060290797,0.046866722,0.296385676
10to15,0.046140577,0.401114823,0.298016488,0.07143744,0.06398704,0.119303633
10to15,0.041908365,0.381334118,0.326137613,0.042861834,0.063175617,0.144582453
10to15,0.011462926,0.431421208,0.39139228,0.085246241,0.00885448,0.071622865
10to15,0.053896872,0.36421583,0.285026256,0.119422049,0.045809595,0.131629398
10to15,0.056035681,0.4130215,0.207904472,0.041792486,0.073035589,0.208210272
10to15,0.01955011,0.428590484,0.367496313,0.053222312,0.018929721,0.11221106
6to10,0.055403092,0.273572531,0.210078494,0.073328932,0.069000806,0.318616145
15to25,0.014901989,0.17212805,0.477153548,0.057133639,0.020455853,0.258226921
25to50,0.070413328,0.122729766,0.285940833,0.312451476,0.079887579,0.128577018
15to25,0.144883634,0.28319893,0.300405574,0.02737092,0.067492635,0.176648308
10to15,0.054027935,0.341195808,0.146980786,0.031828358,0.172999262,0.252967851
10to15,0.077508144,0.388679869,0.211831074,0.099341681,0.065546267,0.157092965
10to15,0.037796524,0.42790607,0.135877822,0.04470617,0.054865552,0.298847861
10to15,0.033818803,0.423361077,0.139281837,0.042349952,0.04737968,0.313808651
15to25,0.030036486,0.357037702,0.437548465,0.03685472,0.036155462,0.102367165
6to10,0.145240598,0.264384033,0.038035055,0.015971458,0.196579264,0.339789593
10to15,0.088864351,0.374886657,0.125886179,0.078017455,0.091845173,0.240500185
15to25,0.014807113,0.374123626,0.439236108,0.033754817,0.030681486,0.107396852
0to3,0.363681547,0.219013082,0.161138935,0.04247574,0.107426342,0.106264353
10to15,0.05013874,0.38666351,0.208014717,0.030299772,0.056690534,0.268192727
6to10,0.054963965,0.233025903,0.088571471,0.075947836,0.065677576,0.481813249
15to25,0.008590044,0.158987803,0.496943472,0.252905324,0.011812293,0.070761065
3to6,0.230475958,0.096961723,0.064532304,0.035648188,0.409940026,0.1624418
10to15,0.01411412,0.382662634,0.122516493,0.067971606,0.0392642,0.373470947
3to6,0.237250269,0.184650897,0.087272016,0.023495347,0.279681105,0.187650366
10to15,0.100559238,0.369106388,0.152904473,0.037879195,0.065333268,0.274217437
0to3,0.582516096,0.08681266,0.05041073,0.015617437,0.18031379,0.084329287
6to10,0.07069778,0.216616326,0.057595856,0.023029654,0.155304001,0.476756383
6to10,0.030831637,0.129921891,0.101141204,0.024702249,0.104301955,0.609101062
10to15,0.064654233,0.388267929,0.294756624,0.039213235,0.091581238,0.121526742
6to10,0.118907416,0.269337822,0.085035415,0.037336427,0.171455802,0.317927118
6to10,0.049229736,0.335625887,0.129912179,0.028914011,0.060865937,0.39545225
6to10,0.106923249,0.290356459,0.154095882,0.043668889,0.095749218,0.309206304
6to10,0.051248912,0.26549982,0.131284827,0.085310286,0.094431811,0.372224344
15to25,0.011520167,0.227526121,0.411905963,0.035483447,0.03037938,0.283184923
15to25,0.034600462,0.198000428,0.292974051,0.03527108,0.196523592,0.242630388
10to15,0.028667046,0.455074176,0.081342478,0.022960881,0.070992298,0.34096312
25to50,0.008859461,0.063975226,0.071355002,0.81393456,0.008611039,0.033264711
10to15,0.048562353,0.443196359,0.135200767,0.041578967,0.061561288,0.269900267
0to3,0.296655279,0.111023607,0.065943675,0.021736492,0.250125572,0.254515376
0to3,0.324380181,0.233972874,0.168680642,0.0421869,0.116575225,0.114204177
15to25,0.019073864,0.40542464,0.449432816,0.037579626,0.022670192,0.065818863
0to3,0.512436349,0.09019676,0.057754329,0.021880108,0.231058344,0.08667411
15to25,0.008310485,0.175881673,0.549816695,0.139030026,0.01606049,0.11090063
0to3,0.669750054,0.060012534,0.029268405,0.016617,0.153911369,0.070440639
15to25,0.029983407,0.237465243,0.39820595,0.258432839,0.027959175,0.047953386
3to6,0.165732095,0.15963506,0.083428064,0.038722677,0.332016377,0.220465727
25to50,0.012935282,0.152655131,0.265121367,0.510976821,0.008879547,0.049431853
15to25,0.011640845,0.340991691,0.392553964,0.038593812,0.027441457,0.188778231
6to10,0.244207137,0.168292856,0.086136455,0.020642614,0.222849728,0.25787121
10to15,0.025457496,0.433272829,0.302997176,0.043059878,0.018436179,0.176776442
6to10,0.10489324,0.27831373,0.169184001,0.070771273,0.053393504,0.323444252
10to15,0.248386083,0.287135519,0.115294654,0.066048533,0.096828239,0.186306972
15to25,0.015783344,0.275477053,0.345997021,0.060807601,0.026438224,0.275496758
0to3,0.604522798,0.090092329,0.052315182,0.016207443,0.160339379,0.076522868
3to6,0.097597124,0.131463131,0.063664835,0.028860413,0.471273443,0.207141053
6to10,0.098150661,0.18895432,0.069115636,0.022533916,0.238207936,0.383037531
25to50,0.0248824,0.132858912,0.158185528,0.592888465,0.016233094,0.074951602
10to15,0.037849577,0.414813525,0.130360239,0.058004417,0.058633506,0.300338736
0to3,0.659758207,0.069279591,0.039056756,0.019090128,0.142159363,0.070655956
10to15,0.019409003,0.386709826,0.175824959,0.065529905,0.039329647,0.31319666
0to3,0.442559634,0.108509448,0.045544574,0.017236482,0.272078936,0.114070927
6to10,0.043957399,0.187515726,0.094724488,0.088828438,0.287745368,0.297228581
6to10,0.240586618,0.136762262,0.124634649,0.022785074,0.152642274,0.322589124
3to6,0.266618391,0.097210041,0.096621403,0.035134465,0.367039195,0.137376504
6to10,0.025595289,0.216449885,0.116099126,0.045602057,0.208469585,0.387784058
0to3,0.618121313,0.057511712,0.067823063,0.021095941,0.181901899,0.053546072
10to15,0.016593638,0.410955958,0.204265856,0.141102634,0.021519261,0.205562653
10to15,0.07441736,0.30329135,0.25190372,0.027960412,0.164054268,0.178372889
6to10,0.127790896,0.199344067,0.208400583,0.049072459,0.127959934,0.287432061
10to15,0.078530656,0.366634541,0.206213809,0.043792062,0.048641508,0.256187423
6to10,0.063613217,0.285788481,0.078559739,0.023453633,0.241747177,0.306837754
15to25,0.014580674,0.244458203,0.383881602,0.247898347,0.01677645,0.092404724
10to15,0.039612495,0.339994251,0.225118676,0.301435775,0.014670279,0.079168523
10to15,0.034828645,0.470623624,0.134209882,0.022156032,0.053613225,0.284568592
25to50,0.019607322,0.141847425,0.291858508,0.407914374,0.043244777,0.095527594
6to10,0.043660612,0.374036586,0.074861337,0.035870295,0.053816724,0.417754446
6to10,0.094392543,0.271994852,0.129072798,0.023126016,0.200717579,0.280696211
10to15,0.017303608,0.427837267,0.378157891,0.023908714,0.032866513,0.119926006
15to25,0.018996031,0.232808235,0.480412964,0.197233709,0.012751537,0.057797524
10to15,0.044416427,0.390586394,0.150612549,0.01910688,0.063332229,0.331945522
10to15,0.060979994,0.386557662,0.250945528,0.03196288,0.054277692,0.215276244
10to15,0.036984697,0.448807939,0.070709109,0.031036422,0.060310404,0.352151428
15to25,0.133561682,0.252465363,0.253423833,0.040555355,0.099500927,0.22049284
0to3,0.445199196,0.133981496,0.166650154,0.038961371,0.123546182,0.0916616
6to10,0.202498319,0.205824421,0.083286192,0.035864009,0.066891207,0.405635851
3to6,0.076207864,0.152668094,0.079583093,0.049607114,0.343306732,0.298627103
15to25,0.012949454,0.293803085,0.499473318,0.039620203,0.026384245,0.127769695
0to3,0.639326583,0.056293971,0.041508321,0.018039902,0.179862551,0.064968671
10to15,0.074759733,0.343568479,0.141618813,0.036182446,0.085650383,0.318220145
6to10,0.014463086,0.262046739,0.240598437,0.066723712,0.03080794,0.385360085
6to10,0.142221719,0.23847163,0.07929433,0.027358157,0.238019117,0.274635048
10to15,0.024948267,0.434273807,0.32641053,0.063865355,0.023621569,0.126880472
15to25,0.008175991,0.185576051,0.573003263,0.141083551,0.011227683,0.08093346
6to10,0.207988523,0.149227982,0.049171019,0.020634151,0.267112773,0.305865553
10to15,0.090902738,0.404509924,0.152721291,0.067667733,0.065552595,0.21864572
0to3,0.524756684,0.136678591,0.136941447,0.03750385,0.090202825,0.073916603
0to3,0.398225414,0.105799687,0.066331577,0.01671892,0.185243396,0.227681007
6to10,0.081939906,0.237454184,0.066092593,0.024245712,0.209509217,0.380758388
6to10,0.019877808,0.313532521,0.073170164,0.034847506,0.093215787,0.465356215
6to10,0.047159164,0.192281778,0.125130402,0.053708943,0.207182603,0.37453711
15to25,0.030746842,0.275151895,0.298544239,0.027985255,0.106813327,0.260758441
6to10,0.060592754,0.279966861,0.077023501,0.032165651,0.261224851,0.289026382
10to15,0.115355521,0.317673093,0.179551412,0.030116545,0.064443599,0.292859829
6to10,0.239544096,0.242286128,0.115087307,0.040837501,0.070862005,0.291382963
25to50,0.010760201,0.195825076,0.337419753,0.352380208,0.014285668,0.089329095
15to25,0.032536748,0.358025034,0.361399282,0.134573757,0.022376283,0.091088896
0to3,0.341832096,0.10004682,0.077241159,0.020243587,0.234613713,0.226022625
0to3,0.456130768,0.115045533,0.07151247,0.018827471,0.233468057,0.105015701
0to3,0.390128499,0.224208663,0.10144593,0.047147177,0.093834749,0.143234982
15to25,0.009447549,0.343724859,0.43769365,0.078004694,0.01364242,0.117486828
10to15,0.031752588,0.470601302,0.173739365,0.042106097,0.050195057,0.231605592
10to15,0.186145796,0.269199674,0.109200706,0.03617464,0.186146019,0.213133165
15to25,0.014512476,0.246418372,0.419842415,0.255092873,0.015295327,0.048838537
10to15,0.024997804,0.5005819,0.278566226,0.03503003,0.02794697,0.132877069
6to10,0.140881901,0.133168711,0.147463018,0.086549314,0.209009269,0.282927786
0to3,0.48359962,0.138782581,0.155632606,0.034601978,0.098188602,0.089194614
15to25,0.084767216,0.208912412,0.435051728,0.112481188,0.055807887,0.102979569
0to3,0.53954743,0.08725057,0.054766849,0.018996543,0.232583587,0.066855022
10to15,0.057369703,0.367387329,0.270497689,0.10900121,0.044788525,0.150955545
15to25,0.014351902,0.350388802,0.486858487,0.068213129,0.013327485,0.066860195
15to25,0.047152538,0.233227667,0.297896767,0.292988224,0.040452466,0.088282337
6to10,0.025434772,0.353935768,0.089140095,0.03679227,0.089426768,0.405270326
10to15,0.091685912,0.346329398,0.148789177,0.046902878,0.077395278,0.288897356
3to6,0.216449569,0.182254985,0.08416178,0.02184188,0.263272916,0.232018871
6to10,0.030573666,0.386211488,0.075736088,0.025703376,0.070523299,0.411252084
6to10,0.079858863,0.255691896,0.229457479,0.019005525,0.111131772,0.304854466
0to3,0.406389797,0.232916404,0.104349632,0.033766239,0.092101216,0.130476711
25to50,0.01258349,0.265394739,0.253903132,0.297928581,0.015143211,0.155046847
6to10,0.214336635,0.134288325,0.074951205,0.028914349,0.253498871,0.294010615
6to10,0.032168397,0.218125468,0.259303788,0.039815521,0.060232853,0.390353973
0to3,0.366914055,0.129063835,0.153524349,0.049348531,0.181416868,0.119732362
0to3,0.274557866,0.212035536,0.113065743,0.054586033,0.096322121,0.249432699
15to25,0.011156512,0.343362003,0.371331383,0.129438623,0.013928408,0.130783071
15to25,0.015048268,0.237331199,0.468178822,0.214525838,0.012032712,0.052883161
15to25,0.009336256,0.194183305,0.450489599,0.238150925,0.013966756,0.093873157
15to25,0.015649635,0.37789092,0.410391107,0.081173122,0.013311971,0.101583245
10to15,0.067782085,0.422035744,0.18394747,0.035258668,0.092368572,0.198607461
0to3,0.405855187,0.143568998,0.087700691,0.037114479,0.151186539,0.174574106
10to15,0.040820699,0.455194452,0.073708591,0.021809395,0.052967309,0.355499555
15to25,0.069091946,0.226064663,0.345005792,0.054820563,0.101658546,0.20335849
15to25,0.023002487,0.358601569,0.442352625,0.077935165,0.01618921,0.081918943
10to15,0.042793293,0.36094582,0.243712215,0.159109518,0.042032167,0.151406987
15to25,0.013706655,0.116049534,0.632239538,0.179824172,0.012529859,0.045650242
3to6,0.238457532,0.199841953,0.059763312,0.016933161,0.262218068,0.222785974
6to10,0.014859094,0.263881166,0.277321006,0.034668978,0.026043452,0.383226304
10to15,0.109060172,0.337539594,0.263557861,0.042800002,0.069709631,0.17733274
6to10,0.018712304,0.331714913,0.187240799,0.058717993,0.031811918,0.371802073
25to50,0.009775386,0.089626475,0.096473463,0.724219528,0.012791605,0.067113543
10to15,0.078135953,0.381667091,0.150955439,0.077027258,0.062883623,0.249330636
0to3,0.631651943,0.082848938,0.051163858,0.015008888,0.144678063,0.074648311
10to15,0.029210933,0.382383602,0.265234234,0.048669623,0.072044633,0.202456975
10to15,0.038656072,0.282916861,0.280769186,0.030284355,0.090645675,0.276727852
15to25,0.053330247,0.194698256,0.502171995,0.102325553,0.025199065,0.122274884
0to3,0.335625979,0.152379937,0.071533233,0.019620671,0.183898478,0.236941701
10to15,0.025911944,0.450083771,0.32654263,0.059737146,0.024252078,0.113472431
6to10,0.185039723,0.236673026,0.155699448,0.049050918,0.075834742,0.297702144
10to15,0.016189252,0.440709296,0.313374749,0.03281311,0.017527279,0.179386314
6to10,0.030141351,0.301986665,0.081142836,0.079864887,0.15886639,0.34799787
10to15,0.051482704,0.310458156,0.217137925,0.236724911,0.055717546,0.128478758
15to25,0.02166066,0.369404066,0.396412713,0.092474662,0.028551086,0.091496813
0to3,0.60239494,0.019365892,0.019997116,0.012082908,0.313948726,0.032210419
10to15,0.058402263,0.439400126,0.216920739,0.04213777,0.063757723,0.17938138
6to10,0.041065773,0.360757979,0.131276721,0.01782903,0.064974388,0.384096108
15to25,0.006567428,0.179463419,0.404745376,0.334667967,0.007847038,0.066708772
10to15,0.026994234,0.490460402,0.121280628,0.036455154,0.060829638,0.263979944
10to15,0.036709075,0.306182011,0.211056386,0.059639576,0.103052008,0.283360944
10to15,0.025598889,0.428215335,0.304602721,0.040483312,0.031956778,0.169142964
15to25,0.01533118,0.388534319,0.431699612,0.055464299,0.016800571,0.09217002
6to10,0.016369454,0.378068759,0.11544521,0.061918491,0.039735484,0.388462603
6to10,0.117662644,0.281172694,0.100290347,0.038639842,0.082337362,0.379897111
3to6,0.086798149,0.194664235,0.151867634,0.068201219,0.276122283,0.22234648
10to15,0.031964927,0.403187045,0.373117073,0.061570052,0.045151974,0.085008928
10to15,0.032221493,0.4935298,0.123254284,0.02189239,0.070023583,0.25907845
10to15,0.046387897,0.445000295,0.255996686,0.036170178,0.051435744,0.165009199
25to50,0.007754287,0.084501628,0.401831056,0.438398986,0.013744918,0.053769126
15to25,0.051387073,0.281722735,0.340191138,0.185095292,0.041749763,0.099853999
6to10,0.049636542,0.229909751,0.076747843,0.048858371,0.161187706,0.433659787
0to3,0.456874332,0.19149899,0.100267453,0.040237396,0.086156449,0.124965379
3to6,0.088211752,0.100605054,0.038055671,0.01901935,0.565086207,0.189021967
0to3,0.516137187,0.135446347,0.158265129,0.03518727,0.083296312,0.071667755
10to15,0.078808059,0.418076545,0.120199835,0.01996385,0.183703648,0.179248063
25to50,0.0657657,0.181498015,0.260297045,0.287490435,0.071339326,0.13360948
0to3,0.467783074,0.123466517,0.143379288,0.028315336,0.062461051,0.174594733
25to50,0.042810406,0.211706417,0.114449669,0.52290385,0.021283513,0.086846145
6to10,0.025543985,0.276555808,0.21784512,0.035870095,0.109471747,0.334713244
6to10,0.056703185,0.318825996,0.089753803,0.029967188,0.09501203,0.409737798
15to25,0.019691408,0.249978859,0.363471573,0.225346448,0.028901364,0.112610349
15to25,0.013786138,0.330862166,0.444679556,0.046514042,0.021077171,0.143080927
25to50,0.054066174,0.30089224,0.144227359,0.342490113,0.052096449,0.106227665
0to3,0.529226247,0.084565535,0.050212194,0.018415246,0.258945341,0.058635437
6to10,0.099575744,0.303199495,0.093749105,0.040199648,0.113800132,0.349475876
10to15,0.087920883,0.423658131,0.069838523,0.021492246,0.078705513,0.318384704
0to3,0.653264113,0.086146103,0.027121695,0.014443501,0.158642892,0.060381695
15to25,0.019692034,0.211581309,0.455887093,0.05606935,0.043435661,0.213334553
6to10,0.101376668,0.299616448,0.097423004,0.050957205,0.072635362,0.377991313
10to15,0.020647437,0.363918756,0.188232271,0.069689221,0.053315841,0.304196474
0to3,0.331248333,0.142390373,0.06765982,0.021655449,0.296053968,0.140992058
10to15,0.036851256,0.411367086,0.136087561,0.044951884,0.104455532,0.266286682
15to25,0.014914498,0.197947229,0.435147903,0.292484921,0.012292134,0.047213314
6to10,0.018312357,0.22352544,0.316032773,0.058263431,0.019436934,0.364429065
6to10,0.047739373,0.280602582,0.26743308,0.062078575,0.057696189,0.284450199
6to10,0.035865865,0.31771449,0.089498645,0.021665258,0.082173424,0.453082318
10to15,0.036709075,0.306182011,0.211056386,0.059639576,0.103052008,0.283360944
10to15,0.022232007,0.485637843,0.288563647,0.050240275,0.024077136,0.129249092
6to10,0.248339205,0.205001627,0.114783211,0.029447127,0.088553655,0.313875174
10to15,0.028070414,0.320628325,0.198262679,0.25438044,0.064750361,0.133907781
10to15,0.068534282,0.39478627,0.076124926,0.025366911,0.075974383,0.359213228
15to25,0.009662155,0.287219547,0.476276096,0.064995995,0.021816485,0.140029723
0to3,0.334205571,0.118577153,0.070893661,0.031289962,0.26739944,0.177634214
6to10,0.20273521,0.225670943,0.04376696,0.016761672,0.197975206,0.313090008
10to15,0.036210365,0.396861156,0.087045506,0.020574926,0.1288618,0.330446247
6to10,0.013922002,0.377587911,0.13846378,0.030151756,0.047551344,0.392323207
10to15,0.230713133,0.290051213,0.101120994,0.048588604,0.17533596,0.154190097
3to6,0.200884803,0.111084964,0.106707615,0.041872282,0.40338301,0.136067324
15to25,0.022524104,0.163557625,0.535214835,0.124410896,0.049040704,0.105251837
15to25,0.014300162,0.362716202,0.462066285,0.03761446,0.023647374,0.099655516
10to15,0.039847199,0.506131424,0.135291887,0.032744718,0.061710243,0.224274529
6to10,0.034175854,0.257986468,0.287141717,0.035766485,0.040612625,0.344316851
6to10,0.218356145,0.215695495,0.096748255,0.030556441,0.206042296,0.232601367
6to10,0.030542291,0.234664607,0.060498894,0.025390787,0.317699789,0.331203633
10to15,0.100338781,0.424257758,0.116714536,0.041462757,0.06654968,0.250676489
10to15,0.038340873,0.468935591,0.072753634,0.034081698,0.057177124,0.32871108
25to50,0.024313844,0.273341177,0.18470858,0.415275764,0.018494915,0.083865719
25to50,0.00905213,0.115580704,0.109851499,0.674678868,0.008430809,0.08240599
