Allied_Nations,Diplomatic_Meetings_Set,Percent_Of_Forces_Mobilized,Hostile_Nations,Active_Threats,Inactive_Threats,Citizen_Fear_Index,Closest_Threat_Distance(km),Aircraft_Carriers_Responding,Troops_Mobilized(thousands),DEFCON_Level,ID
8,0,0.33,2,15,29,0.376651982,350.86,1,994400,D,4755
8,1,0.24,2,15,63,0.464757709,349.8,1,836000,B,5438
7,0,0.38,1,17,31,0.446402349,355.1,1,915200,C,6012
7,1,0,3,21,39,0.453010279,357.22,1,950400,B,8779
11,1,0.49,3,9,23,0.589574156,349.8,1,897600,B,9273
7,0,0,2,7,20,0.479441997,374.18,1,880000,C,9173
7,1,0.12,4,52,71,0.398678414,347.68,0,941600,C,6809
8,0,0.1,2,9,50,0.413362702,359.34,1,862400,C,7462
8,1,0.13,3,21,89,0.466226138,332.84,1,827200,B,382
9,0,0.34,2,45,102,0.52349486,326.48,1,862400,B,5152
8,0,0.32,3,24,122,0.479441997,349.8,1,818400,B,8616
8,1,0.27,2,17,91,0.42804699,352.98,0,836000,B,6514
6,1,0.2,8,55,121,0.376651982,344.5,1,985600,C,2210
8,0,0.32,3,26,90,0.479441997,352.98,1,827200,B,5783
6,1,0.09,2,7,28,0.303230543,373.12,1,1003200,C,4445
9,1,0.21,2,8,28,0.567547724,330.72,1,844800,B,10051
8,1,0.1,3,18,101,0.552863436,343.44,1,897600,C,6047
5,0,0.25,2,29,55,0.290014684,371,1,924000,C,4540
9,1,0.23,2,12,21,0.417767988,338.14,1,853600,B,6906
7,0,0.47,2,14,25,0.235682819,354.04,1,1073600,D,7290
8,0,0.48,3,39,106,0.52349486,349.8,1,800800,A,11278
9,0,0.48,4,3,11,0.633627019,337.08,1,1029600,C,6499
8,1,0,2,7,14,0.389867841,334.96,1,862400,B,2272
9,1,0.28,2,4,28,0.457415565,347.68,1,1038400,C,1180
13,0,0.49,3,5,21,0.773127753,328.6,1,827200,C,5780
8,1,0.1,3,18,22,0.538179148,338.14,0,836000,B,12089
5,1,0,1,16,46,0.112334802,397.5,1,1047200,C,10487
6,1,0.01,2,3,19,0.272393539,376.3,1,976800,C,2835
8,1,0.14,2,17,42,0.530837004,356.16,1,888800,C,3697
8,0,0.42,2,9,17,0.37958884,345.56,1,1100000,F,1564
8,0,0.06,2,12,50,0.435389134,344.5,0,853600,B,87
8,0,0.31,2,23,49,0.483847283,379.48,1,906400,C,7845
9,1,0.23,2,8,28,0.599853157,358.28,0,818400,B,6000
7,1,0,2,22,37,0.491189427,354.04,1,853600,D,3168
7,0,0.27,2,23,69,0.503671072,381.6,1,827200,B,11015
10,1,0.19,11,31,121,0.656387665,341.32,1,915200,B,1459
8,0,0.37,2,6,17,0.27092511,346.62,1,1100000,D,7285
6,1,0.14,2,15,20,0.372246696,354.04,1,959200,C,3269
8,0,0.36,2,7,17,0.395741557,351.92,1,968000,D,2453
12,1,0.49,3,27,99,0.787812041,330.72,1,836000,B,10724
8,1,0.27,2,11,79,0.473568282,345.56,0,880000,C,11302
7,1,0.02,8,55,124,0.649779736,352.98,1,906400,B,5524
12,0,0.58,3,28,54,0.69236417,329.66,1,1012000,B,2415
7,0,0.3,2,31,45,0.329662261,342.38,0,1135200,C,3318
7,1,0.03,2,7,32,0.442731278,356.16,1,880000,B,4950
6,0,0.23,2,13,25,0.335535977,377.36,1,1003200,B,8485
8,1,0.29,3,16,28,0.508810573,350.86,1,880000,B,9552
7,1,0.13,2,15,20,0.231277533,349.8,1,924000,C,1318
7,1,0.08,4,5,21,0.508810573,367.82,1,968000,B,11038
8,1,0.15,2,27,109,0.435389134,326.48,0,888800,C,24
7,1,0.1,2,12,28,0.464757709,365.7,0,897600,B,8932
9,1,0.22,2,5,28,0.655653451,351.92,1,968000,B,10990
7,1,0.1,2,12,26,0.444199706,362.52,0,924000,B,11035
10,0,0.58,3,7,20,0.508810573,333.9,1,924000,B,7291
7,1,0,2,18,32,0.567547724,361.46,1,836000,B,1208
8,1,0.06,2,5,11,0.457415565,356.16,1,880000,A,10362
8,0,0.19,2,24,38,0.375183554,347.68,1,932800,B,1159
10,0,0.42,2,5,13,0.538179148,342.38,1,915200,C,9071
7,0,0.47,2,17,29,0.350220264,360.4,1,976800,C,5386
8,0,0.26,2,10,28,0.424375918,344.5,1,897600,C,1330
7,1,0.2,2,8,25,0.558737151,369.94,1,827200,B,3108
7,0,0.44,2,14,67,0.519089574,375.24,1,800800,B,1119
8,0,0.4,2,6,15,0.381057269,360.4,1,1038400,C,10252
6,0,0.37,2,18,32,0.244493392,356.16,1,1135200,D,1491
9,1,0.26,2,4,11,0.685022026,356.16,0,853600,B,7003
5,1,0,1,15,28,0.171071953,425.06,1,1073600,D,12066
8,1,0,4,5,14,0.611600587,356.16,0,836000,A,8060
7,0,0.25,2,3,28,0.42804699,349.8,0,862400,B,9682
9,1,0.3,2,5,14,0.582232012,348.74,1,871200,B,2002
6,0,0.21,2,20,51,0.480176211,359.34,1,862400,B,10816
6,0,0.16,2,12,25,0.372246696,375.24,1,1056000,B,8394
8,1,0.23,2,43,145,0.494126285,343.44,1,836000,B,5069
7,1,0.06,2,17,26,0.372246696,372.06,1,1038400,C,4507
8,1,0.02,1,10,20,0.472099853,351.92,1,862400,B,4835
7,0,0.14,3,9,25,0.398678414,355.1,1,941600,C,6589
9,0,0.31,2,4,44,0.655653451,361.46,1,853600,C,8956
6,0,0.04,2,6,14,0.347283407,381.6,1,1003200,A,6418
11,0,0.44,2,6,19,0.491189427,347.68,1,968000,B,1739
9,0,0.49,2,23,59,0.452276065,340.26,1,915200,B,1081
13,1,0.63,2,6,25,0.633627019,336.02,1,950400,B,230
8,0,0.38,1,4,8,0.278267254,348.74,1,976800,C,7862
7,1,0.04,2,12,31,0.508810573,366.76,0,836000,B,5615
6,1,0.01,2,7,25,0.182819383,365.7,1,1170400,C,8718
7,0,0.37,2,9,30,0.470631424,351.92,1,809600,B,1796
8,0,0.3,3,29,63,0.552863436,349.8,1,915200,C,8646
7,0,0.33,2,12,36,0.479441997,343.44,1,880000,C,925
16,1,0.63,3,10,49,0.626284875,320.12,1,1012000,D,2300
9,0,0.54,5,10,22,0.338472834,340.26,1,1232000,D,6035
7,1,0.02,2,26,42,0.341409692,358.28,1,906400,C,645
8,1,0.31,2,38,44,0.267254038,347.68,1,836000,B,2384
8,1,0.14,2,13,39,0.535242291,351.92,0,844800,C,5453
9,0,0.31,3,12,45,0.626284875,351.92,1,888800,C,9005
7,1,0,2,16,38,0.479441997,362.52,1,924000,B,4175
10,0,0.37,2,26,86,0.53010279,354.04,1,888800,C,9726
6,1,0.11,2,13,26,0.219530103,378.42,1,1003200,A,8335
9,0,0.46,2,6,9,0.455947137,346.62,1,1047200,C,8382
8,1,0.1,2,5,11,0.494126285,375.24,0,862400,C,9993
8,1,0.04,4,5,11,0.611600587,362.52,0,836000,A,875
8,1,0.06,2,22,49,0.380323054,357.22,1,959200,C,2325
12,0,0.55,2,42,133,0.787812041,358.28,0,836000,B,11248
10,0,0.43,2,5,16,0.56020558,340.26,1,880000,B,8489
6,1,0.1,2,18,40,0.354625551,380.54,1,888800,C,7000
10,0,0.47,2,9,34,0.46328928,345.56,1,976800,C,4283
6,1,0,2,6,13,0.182819383,387.96,1,1135200,C,3799
8,1,0.55,2,30,110,0.420704846,333.9,1,836000,B,7372
13,0,0.65,4,6,15,0.831864905,349.8,1,976800,C,9008
6,1,0.02,2,31,63,0.42804699,382.66,1,915200,B,11554
7,1,0.18,2,13,28,0.479441997,351.92,1,836000,B,10570
8,1,0.1,6,10,26,0.429515419,356.16,1,950400,C,12336
10,0,0.53,2,6,26,0.567547724,323.3,1,915200,B,9511
7,1,0,2,9,15,0.228340675,351.92,1,924000,C,9293
8,0,0.32,2,14,36,0.237151248,347.68,1,1012000,C,11680
7,1,0.01,2,13,38,0.363436123,355.1,1,968000,C,9844
7,0,0.31,9,24,91,0.570484581,358.28,1,862400,C,7236
9,0,0.57,4,3,10,0.477973568,350.86,1,1311200,D,11373
9,1,0.25,2,9,38,0.516152717,330.72,1,880000,C,3557
10,1,0.42,2,11,103,0.457415565,340.26,1,836000,B,841
7,1,0.01,2,9,22,0.406020558,362.52,1,968000,C,8482
11,0,0.58,4,5,22,0.655653451,331.78,1,1029600,B,10489
7,1,0,2,4,11,0.582232012,372.06,0,818400,B,8621
10,0,0.58,3,5,13,0.489720999,334.96,1,1073600,D,4769
6,1,0.05,2,19,31,0.27092511,377.36,1,1108800,B,6561
11,0,0.47,2,17,39,0.552863436,343.44,0,950400,B,10412
10,0,0.38,3,17,53,0.582232012,327.54,0,880000,C,722
8,1,0.01,2,3,12,0.377386197,374.18,1,1038400,C,4444
7,0,0.33,2,16,144,0.494126285,345.56,1,836000,B,7948
7,1,0.02,2,5,13,0.450073421,384.78,1,915200,D,9454
7,1,0,2,12,30,0.47650514,366.76,1,959200,C,1518
11,0,0.69,2,6,20,0.530837004,341.32,1,1012000,B,8816
7,1,0.22,4,20,98,0.459618209,344.5,0,827200,B,4818
8,1,0.52,2,13,47,0.52349486,321.18,1,932800,B,11878
7,0,0.6,6,13,19,0.475770925,361.46,1,1020800,C,879
7,1,0.02,2,4,11,0.457415565,361.46,1,880000,B,11437
7,1,0.07,2,16,84,0.54185022,376.3,1,862400,B,253
8,0,0.43,2,29,50,0.362701909,350.86,1,1073600,D,1542
7,1,0.05,6,3,8,0.588105727,365.7,0,968000,A,6986
6,1,0,2,7,19,0.399412628,371,0,1003200,B,10288
9,0,0.41,8,48,278,0.831864905,334.96,1,924000,D,7061
7,0,0.19,2,18,36,0.494126285,375.24,1,950400,C,2189
8,0,0.35,3,5,10,0.360499266,347.68,1,1064800,D,9030
7,1,0.09,3,4,20,0.425110132,342.38,0,827200,B,5662
9,1,0.41,8,31,121,0.656387665,334.96,1,924000,C,1447
9,0,0.27,2,1,44,0.567547724,326.48,1,906400,C,6487
7,1,0,4,27,61,0.429515419,355.1,1,950400,C,505
7,1,0.06,2,9,17,0.320851689,336.02,1,880000,C,3379
10,0,0.2,11,18,43,1,343.44,0,827200,B,9665
7,0,0.11,2,30,52,0.417767988,360.4,0,862400,C,8107
10,0,0.46,2,5,16,0.496328928,330.72,1,959200,C,9715
8,0,0.34,2,6,17,0.435389134,349.8,1,862400,C,11780
7,1,0.09,2,24,49,0.508810573,355.1,1,792000,B,8538
8,1,0.26,2,11,41,0.552863436,363.58,1,836000,B,784
8,0,0.33,2,16,38,0.442731278,357.22,1,968000,C,6884
8,0,0.26,2,10,28,0.42143906,336.02,1,897600,C,2895
11,0,0.39,2,3,9,0.347283407,339.2,1,968000,D,7463
7,0,0.36,2,21,65,0.520558003,365.7,1,836000,B,2426
13,0,0.52,3,5,29,0.633627019,339.2,1,950400,D,2831
8,1,0.21,2,21,84,0.398678414,330.72,0,818400,B,8511
7,0,0.21,2,21,36,0.400881057,359.34,1,796400,B,535
7,0,0,1,27,44,0.42804699,355.1,1,1029600,D,4064
10,0,0.49,2,6,13,0.685022026,345.56,1,924000,B,6740
9,0,0.23,2,18,47,0.508076358,357.22,1,880000,D,4975
7,1,0.02,2,17,34,0.464757709,369.94,1,994400,C,7567
12,0,0.55,2,12,29,0.420704846,337.08,1,1056000,D,7293
7,1,0.06,2,4,8,0.441262849,358.28,1,880000,A,2331
8,1,0,2,18,27,0.558737151,359.34,0,844800,A,11061
11,1,0.22,3,33,73,0.758443465,358.28,0,985600,B,2055
8,1,0.21,2,21,66,0.398678414,349.8,0,836000,B,6088
8,1,0.23,2,25,88,0.442731278,358.28,1,818400,C,1470
10,1,0.23,2,19,46,0.685022026,337.08,1,932800,C,2715
7,1,0.31,2,31,89,0.420704846,351.92,0,827200,A,9561
6,0,0.21,2,20,47,0.500734214,359.34,1,853600,B,10101
8,1,0.26,2,17,119,0.464757709,345.56,1,844800,B,10811
7,0,0.33,2,9,29,0.396475771,373.12,1,836000,B,6245
5,1,0.19,8,29,65,0.171071953,366.76,1,1012000,D,668
10,0,0.49,5,9,24,0.350220264,341.32,1,1179200,C,9378
7,0,0.29,2,31,54,0.503671072,369.94,0,818400,B,11775
7,1,0.23,2,32,96,0.458883994,351.92,1,818400,C,2211
8,0,0.42,2,18,30,0.262114537,332.84,1,1091200,C,6267
8,0,0.7,2,27,116,0.538179148,331.78,1,836000,B,6731
8,0,0.53,2,5,9,0.439060206,319.06,1,1003200,C,125
9,0,0.39,2,17,43,0.310572687,337.08,1,1056000,C,268
12,1,0.5,3,19,112,0.699706314,332.84,1,827200,C,1738
7,1,0.04,2,12,67,0.497797357,365.7,1,827200,A,830
9,0,0.41,8,6,24,0.919970631,358.28,1,809600,B,1715
8,0,0.44,2,6,16,0.406020558,360.4,1,968000,C,9318
13,0,0.55,2,5,47,0.707048458,323.3,1,880000,C,7677
8,1,0.12,2,15,59,0.498531571,340.26,1,844800,B,12443
12,0,0.55,2,5,22,0.709985316,340.26,1,959200,C,11549
13,1,0.45,2,20,46,0.773127753,321.18,1,897600,C,5006
8,1,0,2,8,13,0.430249633,356.16,1,880000,D,11966
8,0,0.32,2,14,87,0.513215859,338.14,1,844800,C,5027
11,0,0.39,16,6,15,0.714390602,325.42,1,959200,B,10645
6,1,0.06,2,38,46,0.353891336,356.16,0,836000,B,12279
10,0,0.47,2,17,31,0.406020558,362.52,1,976800,C,366
8,0,0.31,2,8,24,0.444933921,348.74,1,968000,C,11277
6,1,0,4,32,77.5,0.494126285,371,1,827200,C,1428
10,0,0.47,2,9,21,0.46328928,338.14,1,1003200,C,519
10,0,0.41,3,4,12,0.516152717,352.98,1,1073600,D,7452
8,1,0.23,2,20,45,0.385462555,351.92,0,844800,B,10896
7,1,0.07,2,16,86,0.542584435,374.18,1,853600,C,11762
6,0,0.53,2,6,14,0.104992658,352.98,0,1196800,C,36
7,0,0.42,2,14,21,0.437591777,354.04,1,968000,C,299
9,1,0.49,3,38,153,0.573421439,326.48,1,765600,B,10364
10,0,0.49,6,9,17,0.582232012,339.2,1,968000,C,4748
8,1,0.1,3,4,13,0.53671072,375.24,1,976800,A,2548
10,0,0.55,2,5,11,0.401615272,352.98,1,1047200,C,5900
8,1,0.05,2,8,32,0.615271659,348.74,1,818400,B,10758
11,1,0.66,2,7,23,0.5969163,350.86,1,924000,B,5128
8,0,0.28,2,19,122,0.494126285,334.96,1,841866.6667,B,9055
6,1,0.09,2,7,28,0.303230543,356.16,1,985600,B,4358
8,0,0.29,4,5,18,0.388399413,351.92,1,994400,C,4743
12,0,0.49,1,10,26,0.699706314,321.18,1,897600,C,2332
8,1,0,2,27,44,0.419236417,357.22,1,941600,B,6164
9,0,0.57,3,3,9,0.477973568,330.72,1,968000,C,7135
6,0,0.29,13,72,82,0.414831131,373.12,1,1047200,C,2751
8,1,0.12,2,38,48,0.386196769,358.28,0,888800,B,6522
7,0,0.49,2,26,67,0.332599119,355.1,1,1135200,D,11580
8,0,0.4,2,24,50,0.362701909,358.28,1,1073600,D,2877
8,1,0.36,6,7,23,0.389867841,345.56,1,1056000,C,10305
8,0,0.2,2,18,24,0.376651982,329.66,0,880000,C,7578
8,0,0.25,3,30,68,0.552863436,339.2,1,827200,B,4035
7,0,0.38,3,18,72,0.357562408,330.72,1,1056000,D,2125
8,1,0.08,3,14,27,0.584434655,367.82,1,827200,C,3745
9,0,0.43,2,12,21,0.400146843,355.1,1,1020800,D,5679
7,1,0.17,2,15,24,0.455212922,373.12,1,968000,C,11557
7,0,0.26,2,13,31,0.42143906,363.58,1,880000,C,11576
8,1,0.2,2,9,75,0.486784141,338.14,1,844800,B,574
9,1,0.04,2,24,43,0.450073421,332.84,0,844800,B,7566
11,0,0.52,3,10,24,0.508810573,339.2,1,1064800,D,9505
12,0,0.5,2,6,24,0.674008811,332.84,1,959200,D,2443
6,0,0.16,2,11,18,0.398678414,356.16,0,862400,C,5129
7,1,0.25,5,51,60,0.429515419,360.4,1,1012000,C,3991
10,0,0.49,3,5,17,0.655653451,338.14,1,941600,C,7631
11,0,0.48,2,14,33,0.582232012,343.44,1,862400,C,5509
8,1,0.42,2,8,31,0.582232012,365.7,1,950400,B,78
8,0,0.25,2,19,66,0.435389134,356.16,0,836000,A,6829
13,1,0.49,2,5,15,0.787812041,339.2,1,844800,C,8799
13,0,0.62,2,6,16,0.685022026,334.96,1,915200,B,5823
12,0,0.47,2,9,28,0.685022026,322.24,1,897600,B,10473
8,0,0.42,2,9,17,0.30763583,332.84,1,1091200,C,3176
7,1,0,2,12,30,0.47650514,374.18,1,836000,B,5681
6,1,0.02,2,8,32,0.479441997,377.36,1,862400,B,3377
7,1,0.02,3,35,73,0.508810573,351.92,1,818400,A,9776
8,1,0.22,2,43,145,0.494126285,342.38,1,827200,B,9533
10,1,0.11,3,30,73,0.802496329,337.08,1,792000,B,4161
9,0,0.41,2,10,24,0.351688693,345.56,1,1038400,C,6786
8,0,0.34,3,26,60,0.486784141,355.1,1,985600,D,5064
9,1,0.11,2,20,42,0.559471366,357.22,1,932800,B,2836
8,1,0.1,2,28,53,0.45154185,359.34,1,853600,B,4301
9,1,0.24,2,7,27,0.479441997,339.2,1,827200,B,11427
7,1,0.07,2,8,23,0.411894273,367.82,1,924000,B,1764
8,0,0.37,2,5,12,0.30763583,341.32,1,976800,D,4916
7,0,0.3,3,31,135,0.226872247,345.56,1,1020800,C,6422
9,0,0.57,2,14,27,0.373715125,343.44,1,994400,D,4565
9,1,0.02,2,4,28,0.60866373,375.24,1,897600,C,1476
6,1,0,2,7,16,0.341409692,371,1,1003200,B,8266
12,0,0.51,2,6,21,0.575624082,329.66,1,897600,B,8539
8,1,0.02,3,3,14,0.503671072,345.56,1,924000,C,2915
8,1,0.29,4,51,145,0.508810573,341.32,1,906400,B,959
7,1,0.05,5,4,11,0.495594714,352.98,1,994400,B,8117
12,0,0.66,2,6,20,0.640969163,319.06,1,880000,B,7679
8,0,0.42,2,8,32,0.494126285,366.76,1,888800,C,3363
8,0,0.23,2,18,34,0.354625551,341.32,1,862400,C,5209
9,1,0.34,2,7,31,0.60866373,355.1,1,924000,B,10923
8,1,0.22,3,14,104,0.490455213,338.14,1,844800,B,10690
9,0,0.27,2,29,136,0.611600587,334.96,1,809600,B,6935
9,0,0.47,2,19,52,0.501468429,354.04,1,924000,D,2374
6,1,0.15,2,6,19,0.482378855,354.04,1,862400,B,3754
9,0,0.33,2,12,19,0.502936858,360.4,1,906400,D,11064
9,1,0.24,2,7,28,0.655653451,357.22,0,897600,B,8471
8,1,0.06,2,14,113,0.361967695,306.34,0,818400,B,10121
9,1,0.28,2,11,32,0.475036711,352.98,1,836000,B,2218
8,0,0.29,4,17,44,0.47650514,355.1,1,985600,C,6806
8,0,0.4,3,8,18,0.532305433,352.98,1,924000,B,5498
7,1,0.08,2,42,44,0.378120411,349.8,1,985600,C,157
7,1,0.01,2,11,20,0.435389134,352.98,1,906400,B,3708
10,0,0.4,2,6,10,0.526431718,343.44,1,1003200,B,726
7,1,0.02,2,35,92,0.40969163,344.5,1,976800,C,7472
7,1,0,2,7,13,0.353157122,362.52,1,968000,B,3421
9,0,0.36,2,6,15,0.417767988,349.8,1,827200,C,9891
7,1,0.01,2,17,34,0.427312775,355.1,1,809600,B,337
7,0,0.14,3,15,25,0.479441997,364.64,1,1064800,C,2393
11,0,0.54,3,9,17,0.52349486,340.26,1,968000,C,683
9,1,1,2,37,153,0.516152717,352.98,0,862400,C,10206
10,1,0.27,2,7,54,0.5969163,340.26,1,818400,B,3402
10,0,0.4,2,6,16,0.56020558,354.04,1,959200,D,5631
8,0,0.37,3,24,110,0.516152717,306.34,2,800800,B,9442
12,0,0.52,2,14,25,0.589574156,320.12,1,862400,D,1556
8,1,0.2,1,9,65,0.486784141,358.28,1,818400,B,7380
11,0,0.5,3,20,55,0.582232012,334.96,1,836000,B,4969
13,0,0.49,3,5,21,0.626284875,327.54,1,1003200,C,3415
5,1,0,1,16,59,0.107929515,425.06,1,1196800,D,3946
7,1,0.08,4,9,18,0.418502203,363.58,1,941600,D,899
7,1,0,2,14,38,0.479441997,360.4,1,836000,B,1552
7,1,0.07,2,11,16,0.442731278,362.52,1,968000,C,3381
12,0,0.48,2,8,20,0.670337739,327.54,1,915200,B,2412
12,0,0.51,3,26,89,0.746696035,338.14,1,836000,B,823
12,0,0.49,4,19,43,0.567547724,333.9,1,836000,B,11283
7,1,0.01,2,8,25,0.52349486,367.82,1,809600,B,5944
11,0,0.66,3,12,25,0.457415565,320.12,1,1056000,C,4209
7,0,0.15,2,8,44,0.406020558,359.34,0,809600,B,6710
8,1,0,2,30,35,0.378120411,354.04,1,950400,B,5093
9,0,0.45,1,21,46,0.611600587,359.34,1,853600,B,5317
10,1,0.64,4,6,19,0.685022026,334.96,1,844800,B,6293
6,1,0.21,2,8,25,0.500734214,382.66,1,818400,C,7073
7,1,0.05,2,13,31,0.395007342,362.52,1,959200,C,9859
6,0,0.19,3,10,25,0.500734214,340.26,1,906400,C,10455
7,0,0.04,2,6,15,0.435389134,355.1,1,792000,C,4548
7,1,0.02,2,9,14,0.406020558,359.34,1,853600,C,3886
10,0,0.46,2,5,13,0.685022026,332.84,1,800800,C,7692
8,1,0.24,2,5,15,0.534508076,357.22,1,836000,C,5775
8,0,0.53,2,7,21,0.46989721,356.16,1,924000,B,10499
8,0,0.42,2,9,24,0.486784141,351.92,1,827200,C,10342
10,0,0.49,5,9,28,0.5969163,337.08,1,809600,C,2275
9,0,0.51,2,17,29,0.351688693,339.2,1,994400,D,1989
7,1,0.02,2,26,85,0.475770925,354.04,1,836000,B,1631
7,1,0,2,3,8,0.334067548,336.02,1,862400,B,7203
11,0,0.49,3,5,21,0.655653451,341.32,1,880000,B,9892
6,0,0.19,2,13,31,0.538179148,387.96,1,950400,D,1346
8,2,0.05,2,10,39,0.56020558,374.18,1,871200,C,12419
9,0,0.39,2,12,31,0.310572687,332.84,1,994400,F,12005
7,1,0.12,2,4,7,0.435389134,356.16,1,888800,A,11154
6,1,0.2,2,14,39,0.500734214,375.24,1,950400,C,409
13,0,0.49,4,10,24,0.552863436,325.42,1,1056000,C,11265
7,0,0.33,2,14,42,0.528634361,367.82,1,818400,B,11361
12,0,0.51,2,12,30,0.534508076,340.26,1,871200,D,12388
11,0,0.66,4,6,18,0.350220264,340.26,1,1179200,D,4912
9,0,0.34,2,5,17,0.626284875,352.98,1,924000,B,6770
6,0,0.14,1,15,25,0.331864905,354.04,1,862400,C,9596
7,1,0,2,15,21,0.435389134,354.04,1,862400,B,7095
10,0,0.42,2,6,16,0.563142438,341.32,1,915200,B,5733
10,0,0.59,3,11,27,0.457415565,328.6,1,1056000,D,1246
8,1,0.34,2,28,79,0.545521292,356.16,1,871200,B,4788
9,1,0.11,3,17,40,0.611600587,364.64,1,976800,C,424
7,1,0.02,2,35,111,0.45154185,352.98,1,827200,B,5476
8,1,0.19,2,15,105,0.361967695,346.62,1,976800,C,10603
9,1,0.26,2,9,21,0.486784141,347.68,1,809600,B,8307
7,1,0,2,13,35,0.52349486,358.28,1,827200,D,478
8,1,0,2,5,14,0.486784141,344.5,1,836000,C,8043
11,0,0.41,1,7,15,0.491189427,340.26,1,959200,D,11484
12,0,0.51,2,17,69,0.707048458,322.24,1,818400,B,7155
8,0,0.25,4,5,16,0.52349486,348.74,1,844800,C,8674
7,1,0,3,8,16,0.398678414,359.34,0,950400,B,11268
10,1,0.27,2,35,152,0.569016153,333.9,1,809600,B,8942
7,0,0.25,2,4,28,0.42143906,360.4,1,796400,B,9017
7,1,0.25,2,32,141,0.501468429,364.64,1,836000,B,5293
8,1,0.29,2,15,81,0.457415565,340.26,1,836000,C,11763
9,0,0.39,2,4,17,0.516152717,351.92,1,800800,C,140
6,0,0.25,2,13,50,0.500734214,366.76,1,836000,C,11552
9,0,0.32,3,21,84,0.5969163,347.68,1,853600,B,12168
11,0,0.57,2,7,26,0.72907489,322.24,1,836000,B,3706
7,0,0.24,2,19,36,0.316446402,361.46,1,985600,C,8042
9,1,0.31,3,17,40,0.714390602,368.88,2,862400,B,4845
9,0,0.33,2,52,68,0.57195301,367.82,1,976800,C,5759
7,0,0.27,2,21,37,0.400881057,357.22,1,915200,B,8301
7,0,0.49,2,26,121,0.386930984,356.16,1,985600,C,9209
9,0,0.45,2,20,46,0.611600587,358.28,1,800800,B,12026
8,1,0.11,2,7,23,0.464757709,343.44,1,818400,B,99
7,1,0.09,4,6,48,0.685022026,358.28,1,888800,B,5479
8,1,0.31,2,21,112,0.494126285,306.34,1,836000,B,4420
10,0,0.46,1,6,14,0.685022026,332.84,1,809600,C,7624
6,0,0,1,25,52,0.331864905,369.94,1,985600,C,836
8,1,0,6,32,115,0.522026432,339.2,1,844800,B,3097
7,0,0.04,2,13,26,0.479441997,366.76,1,924000,B,3813
9,1,0,3,9,22,0.711453744,356.16,0,827200,B,6637
8,0,0.06,4,26,94,0.538179148,341.32,1,871200,C,9651
7,1,0.32,2,51,148,0.494126285,356.16,1,827200,B,8153
8,1,0,2,10,18,0.449339207,344.5,1,853600,B,8080
12,0,0.56,2,6,20,0.699706314,338.14,1,994400,B,12383
9,1,0.49,2,21,77,0.473568282,304.22,2,800800,C,9609
7,1,0.08,2,10,16,0.442731278,361.46,1,888800,B,4462
14,0,0.44,2,14,33,0.802496329,337.08,1,844800,C,992
8,1,0,2,7,15,0.389867841,334.96,0,862400,B,7646
8,1,0.7,2,30,110,0.40969163,319.06,1,836000,B,1311
8,1,0.03,2,14,111,0.389867841,346.62,1,906400,B,11379
7,1,0.01,2,8,27,0.567547724,372.06,1,862400,B,508
