ID,Estimated_Insects_Count,Crop_Type,Soil_Type,Pesticide_Use_Category,Number_Doses_Week,Number_Weeks_Used,Number_Weeks_Quit,Season,Crop_Damage
F00000084,312,0,0,3,10,20,0,3,A
F00000085,311,0,0,3,20,25,0,1,A
F00000089,312,0,1,3,15,21,0,2,A
F00000090,312,0,1,3,15,24,0,2,A
F00000091,342,0,0,3,60,28,0,2,A
F00000092,342,0,1,3,40,17,0,3,A
F00000095,375,0,0,3,50,30,0,2,A
F00000096,375,0,1,3,5,22,0,1,A
F00000097,375,0,1,3,20,23,0,2,A
F00000103,375,0,1,3,10,25,0,3,B
F00000105,411,0,0,3,30,,0,2,A
F00000107,410,0,0,3,50,35,0,2,A
F00000108,410,0,0,3,20,32,0,3,B
F00000109,410,0,1,3,5,24,0,3,A
F00000115,448,0,0,3,5,27,0,1,A
F00000116,448,0,0,3,20,16,0,3,A
F00000118,448,0,0,3,30,24,0,2,A
F00000120,448,0,0,3,35,28,0,1,A
F00000121,448,0,0,3,10,,0,2,B
F00000122,448,0,0,3,30,,0,3,B
F00000123,448,0,1,3,20,32,0,2,A
F00000124,448,0,1,3,25,16,0,1,A
F00000125,448,0,1,3,25,21,0,2,A
F00000126,448,0,1,3,40,25,0,1,A
F00000127,448,0,1,3,45,,0,2,A
F00000129,448,0,1,3,60,31,0,1,A
F00000130,448,0,1,3,70,28,0,3,A
F00000133,488,0,0,3,15,32,0,3,A
F00000134,488,0,0,3,25,27,0,3,A
F00000135,488,0,0,3,30,26,0,2,A
F00000137,488,0,0,3,35,30,0,3,A
F00000139,488,0,0,3,60,33,0,1,A
F00000140,488,0,0,3,10,17,0,1,B
F00000141,488,0,0,3,20,33,0,1,B
F00000145,488,0,1,3,10,33,0,2,A
F00000147,488,0,1,3,20,32,0,2,A
F00000148,489,0,1,3,25,24,0,1,A
F00000151,488,0,1,3,60,32,0,1,B
F00000153,531,0,0,3,5,27,0,1,A
F00000154,531,0,0,3,20,,0,1,A
F00000155,531,0,0,3,50,30,0,2,A
F00000156,531,0,0,3,20,34,0,1,B
F00000157,531,0,1,3,5,17,0,1,A
F00000159,531,0,1,3,20,33,0,1,A
F00000164,531,0,1,3,60,19,0,2,A
F00000167,577,0,0,3,20,33,0,2,A
F00000168,577,0,0,3,50,33,0,3,A
F00000174,577,0,1,3,30,29,0,2,A
F00000175,577,0,1,3,30,39,0,1,A
F00000176,577,0,1,3,55,33,0,1,A
F00000177,577,0,1,3,60,29,0,1,A
F00000178,577,0,1,3,15,34,0,2,B
F00000180,626,0,0,3,20,38,0,2,A
F00000181,625,0,0,3,30,42,0,3,A
F00000182,625,0,0,3,40,15,0,1,A
F00000183,625,0,0,3,50,40,0,2,A
F00000185,626,0,1,3,5,32,0,1,A
F00000187,625,0,1,3,20,23,0,3,A
F00000188,625,0,1,3,25,32,0,3,A
F00000189,626,0,1,3,80,32,0,2,A
F00000190,626,0,1,3,20,31,0,2,B
F00000191,625,0,1,3,10,33,0,2,B
F00000193,625,0,1,3,30,29,0,1,C
F00000196,677,0,0,3,15,41,0,3,A
F00000197,677,0,0,3,20,41,0,2,A
F00000199,677,0,0,3,50,35,0,2,B
F00000203,677,0,1,3,35,25,0,2,A
F00000204,677,0,1,3,40,31,0,2,A
F00000206,677,0,1,3,50,38,0,2,A
F00000213,732,0,0,3,20,36,0,2,B
F00000215,732,0,0,3,40,31,0,2,B
F00000217,732,0,0,3,50,30,0,2,C
F00000218,731,0,1,3,10,16,0,3,A
F00000219,731,0,1,3,10,34,0,1,A
F00000221,731,0,1,3,60,40,0,2,A
F00000223,732,0,1,3,30,36,0,3,B
F00000229,789,0,0,3,40,44,0,3,A
F00000230,789,0,0,3,50,30,0,2,A
F00000231,790,0,0,3,60,40,0,2,A
F00000232,789,0,0,3,25,34,0,1,B
F00000234,790,0,0,3,20,33,0,2,B
F00000235,789,0,0,3,60,40,0,1,B
F00000240,789,0,1,3,25,27,0,2,A
F00000241,790,0,1,3,40,28,0,1,A
F00000245,789,0,1,3,30,30,0,1,B
F00000247,789,0,1,3,20,,0,2,B
F00000249,851,0,0,3,20,32,0,3,A
F00000250,851,0,0,3,20,34,0,3,A
F00000253,851,0,0,3,25,42,0,2,A
F00000257,851,0,0,3,60,42,0,1,B
F00000261,851,0,1,3,15,27,0,3,A
F00000262,851,0,1,3,20,21,0,1,A
F00000263,851,0,1,3,20,31,0,2,A
F00000264,851,0,1,3,30,,0,1,A
F00000266,850,0,1,3,50,,0,2,A
F00000267,851,0,1,3,55,36,0,2,A
F00000268,851,0,1,3,30,35,0,2,B
F00000269,851,0,1,3,20,34,0,1,B
F00000276,915,0,0,3,50,41,0,3,A
F00000277,915,0,0,3,40,37,0,3,B
F00000278,915,0,0,3,20,37,0,1,B
F00000279,916,0,1,3,20,25,0,1,A
F00000281,915,0,1,3,30,29,0,3,A
F00000283,915,0,1,3,40,34,0,1,A
F00000285,915,0,1,3,40,41,0,2,A
F00000287,915,0,1,3,60,46,0,2,A
F00000290,984,0,0,3,25,30,0,2,A
F00000292,984,0,0,3,25,44,0,2,B
F00000293,984,0,0,3,40,38,0,2,C
F00000296,984,0,1,3,20,28,0,2,A
F00000297,984,0,1,3,25,35,0,2,A
F00000299,984,0,1,3,30,24,0,1,A
F00000305,1056,0,0,3,20,27,0,3,A
F00000310,1056,0,0,3,40,41,0,1,B
F00000311,1056,0,0,3,40,,0,2,B
F00000313,1056,0,1,3,10,29,0,2,A
F00000315,1056,0,1,3,25,45,0,2,A
F00000317,1056,0,1,3,30,46,0,2,A
F00000318,1056,0,1,3,35,30,0,2,A
F00000320,1056,0,1,3,50,,0,2,A
F00000321,1056,0,1,3,60,45,0,1,A
F00000323,1056,0,1,3,15,35,0,2,B
F00000324,1056,0,1,3,50,,0,2,B
F00000327,1056,0,1,3,30,47,0,3,B
F00000329,1056,0,1,3,10,42,0,3,C
F00000330,1056,0,1,3,20,40,0,3,C
F00000331,1056,0,1,3,30,27,0,2,C
F00000332,1132,0,0,3,5,41,0,2,A
F00000333,1132,0,0,3,5,,0,2,A
F00000334,1132,0,0,3,10,44,0,2,A
F00000335,1132,0,0,3,20,28,0,2,A
F00000337,1132,0,0,3,25,39,0,2,A
F00000338,1132,0,0,3,30,25,0,2,A
F00000339,1132,0,0,3,30,44,0,3,A
F00000342,1132,0,0,3,50,37,0,2,A
F00000343,1132,0,0,3,40,38,0,2,B
F00000345,1132,0,0,3,40,36,0,3,B
F00000346,1132,0,0,3,20,46,0,1,B
F00000348,1132,0,0,3,40,45,0,1,C
F00000352,1132,0,1,3,5,30,0,1,A
F00000353,1132,0,1,3,20,17,0,1,A
F00000354,1132,0,1,3,20,37,0,3,A
F00000355,1132,0,1,3,25,29,0,3,A
F00000356,1132,0,1,3,30,33,0,2,A
F00000358,1132,0,1,3,80,38,0,2,A
F00000360,1132,0,1,3,30,43,0,2,C
F00000362,1212,0,0,3,5,42,0,2,A
F00000363,1212,0,0,3,20,50,0,2,A
F00000364,1212,0,0,3,35,39,0,1,A
F00000366,1212,0,0,3,10,10,0,1,B
F00000369,1212,0,0,3,20,45,0,3,B
F00000370,1212,0,0,3,40,19,0,1,B
F00000371,1212,0,0,3,40,,0,3,B
F00000372,1212,0,0,3,40,46,0,2,B
F00000376,1212,0,0,3,40,45,0,3,B
F00000377,1212,0,0,3,50,43,0,2,B
F00000378,1212,0,0,3,20,42,0,3,C
F00000379,1212,0,1,3,5,37,0,2,A
F00000380,1212,0,1,3,20,24,0,2,A
F00000383,1212,0,1,3,30,36,0,3,A
F00000385,1212,0,1,3,45,39,0,2,A
F00000386,1212,0,1,3,50,44,0,2,A
F00000387,1212,0,1,3,50,47,0,1,A
F00000389,1212,0,1,3,15,,0,2,B
F00000390,1212,0,1,3,20,,0,1,B
F00000391,1212,0,1,3,20,,0,2,B
F00000392,1212,0,1,3,30,44,0,2,C
F00000396,1296,0,0,3,20,43,0,2,A
F00000397,1297,0,0,3,45,43,0,2,A
F00000398,1296,0,0,3,5,42,0,2,B
F00000399,1296,0,0,3,10,,0,2,B
F00000401,1297,0,0,3,20,42,0,2,B
F00000402,1296,0,0,3,25,32,0,2,B
F00000407,1296,0,1,3,35,39,0,3,A
F00000409,1296,0,1,3,40,,0,2,A
F00000413,1296,0,1,3,10,41,0,2,B
F00000417,1385,0,0,3,15,31,0,2,A
F00000419,1385,0,0,3,25,30,0,2,A
F00000420,1385,0,0,3,25,46,0,3,A
F00000421,1385,0,0,3,30,43,0,1,A
F00000422,1385,0,0,3,40,30,0,2,A
F00000427,1385,0,0,3,10,45,0,2,C
F00000428,1385,0,0,3,40,45,0,3,C
F00000431,1385,0,1,3,5,42,0,3,A
F00000432,1385,0,1,3,10,30,0,2,A
F00000433,1385,0,1,3,10,40,0,2,A
F00000435,1385,0,1,3,25,32,0,2,A
F00000436,1385,0,1,3,30,49,0,1,A
F00000437,1385,0,1,3,35,35,0,3,A
F00000439,1385,0,1,3,50,47,0,2,A
F00000442,1385,0,1,3,20,44,0,2,B
F00000444,1385,0,1,3,40,40,0,2,B
F00000445,1385,0,1,3,10,40,0,2,B
F00000449,1478,0,0,3,10,25,0,1,A
F00000452,1478,0,0,3,15,53,0,1,A
F00000453,1478,0,0,3,20,46,0,1,A
F00000455,1478,0,0,3,40,24,0,2,A
F00000456,1478,0,0,3,30,50,0,1,B
F00000457,1478,0,0,3,20,37,0,1,B
F00000458,1478,0,0,3,35,48,0,1,B
F00000459,1478,0,0,3,30,34,0,2,B
F00000461,1478,0,0,3,30,47,0,3,C
F00000462,1478,0,1,3,5,44,0,2,A
F00000464,1478,0,1,3,20,19,0,3,A
F00000467,1478,0,1,3,30,51,0,1,A
F00000469,1478,0,1,3,60,45,0,2,A
F00000470,1478,0,1,3,60,50,0,1,A
F00000471,1478,0,1,3,20,41,0,2,C
F00000473,1576,0,0,3,15,41,0,2,A
F00000476,1576,0,0,3,30,,0,2,A
F00000478,1576,0,0,3,50,,0,2,A
F00000479,1576,0,0,3,80,38,0,3,A
F00000481,1576,0,0,3,30,50,0,3,B
F00000482,1576,0,0,3,20,48,0,3,B
F00000484,1576,0,0,3,25,48,0,2,B
F00000485,1575,0,1,3,5,36,0,3,A
F00000487,1576,0,1,3,10,37,0,1,A
F00000490,1576,0,1,3,30,41,0,2,A
F00000492,1576,0,1,3,60,45,0,2,A
F00000493,1576,0,1,3,40,48,0,3,B
F00000495,1678,0,0,3,10,50,0,2,A
F00000498,1678,0,0,3,20,43,0,2,B
F00000501,1678,0,0,3,10,40,0,2,B
F00000504,1678,0,0,3,50,39,0,2,C
F00000505,1678,0,0,3,5,44,0,2,C
F00000506,1678,0,1,3,5,41,0,3,A
F00000507,1678,0,1,3,10,45,0,1,A
F00000508,1678,0,1,3,15,42,0,2,A
F00000510,1678,0,1,3,20,44,0,3,A
F00000513,1678,0,1,3,50,,0,2,B
F00000514,1785,0,0,3,10,20,0,1,A
F00000516,1786,0,0,3,50,47,0,2,A
F00000517,1785,0,0,3,20,51,0,2,B
F00000518,1786,0,0,3,40,51,0,1,B
F00000520,1785,0,0,3,40,50,0,1,B
F00000521,1786,0,0,3,20,45,0,3,B
F00000524,1786,0,1,3,15,36,0,2,A
F00000526,1785,0,1,3,40,30,0,1,A
F00000527,1785,0,1,3,40,51,0,1,A
F00000528,1785,0,1,3,40,53,0,2,A
F00000529,1786,0,1,3,45,34,0,2,A
F00000530,1785,0,1,3,20,,0,2,B
F00000531,1785,0,1,3,20,,0,1,B
F00000532,1898,0,0,3,15,49,0,3,A
F00000535,1898,0,0,3,30,51,0,2,A
F00000537,1898,0,0,3,35,54,0,3,A
F00000539,1898,0,0,3,40,45,0,3,B
F00000541,1898,0,0,3,15,52,0,1,B
F00000543,1898,0,0,3,30,49,0,2,B
F00000544,1898,0,0,3,30,50,0,2,C
F00000545,1898,0,1,3,5,50,0,1,A
F00000547,1898,0,1,3,10,45,0,2,A
F00000550,1898,0,1,3,5,50,0,2,B
F00000551,1898,0,1,3,40,48,0,2,B
F00000552,1898,0,1,3,20,41,0,3,B
F00000553,1898,0,1,3,25,41,0,1,C
F00000555,2015,0,0,3,15,38,0,2,A
F00000556,2015,0,0,3,20,,0,3,A
F00000557,2015,0,0,3,50,,0,2,A
F00000559,2015,0,0,3,60,53,0,2,A
F00000560,2016,0,0,3,30,,0,2,B
F00000561,2016,0,0,3,20,40,0,1,B
F00000563,2016,0,0,3,15,47,0,2,B
F00000564,2015,0,0,3,30,50,0,2,B
F00000565,2016,0,0,3,60,54,0,2,C
F00000569,2015,0,1,3,60,41,0,1,A
F00000570,2016,0,1,3,20,49,0,1,B
F00000571,2015,0,1,3,15,53,0,2,B
F00000572,2016,0,1,3,30,52,0,3,B
F00000573,2015,0,1,3,20,50,0,3,B
F00000575,2015,0,1,3,20,50,0,2,B
F00000576,2015,0,1,3,40,51,0,1,B
F00000578,2139,0,0,3,40,,0,1,A
F00000580,2138,0,0,3,20,55,0,3,B
F00000581,2138,0,0,3,40,52,0,1,B
F00000582,2138,0,0,3,20,56,0,1,C
F00000585,2139,0,1,3,20,20,0,1,A
F00000590,2139,0,1,3,30,43,0,2,B
F00000591,2267,0,0,3,10,53,0,1,A
F00000595,2267,0,0,3,20,25,0,3,A
F00000596,2267,0,0,3,20,46,0,2,A
F00000597,2267,0,0,3,20,54,0,2,A
F00000598,2267,0,0,3,20,61,0,2,A
F00000601,2267,0,0,3,40,48,0,2,A
F00000602,2267,0,0,3,90,55,0,1,A
F00000605,2267,0,1,3,15,,0,1,A
F00000606,2267,0,1,3,10,40,0,1,B
F00000609,2402,0,0,3,5,54,0,2,A
F00000611,2401,0,0,3,15,,0,2,A
F00000612,2401,0,0,3,20,35,0,2,A
F00000616,2401,0,0,3,30,45,0,2,B
F00000617,2401,0,0,3,60,50,0,2,B
F00000618,2401,0,0,3,40,50,0,2,B
F00000619,2402,0,0,3,5,50,0,1,B
F00000620,2402,0,0,3,60,55,0,2,B
F00000621,2401,0,1,3,5,52,0,2,A
F00000623,2401,0,1,3,15,18,0,2,A
F00000624,2402,0,1,3,20,44,0,2,A
F00000626,2402,0,1,3,40,56,0,2,A
F00000627,2542,0,0,3,10,57,0,2,A
F00000628,2541,0,0,3,15,,0,1,A
F00000629,2542,0,0,3,40,57,0,2,A
F00000634,2541,0,0,3,20,55,0,1,B
F00000635,2541,0,1,3,5,30,0,2,A
F00000636,2541,0,1,3,30,53,0,1,A
F00000639,2542,0,1,3,80,56,0,1,A
F00000640,2542,0,1,3,10,54,0,2,B
F00000641,2541,0,1,3,5,55,0,1,B
F00000644,2688,0,0,3,30,62,0,2,A
F00000646,2688,0,0,3,40,56,0,2,B
F00000650,2688,0,0,3,20,54,0,2,C
F00000651,2687,0,1,3,30,60,0,2,A
F00000653,2687,0,1,3,30,,0,3,B
F00000654,2688,0,1,3,40,56,0,3,B
F00000655,2688,0,1,3,40,51,0,2,C
F00000656,2840,0,0,3,10,57,0,2,A
F00000657,2840,0,0,3,15,55,0,1,A
F00000658,2840,0,0,3,30,63,0,1,A
F00000660,2840,0,0,3,20,53,0,1,B
F00000661,2840,0,0,3,20,54,0,2,B
F00000662,2840,0,0,3,30,60,0,1,C
F00000663,2840,0,1,3,10,46,0,1,A
F00000668,2999,0,0,3,30,60,0,2,B
F00000671,2999,0,0,3,30,61,0,2,B
F00000673,2999,0,1,3,15,49,0,2,A
F00000674,2999,0,1,3,20,44,0,3,A
F00000677,2999,0,1,3,10,,0,3,B
F00000678,3164,0,0,3,5,54,0,1,A
F00000679,3165,0,0,3,20,62,0,3,A
F00000680,3165,0,0,3,30,57,0,1,A
F00000681,3165,0,0,3,5,,0,3,B
F00000686,3164,0,1,3,55,60,0,2,A
F00000688,3336,0,0,3,5,56,0,2,B
F00000690,3337,0,0,3,20,62,0,3,C
F00000691,3337,0,1,3,10,66,0,2,A
F00000692,3337,0,1,3,20,63,0,3,A
F00000693,3337,0,1,3,15,60,0,3,C
F00000694,3516,0,0,3,20,50,0,2,A
F00000695,3516,0,0,3,30,55,0,2,A
F00000696,3516,0,0,3,20,59,0,2,B
F00000698,3702,0,0,3,10,60,0,3,A
F00000699,3702,0,0,3,15,64,0,2,A
F00000700,3702,0,0,3,20,63,0,2,B
F00000706,3896,0,0,3,20,61,0,1,A
F00000709,151,1,0,3,20,25,0,1,A
F00000710,150,1,0,3,30,13,0,2,A
F00000711,151,1,0,3,60,15,0,2,A
F00000712,150,1,1,3,5,13,0,1,A
F00000713,150,1,1,3,20,10,0,3,A
F00000716,150,1,1,3,40,21,0,1,A
F00000718,169,1,1,3,10,21,0,2,A
F00000719,168,1,1,3,20,7,0,3,A
F00000721,188,1,1,3,20,22,0,3,A
F00000722,188,1,1,3,35,25,0,2,A
F00000723,188,1,1,3,40,26,0,3,A
F00000724,188,1,1,3,60,19,0,3,A
F00000725,209,1,0,3,20,17,0,2,A
F00000726,209,1,0,3,30,18,0,2,A
F00000728,209,1,0,3,40,24,0,2,A
F00000731,209,1,1,3,55,21,0,2,A
F00000734,232,1,0,3,30,19,0,3,A
F00000735,232,1,0,3,30,21,0,1,A
F00000737,232,1,0,3,35,22,0,1,A
F00000738,232,1,1,3,5,5,0,1,A
F00000739,232,1,1,3,20,13,0,1,A
F00000740,231,1,1,3,25,20,0,2,A
F00000741,257,1,0,3,15,15,0,3,A
F00000746,283,1,1,3,10,15,0,1,A
F00000747,283,1,1,3,10,,0,2,A
F00000748,283,1,1,3,20,24,0,2,A
F00000749,283,1,1,3,25,25,0,1,A
F00000750,283,1,1,3,40,19,0,2,A
F00000757,312,1,1,3,5,15,0,3,A
F00000758,311,1,1,3,5,28,0,3,A
F00000760,312,1,1,3,15,25,0,2,A
F00000761,311,1,1,3,20,24,0,2,A
F00000763,311,1,1,3,20,27,0,2,A
F00000764,312,1,1,3,30,18,0,1,A
F00000765,311,1,1,3,45,18,0,2,A
F00000766,312,1,1,3,60,29,0,3,A
F00000767,342,1,0,3,5,23,0,2,A
F00000771,342,1,0,3,40,20,0,1,A
F00000772,342,1,0,3,50,17,0,1,A
F00000774,342,1,1,3,10,30,0,3,A
F00000775,342,1,1,3,20,10,0,2,A
F00000777,342,1,1,3,20,25,0,3,B
F00000779,375,1,0,3,15,15,0,2,A
F00000780,375,1,0,3,15,,0,2,A
F00000782,375,1,0,3,30,26,0,3,A
F00000783,375,1,0,3,35,24,0,2,A
F00000784,375,1,0,3,35,29,0,3,A
F00000786,375,1,0,3,55,25,0,2,A
F00000787,375,1,1,3,20,13,0,1,A
F00000788,375,1,1,3,25,29,0,2,A
F00000791,411,1,0,3,25,33,0,2,A
F00000792,410,1,0,3,30,28,0,2,A
F00000793,410,1,0,3,20,26,0,1,B
F00000795,410,1,1,3,5,27,0,2,A
F00000802,448,1,0,3,5,22,0,3,A
F00000803,448,1,0,3,5,26,0,2,A
F00000804,448,1,0,3,10,,0,2,A
F00000805,448,1,0,3,20,12,0,1,A
F00000806,448,1,0,3,20,13,0,2,A
F00000808,448,1,0,3,20,34,0,3,A
F00000809,448,1,0,3,40,34,0,3,A
F00000815,448,1,1,3,50,,0,3,A
F00000816,448,1,1,3,20,8,0,1,B
F00000817,488,1,0,3,25,28,0,2,A
F00000818,488,1,0,3,10,6,0,2,B
F00000819,489,1,0,3,15,29,0,2,B
F00000820,489,1,0,3,35,31,0,2,B
F00000821,489,1,0,3,10,28,0,2,B
F00000822,488,1,0,3,40,18,0,1,C
F00000824,488,1,1,3,25,,0,2,A
F00000825,488,1,1,3,25,33,0,2,A
F00000827,488,1,1,3,40,17,0,2,A
F00000828,488,1,1,3,40,37,0,3,A
F00000830,488,1,1,3,40,30,0,3,C
F00000833,531,1,0,3,15,14,0,2,A
F00000834,531,1,0,3,35,29,0,2,A
F00000836,531,1,0,3,50,33,0,3,A
F00000838,531,1,1,3,30,23,0,1,A
F00000840,577,1,0,3,10,29,0,2,A
F00000843,577,1,0,3,35,32,0,2,A
F00000844,577,1,0,3,40,,0,3,B
F00000846,577,1,0,3,20,31,0,3,C
F00000848,577,1,1,3,5,,0,2,A
F00000849,577,1,1,3,20,,0,2,A
F00000852,577,1,1,3,15,31,0,1,B
F00000853,625,1,0,3,5,10,0,1,A
F00000866,626,1,1,3,40,31,0,1,A
F00000867,625,1,1,3,40,,0,1,A
F00000870,677,1,0,3,30,21,0,3,A
F00000873,677,1,0,3,40,35,0,2,B
F00000874,677,1,1,3,5,35,0,2,A
F00000875,677,1,1,3,15,35,0,2,A
F00000876,677,1,1,3,30,18,0,3,A
F00000877,677,1,1,3,30,25,0,3,A
F00000878,677,1,1,3,45,25,0,2,A
F00000880,677,1,1,3,30,32,0,3,C
F00000881,732,1,0,3,5,18,0,3,A
F00000884,731,1,0,3,5,37,0,2,A
F00000888,732,1,0,3,40,35,0,1,B
F00000889,731,1,0,3,30,38,0,2,B
F00000890,732,1,0,3,25,34,0,3,B
F00000893,731,1,1,3,30,19,0,2,A
F00000894,731,1,1,3,35,36,0,3,A
F00000895,732,1,1,3,60,30,0,2,A
F00000897,789,1,0,3,10,22,0,2,A
F00000898,790,1,0,3,10,37,0,1,A
F00000899,789,1,0,3,25,31,0,1,A
F00000900,789,1,0,3,40,26,0,2,A
F00000901,790,1,0,3,30,34,0,1,B
F00000904,790,1,1,3,10,29,0,2,A
F00000905,789,1,1,3,30,36,0,1,A
F00000906,789,1,1,3,45,34,0,3,A
F00000909,790,1,1,3,60,35,0,1,A
F00000910,789,1,1,3,30,30,0,2,B
F00000911,789,1,1,3,10,31,0,1,B
F00000912,790,1,1,3,20,35,0,2,B
F00000914,851,1,0,3,10,16,0,2,A
F00000916,851,1,0,3,20,24,0,2,A
F00000917,851,1,0,3,20,,0,3,A
F00000919,851,1,0,3,40,37,0,2,A
F00000920,851,1,1,3,10,5,0,2,A
F00000921,851,1,1,3,15,15,0,2,A
F00000923,850,1,1,3,15,27,0,3,A
F00000924,851,1,1,3,20,22,0,2,A
F00000925,851,1,1,3,25,38,0,2,A
F00000927,851,1,1,3,20,24,0,2,C
F00000928,915,1,0,3,5,,0,2,A
F00000929,915,1,0,3,10,22,0,2,A
F00000937,916,1,0,3,60,31,0,2,A
F00000938,915,1,0,3,20,17,0,1,B
F00000939,915,1,0,3,20,,0,2,B
F00000942,916,1,0,3,40,18,0,1,B
F00000943,915,1,0,3,30,40,0,1,C
F00000945,915,1,1,3,15,39,0,3,A
F00000946,915,1,1,3,20,8,0,3,A
F00000951,915,1,1,3,40,40,0,2,A
F00000952,915,1,1,3,20,20,0,2,B
F00000953,915,1,1,3,20,34,0,2,C
F00000954,984,1,0,3,5,8,0,2,A
F00000956,984,1,0,3,20,7,0,2,A
F00000957,984,1,0,3,20,9,0,1,A
F00000958,984,1,0,3,35,,0,1,A
F00000959,984,1,0,3,35,43,0,1,A
F00000962,984,1,1,3,10,23,0,3,A
F00000963,984,1,1,3,10,38,0,2,A
F00000964,984,1,1,3,15,41,0,2,A
F00000965,984,1,1,3,25,17,0,3,A
F00000968,984,1,1,3,40,37,0,1,A
F00000969,984,1,1,3,50,31,0,3,A
F00000971,1056,1,0,3,30,41,0,1,A
F00000973,1056,1,0,3,40,35,0,3,A
F00000974,1056,1,0,3,45,37,0,1,A
F00000975,1056,1,0,3,15,32,0,2,B
F00000976,1056,1,1,3,5,31,0,2,A
F00000978,1056,1,1,3,15,,0,2,A
F00000979,1056,1,1,3,20,24,0,2,A
F00000981,1056,1,1,3,40,29,0,3,A
F00000982,1056,1,1,3,40,37,0,2,B
F00000986,1132,1,0,3,20,46,0,2,A
F00000987,1132,1,0,3,30,39,0,1,A
F00000988,1132,1,0,3,20,25,0,2,B
F00000991,1132,1,1,3,10,31,0,2,A
F00000992,1132,1,1,3,15,34,0,3,A
F00000995,1132,1,1,3,35,45,0,2,A
F00000996,1212,1,0,3,5,18,0,1,A
F00000997,1212,1,0,3,10,44,0,3,A
F00000998,1212,1,0,3,15,31,0,3,A
F00000999,1212,1,0,3,15,40,0,1,A
F00001000,1212,1,0,3,20,27,0,3,A
F00001003,1212,1,0,3,40,44,0,2,A
F00001004,1212,1,0,3,40,49,0,2,A
F00001005,1212,1,0,3,25,44,0,2,B
F00001008,1212,1,0,3,25,40,0,1,C
F00001011,1212,1,1,3,10,32,0,2,A
F00001013,1212,1,1,3,15,43,0,2,A
F00001014,1212,1,1,3,20,23,0,1,A
F00001019,1212,1,1,3,60,,0,2,A
F00001021,1212,1,1,3,20,31,0,2,B
F00001022,1212,1,1,3,40,41,0,3,B
F00001024,1296,1,0,3,5,,0,1,A
F00001026,1296,1,0,3,20,48,0,2,A
F00001027,1296,1,0,3,30,,0,3,A
F00001028,1296,1,0,3,30,35,0,2,A
F00001029,1296,1,0,3,10,25,0,3,B
F00001030,1296,1,0,3,15,43,0,3,B
F00001031,1297,1,0,3,20,44,0,1,B
F00001035,1297,1,1,3,10,35,0,1,A
F00001037,1297,1,1,3,15,34,0,1,A
F00001039,1296,1,1,3,30,44,0,2,B
F00001041,1296,1,1,3,40,42,0,2,B
F00001044,1385,1,0,3,15,21,0,2,A
F00001045,1385,1,0,3,15,28,0,1,A
F00001046,1385,1,0,3,15,36,0,3,A
F00001048,1385,1,0,3,20,37,0,2,A
F00001049,1385,1,0,3,25,40,0,2,A
F00001051,1385,1,0,3,30,,0,2,A
F00001053,1385,1,0,3,40,36,0,2,A
F00001055,1385,1,0,3,30,42,0,2,B
F00001056,1385,1,1,3,5,,0,1,A
F00001057,1385,1,1,3,10,46,0,2,A
F00001059,1385,1,1,3,20,25,0,1,A
F00001061,1385,1,1,3,30,47,0,3,A
F00001062,1385,1,1,3,50,36,0,1,A
F00001063,1385,1,1,3,5,42,0,2,B
F00001064,1478,1,0,3,20,34,0,2,A
