"Severity","Safety_Score","Days_Since_Inspection","Total_Safety_Complaints","Control_Metric","Turbulence_In_gforces","Cabin_Temperature","Accident_Type_Code","Max_Elevation","Violations","Adverse_Weather_Metric","Accident_ID"
"Minor_Damage_And_Injuries",40,13,8,49.8632634457612,0.357223945185719,78.62,6,46457.4404448416,3,0.0115453696276444,8616
"Minor_Damage_And_Injuries",47.8995433789954,14,1,97.9945305378305,0.209009015506671,77.52,2,21526.3242501482,2,0.30011361651155,6514
"Highly_Fatal_And_Damaging",32.5570776255708,12,9,68.9608021877849,0.309982690227191,76.39,2,31195.9927218196,0,0.422074757716085,2210
"Highly_Fatal_And_Damaging",44.7945205479452,8,2,68.915223336372,0.151670393076091,76.89,4,36156.8263602184,0,0.0664963794143816,5783
"Highly_Fatal_And_Damaging",46.2557077625571,7,2,67.5022789425707,0.269232600072124,75.35,4,38277.0201603213,0,0.0704801840529321,4445
"Significant_Damage_And_Serious_Injuries",41.3698630136986,13,20,61.6681859617138,0.387876667868734,80.35,3,37974.6171677544,0,0.18927904197012,10051
"Minor_Damage_And_Injuries",53.6529680365297,9,2,53.0993618960802,0.410235124413992,80,3,22418.7974598276,3,0.111669094338871,6047
"Minor_Damage_And_Injuries",42.1004566210046,12,8,49.8632634457612,0.354338983050847,79.12,3,52513.9126928886,4,0.256579480296917,4540
"Significant_Damage_And_Fatalities",65.296803652968,13,12,74.0656335460346,0.466131265777136,79.53,7,21079.2995457879,0,0.00203327570840989,6906
"Significant_Damage_And_Fatalities",19.4063926940639,15,3,53.327256153145,0.266708258204111,75.2,4,19484.2436106125,3,0.0356172029643824,7290
"Significant_Damage_And_Serious_Injuries",33.0593607305936,15,15,72.3336371923428,0.442330328164443,83.6,1,40822.7854450646,2,1.48431579962055,11278
"Highly_Fatal_And_Damaging",52.6027397260274,13,2,47.538742023701,0.487768481788677,84.13,6,31631.2308275437,1,0.00811790790848975,6499
"Significant_Damage_And_Fatalities",29.634703196347,13,7,48.9061075660894,0.51156941940137,77.68,4,23561.2928433379,2,0.0434693964976293,2272
"Significant_Damage_And_Serious_Injuries",41.7351598173516,13,11,71.8778486782133,0.380303642264695,76.2,6,17443.6548671994,2,0.00477606636088931,1180
"Highly_Fatal_And_Damaging",40.365296803653,9,1,56.7912488605287,0.364436350522899,76.95,3,21268.8395478725,3,0.106394034490747,5780
"Significant_Damage_And_Serious_Injuries",30.4566210045662,16,0,76.5268915223336,0.239661738189686,78.84,6,37178.3769732465,2,0.00916356586669669,12089
"Minor_Damage_And_Injuries",40.7762557077626,13,0,45.4421148587056,0.598118283447529,76.37,2,22443.8935714049,1,0.306870692970856,10487
"Significant_Damage_And_Serious_Injuries",37.1689497716895,14,3,62.7620783956244,0.329095564370718,79.63,1,10730.4301304362,1,0.359229270794809,2835
"Significant_Damage_And_Serious_Injuries",38.8127853881278,13,18,64.0382862351869,0.467213126577713,82.06,6,30858.5431373534,4,0.00802494825593194,3697
"Minor_Damage_And_Injuries",45.2054794520548,11,35,56.563354603464,0.459640100973675,81.06,6,17474.5485605647,1,0.00492049195200934,1564
"Significant_Damage_And_Serious_Injuries",24.5662100456621,18,6,59.6171376481313,0.273560043274432,78.16,4,31278.3864504925,2,0.057671471877196,87
"Significant_Damage_And_Serious_Injuries",43.3333333333333,12,3,77.5296262534184,0.185568698160836,79.76,5,14519.2418896442,2,0.0112049590659801,7845
"Significant_Damage_And_Serious_Injuries",56.62100456621,8,6,85.6882406563355,0.151670393076091,78.6,6,32932.7239225323,2,0.00817660609152242,6000
"Highly_Fatal_And_Damaging",42.648401826484,9,0,58.7055606198724,0.256610890732059,81.16,1,31380.1439202728,1,1.1631821282771,3168
"Minor_Damage_And_Injuries",49.0867579908676,14,4,68.0948040109389,0.294115398485395,79.63,1,26992.7869170996,1,0.991433466950959,11015
"Highly_Fatal_And_Damaging",33.5159817351598,11,2,61.485870556062,0.444133429498738,75.21,4,25794.580871847,3,0.0471571412717711,1459
"Highly_Fatal_And_Damaging",25.296803652968,14,3,83.8195077484048,0.301327803822575,81.94,4,25111.1749048795,2,0.0460458912336435,7285
"Significant_Damage_And_Serious_Injuries",37.3972602739726,14,1,79.7629899726527,0.360830147854309,78.39,6,49758.6415438009,2,0.0128953266110588,3269
"Highly_Fatal_And_Damaging",13.6986301369863,17,5,62.6709206927985,0.258413992066354,79.85,2,37474.0741743146,1,0.50921558962637,2453
"Minor_Damage_And_Injuries",53.9269406392694,12,14,49.3163172288059,0.421053732419762,86.42,1,37120.1716684666,3,1.35839613360227,10724
"Significant_Damage_And_Serious_Injuries",48.6301369863014,11,4,79.7629899726527,0.255168409664623,82.66,3,34032.0959991224,0,0.170265585090925,11302
"Significant_Damage_And_Serious_Injuries",52.4657534246575,9,0,58.9334548769371,0.42538117562207,78.75,3,29213.8409826863,0,0.145447149829291,5524
"Significant_Damage_And_Serious_Injuries",48.4474885844749,10,27,64.4940747493163,0.368763793725207,88.27,6,35818.6532209991,2,0.00857347982384688,2415
"Significant_Damage_And_Fatalities",38.310502283105,11,1,49.5442114858706,0.515536242336819,79.89,4,47541.0050691026,3,0.0869913348454806,3318
"Significant_Damage_And_Fatalities",58.9954337899543,14,7,73.0173199635369,0.32080129823296,82.49,7,52189.5365431102,0,0.00449290359555931,4950
"Highly_Fatal_And_Damaging",45.3881278538813,15,3,52.506836827712,0.520945546339704,77.33,2,47423.3860641993,1,0.639480633874222,8485
"Highly_Fatal_And_Damaging",30.6392694063927,12,6,74.2479489516864,0.232809953119365,76.02,1,32791.8421914493,3,1.21223592334104,9552
"Highly_Fatal_And_Damaging",13.7899543378995,17,0,62.6709206927985,0.300967183555716,79.84,3,41118.8206454296,3,0.203686644663722,1318
"Significant_Damage_And_Serious_Injuries",39.4977168949772,13,6,78.0309936189608,0.381024882798413,78.28,3,39523.6657956433,2,0.196654786663669,11038
"Significant_Damage_And_Serious_Injuries",39.1780821917808,13,7,70.8751139471286,0.423938694554634,78.59,3,33528.5133497288,3,0.168760794490034,24
"Minor_Damage_And_Injuries",56.8493150684931,11,18,76.9826800364631,0.294476018752254,87.05,2,30950.3913128814,3,0.420554790386963,8932
"Minor_Damage_And_Injuries",58.4474885844749,11,5,64.8131267092069,0.329095564370718,83.45,2,36844.4611648139,3,0.499167816302918,10990
"Highly_Fatal_And_Damaging",19.7716894977169,15,7,57.6572470373747,0.428626758023801,78.13,1,18584.9906569439,2,0.680514977631127,11035
"Significant_Damage_And_Serious_Injuries",51.689497716895,10,1,72.5615314494075,0.387155427335016,78.56,3,45213.5076682407,1,0.224051804560772,7291
"Highly_Fatal_And_Damaging",27.8082191780822,13,5,65.1321786690975,0.390040389469888,78.66,7,26744.8667985702,2,0.00219575928154123,1208
"Highly_Fatal_And_Damaging",23.4246575342466,15,10,71.1941659070192,0.351454020915975,79.58,4,42336.4810156185,2,0.0776846904276515,10362
"Significant_Damage_And_Serious_Injuries",62.5114155251141,13,0,49.0428441203282,0.543664623151821,78.46,7,15180.0317902949,1,0.00103595243589963,1159
"Significant_Damage_And_Serious_Injuries",54.2465753424657,5,4,73.2907930720146,0.244349801658853,77.95,3,34497.643982666,1,0.170265585090925,9071
"Minor_Damage_And_Injuries",33.1050228310502,18,5,68.7784867821331,0.265265777136675,78.17,1,35553.1857893287,2,1.30833972726219,5386
"Significant_Damage_And_Fatalities",26.2557077625571,14,2,55.742935278031,0.303852145690588,79.25,4,41817.9806038586,3,0.0758867263611491,1330
"Highly_Fatal_And_Damaging",30.7762557077626,20,2,56.8368277119417,0.303491525423729,84.76,6,50122.0197516808,3,0.0122725648420376,3108
"Significant_Damage_And_Fatalities",48.6301369863014,17,1,69.644484958979,0.30313090515687,76.94,7,33771.9962999398,2,0.00302253034884826,1119
"Highly_Fatal_And_Damaging",30.3196347031963,12,0,68.6417502278943,0.413480706815723,81.48,4,46371.5275238705,2,0.0852658479246149,10252
"Significant_Damage_And_Fatalities",23.1050228310502,14,22,37.5113947128533,0.577923548503426,79.74,1,38783.3566123134,3,1.41925629416222,1491
"Significant_Damage_And_Serious_Injuries",29.0867579908676,16,2,81.175934366454,0.237137396321673,77.38,6,29575.3516590254,3,0.00748354252390023,7003
"Significant_Damage_And_Fatalities",59.5433789954338,14,15,70.5560619872379,0.239661738189686,78.7,7,27171.7746672583,1,0.00216517885963475,12066
"Significant_Damage_And_Fatalities",27.8538812785388,13,5,53.6007292616226,0.472261810313739,78.49,4,24068.4258556326,2,0.0438845610976343,8060
"Highly_Fatal_And_Damaging",20.958904109589,15,9,79.3983591613491,0.267429498737829,77.1,4,20146.9172518634,3,0.0379490753135521,9682
"Highly_Fatal_And_Damaging",58.310502283105,11,4,54.922515952598,0.405186440677966,76.09,2,32793.2571499654,1,0.442314977408644,2002
"Significant_Damage_And_Serious_Injuries",45.7534246575342,11,17,59.024612579763,0.311425171294627,85.61,6,25813.3805437588,3,0.00609428775687228,10816
"Minor_Damage_And_Injuries",46.5753424657534,14,1,64.6308113035552,0.316473855030653,79.72,2,30063.6622439764,1,0.406933961928359,8394
"Minor_Damage_And_Injuries",45.296803652968,15,3,76.7547857793984,0.215500180310133,78.31,2,22004.4704078618,2,0.292872788776625,5069
"Significant_Damage_And_Fatalities",40.5479452054794,20,14,50.3646308113035,0.354699603317706,77.62,2,45105.8414366345,2,0.617744870168884,4507
"Minor_Damage_And_Injuries",57.5799086757991,11,4,61.3947128532361,0.548352686620988,80.98,2,20134.1452289941,2,0.270944893610654,4835
"Highly_Fatal_And_Damaging",32.1461187214612,12,5,73.5186873290793,0.404104579877389,76.02,1,37060.2236393683,3,1.35839613360227,6589
"Significant_Damage_And_Serious_Injuries",31.5981735159817,15,2,61.5770282588879,0.349290299314821,83.19,1,23728.3517080817,2,0.870409654339999,8956
"Significant_Damage_And_Fatalities",20.2283105022831,15,1,56.1531449407475,0.523469888207717,77.04,4,36683.4599205663,1,0.0678905095124799,6418
"Significant_Damage_And_Fatalities",26.2100456621005,14,3,56.1531449407475,0.784558961413632,82.75,1,48583.5486330922,3,1.78191383868167,1739
"Significant_Damage_And_Serious_Injuries",51.0045662100457,10,18,57.5660893345488,0.388237288135593,78.93,6,37429.1532436738,2,0.00915243168490802,1081
"Significant_Damage_And_Serious_Injuries",43.5159817351598,12,2,62.0328167730173,0.451345834835918,87.34,3,37571.9051001859,3,0.186909000822854,230
"Significant_Damage_And_Fatalities",35.2511415525114,11,6,51.3673655423883,0.398695275874504,80.44,7,35285.2690352296,2,0.00321236301491286,7862
"Highly_Fatal_And_Damaging",33.7442922374429,11,2,64.4484958979034,0.514093761269383,77.34,4,3971.09422585752,1,0.0201031280653107,5615
"Minor_Damage_And_Injuries",31.8264840182648,19,0,76.0711030082042,0.386434186801298,81.57,4,36989.0802344552,2,0.0672799843490762,8718
"Significant_Damage_And_Serious_Injuries",42.8767123287671,12,14,68.9608021877849,0.254447169130905,77.23,4,13938.9510270363,3,0.0255570135508452,1796
"Significant_Damage_And_Serious_Injuries",31.5068493150685,15,4,61.5770282588879,0.493899026325279,80.47,6,42708.8544741583,3,0.0105571863156422,8646
"Highly_Fatal_And_Damaging",35.9817351598173,11,7,85.9617137648131,0.198911648034619,78.48,3,22102.0385431341,2,0.110911641223805,925
"Minor_Damage_And_Injuries",30.1369863013699,16,3,53.281677301732,0.250119725928597,82.18,1,17318.5484826987,2,0.651623743243857,2300
"Highly_Fatal_And_Damaging",54.5205479452055,5,3,80.0364630811304,0.183044356292824,80.05,3,40028.3261414048,0,0.198336004530739,6035
"Minor_Damage_And_Injuries",54.8858447488584,12,4,61.2579762989973,0.437281644428417,78.36,4,28287.9926044483,1,0.0523085891514352,645
"Minor_Damage_And_Injuries",57.5799086757991,11,1,76.8915223336372,0.428266137756942,87.23,2,35859.4447962179,2,0.485770798439809,2384
"Highly_Fatal_And_Damaging",27.3059360730594,13,13,84.8678213309025,0.263823296069239,80.27,2,29399.9062826069,2,0.399359325657671,5453
"Minor_Damage_And_Injuries",58.2648401826484,11,7,68.915223336372,0.284739271547061,81.92,3,38968.236520878,3,0.196274796736334,9005
"Significant_Damage_And_Fatalities",83.6529680365297,7,1,89.5168641750228,0.275363144608727,80.07,6,30107.3466414306,4,0.00716896155939985,4175
"Highly_Fatal_And_Damaging",34.7945205479452,11,19,61.6681859617138,0.448460872701046,78.22,4,44997.4738217543,1,0.0815350514760914,9726
"Highly_Fatal_And_Damaging",29.7260273972603,12,17,75.7520510483136,0.196026685899748,77.49,4,28715.7080419414,1,0.0531058897859763,8335
"Highly_Fatal_And_Damaging",32.3744292237443,12,11,66.5907019143118,0.586939055174901,79.61,4,25615.582228896,2,0.0470079021016096,8382
"Minor_Damage_And_Injuries",15.2054794520548,20,10,50.5925250683683,0.408071402812838,80.6,1,23086.070390943,4,0.849133433713455,9993
"Significant_Damage_And_Fatalities",69.3607305936073,11,31,88.4685505925251,0.250480346195456,79.36,6,44244.903458707,1,0.0105692095171719,875
"Significant_Damage_And_Fatalities",17.7168949771689,16,1,54.9680948040109,0.471540569780022,76.78,4,36683.4599205663,1,0.0677018072057364,2325
"Significant_Damage_And_Fatalities",30.3196347031963,12,1,52.2333637192343,0.422496213487198,77.99,2,9666.94055790232,2,0.12212240073769,11248
"Minor_Damage_And_Injuries",56.027397260274,12,13,62.8532360984503,0.312507032095204,77.36,5,44899.0705087481,2,0.0297081807839066,8489
"Minor_Damage_And_Injuries",41.7351598173516,16,5,66.4995442114859,0.465770645510278,76.2,2,32060.6340734313,3,0.43265129710754,7000
"Minor_Damage_And_Injuries",56.8493150684931,12,0,73.1996353691887,0.352175261449693,80.79,2,29887.8059671659,2,0.405598313032733,4283
"Significant_Damage_And_Serious_Injuries",16.6666666666667,19,15,65.9981768459435,0.499308330328164,76.53,1,11268.2935055275,3,0.416754744346556,3799
"Significant_Damage_And_Serious_Injuries",27.3972602739726,17,0,72.1969006381039,0.340274792643346,77.36,2,30684.6725583661,2,0.415919626722151,7372
"Significant_Damage_And_Serious_Injuries",47.8995433789954,18,12,53.7830446672744,0.472622430580599,78.87,6,24170.0895338431,2,0.0058973059340499,9008
"Minor_Damage_And_Injuries",42.6940639269406,12,11,45.6700091157703,0.414923187883159,81.84,3,29832.3547137758,2,0.148519062507784,11554
"Minor_Damage_And_Injuries",65.9817351598173,9,3,64.9954421148587,0.339553552109629,77.98,1,33179.9160046628,2,1.22202819070877,10570
"Highly_Fatal_And_Damaging",34.6575342465753,11,5,84.1841385597083,0.198911648034619,78.52,7,53915.3329941275,0,0.00440429373420935,12336
"Significant_Damage_And_Fatalities",59.8173515981735,14,0,74.567000911577,0.303852145690588,76.33,7,13696.9970624703,2,0.00135636474701727,9511
"Highly_Fatal_And_Damaging",22.6027397260274,15,15,57.9762989972653,0.527797331410025,82.39,4,36653.7936554078,0,0.0670381602224939,9293
"Highly_Fatal_And_Damaging",21.2785388127854,15,8,72.8350045578852,0.329456184637577,82.93,4,43034.5727095005,1,0.0790283218204027,11680
"Significant_Damage_And_Serious_Injuries",69.8630136986301,11,3,57.1558796718323,0.441609087630725,76.83,7,42842.0382744754,2,0.00385705428951585,9844
"Highly_Fatal_And_Damaging",48.675799086758,7,2,67.6390154968095,0.251922827262892,78.77,4,30423.7249691533,4,0.0556587239915045,7236
"Highly_Fatal_And_Damaging",18.7214611872146,16,2,74.2479489516864,0.238940497655968,79.16,1,15576.828144154,2,0.589488708275267,11373
"Minor_Damage_And_Injuries",52.3744292237443,9,5,41.2032816773018,0.623001081860801,79.53,3,34001.7261707233,1,0.170265585090925,3557
"Highly_Fatal_And_Damaging",32.7397260273973,12,7,63.6736554238833,0.43259358095925,77.34,4,27897.8067021377,2,0.0507105431114939,841
"Minor_Damage_And_Injuries",57.0319634703196,12,9,65.2233363719235,0.27788748647674,78.48,2,34310.1042592311,1,0.465273335265546,8482
"Minor_Damage_And_Injuries",54.4292237442922,12,6,68.7784867821331,0.198911648034619,76.58,5,32800.8368678312,2,0.0214505158063771,10489
"Significant_Damage_And_Fatalities",58.7671232876712,14,8,73.0173199635369,0.34965091958168,79.29,7,37867.5043414365,4,0.00364068615017295,8621
"Significant_Damage_And_Serious_Injuries",33.1506849315068,15,0,76.8003646308113,0.369485034258925,80.64,4,37935.8016532287,1,0.0692154391987707,4769
"Minor_Damage_And_Injuries",34.6575342465753,15,8,54.2844120328168,0.592348359177785,82.71,3,34985.7217148431,3,0.175089764842475,6561
"Highly_Fatal_And_Damaging",28.9497716894977,13,4,69.5989061075661,0.334865488640461,83.29,4,36539.8993329714,3,0.0672971342373965,10412
"Significant_Damage_And_Serious_Injuries",47.351598173516,11,0,77.073837739289,0.32116191849982,77.86,7,32624.4911271595,4,0.00324948173042506,722
"Minor_Damage_And_Injuries",59.041095890411,11,5,68.1403828623519,0.253365308330328,80.79,2,26755.0079413697,2,0.358535500334644,4444
"Significant_Damage_And_Serious_Injuries",65.4337899543379,12,7,49.4074749316317,0.421053732419762,81.45,4,35275.1736500642,3,0.0640529720617364,7948
"Highly_Fatal_And_Damaging",48.6301369863014,7,22,65.2233363719235,0.334865488640461,81.31,4,36384.8862884969,1,0.0658221949166717,9454
"Highly_Fatal_And_Damaging",55.662100456621,5,13,21.1485870556062,0.818096646231518,82.86,6,42536.9610561116,2,0.0108306048672192,1518
"Significant_Damage_And_Fatalities",67.4429223744292,12,4,74.7948951686418,0.233531193653083,85.61,7,25956.9935017014,2,0.00253424704030406,8816
"Minor_Damage_And_Injuries",54.3835616438356,12,6,73.4731084776664,0.28870609448251,75.69,4,37388.6897063868,2,0.0686361610266386,4818
"Significant_Damage_And_Fatalities",72.0091324200913,11,3,62.9443938012762,0.321883159033537,85.71,7,43296.0711451878,3,0.00375006683446869,11878
"Significant_Damage_And_Serious_Injuries",32.4657534246575,15,4,74.7493163172288,0.265626397403534,78.21,6,40416.9034791059,1,0.00951409917260054,879
"Highly_Fatal_And_Damaging",29.0867579908676,13,10,74.5214220601641,0.304573386224305,79.05,4,40754.7656202953,2,0.0743575787909855,11437
"Significant_Damage_And_Serious_Injuries",57.1689497716895,8,5,88.8787602552416,0.213697078975838,80.16,6,14287.4754585327,2,0.00341451541179736,253
"Significant_Damage_And_Fatalities",17.3059360730594,16,7,51.5952597994531,0.422496213487198,78.91,1,22087.4860136636,0,0.812553201158861,1542
"Minor_Damage_And_Injuries",30.8219178082192,15,6,54.6490428441203,0.371648755860079,81.39,3,35285.2690352296,2,0.175624748220402,6986
"Minor_Damage_And_Injuries",62.7853881278539,6,1,33.6827711941659,0.668078615218175,77.25,3,38281.2923716348,2,0.190396357309199,10288
"Highly_Fatal_And_Damaging",54.8401826484018,5,28,79.8541476754786,0.2061240533718,80.05,4,17326.7709003087,4,0.0311584829016707,7061
"Highly_Fatal_And_Damaging",17.1689497716895,16,15,75.2506836827712,0.291230436350523,76.78,4,31531.7961960508,0,0.0575081967404916,2189
"Significant_Damage_And_Serious_Injuries",51.4155251141552,9,3,71.3764813126709,0.227040028849621,77.96,3,38369.5421594542,3,0.190936989659089,9030
"Significant_Damage_And_Serious_Injuries",36.0730593607306,14,4,48.9061075660894,0.25264406779661,78.11,3,21369.8130817081,4,0.105891316867506,5662
"Significant_Damage_And_Fatalities",30.1369863013699,12,0,52.2333637192343,0.785640822214209,81.13,1,37945.7802513522,3,1.39011858032607,1447
"Minor_Damage_And_Injuries",48.7671232876712,14,33,65.4968094804011,0.329095564370718,81.75,2,42621.8436108,2,0.577773876497628,6487
"Highly_Fatal_And_Damaging",30.6392694063927,12,0,67.5934366453965,0.269232600072124,82.85,4,56326.3502441608,2,0.114788870185745,505
"Significant_Damage_And_Serious_Injuries",41.1415525114155,12,0,62.6709206927985,0.315752614496934,79.15,1,30269.9710133246,3,1.11360026590412,3379
"Significant_Damage_And_Serious_Injuries",43.5159817351598,12,3,82.0419325432999,0.254807789397764,80.96,5,22036.1723032917,4,0.0144372865277043,9665
"Minor_Damage_And_Injuries",46.986301369863,11,2,53.9653600729262,0.461803822574828,80.23,2,43203.9825103468,3,0.588559894511099,8107
"Significant_Damage_And_Fatalities",9.90867579908676,19,12,54.0109389243391,0.466852506310854,82.15,5,30719.4991147123,1,0.0202962591321259,9715
"Minor_Damage_And_Injuries",51.5525114155251,13,11,77.5296262534184,0.316473855030653,78.35,5,44315.605350123,1,0.0291001545682159,11780
"Significant_Damage_And_Fatalities",36.2557077625571,11,7,52.0510483135825,0.280411828344753,76.35,4,33112.5218535072,2,0.0608856857112103,8538
"Minor_Damage_And_Injuries",47.9908675799087,11,9,56.7912488605287,0.414923187883159,80.42,3,9560.90943938469,1,0.0124778111374111,784
"Significant_Damage_And_Fatalities",23.1050228310502,14,16,44.7128532360985,0.675651640822214,79.06,3,36422.8749315475,2,0.181048303220571,6884
"Significant_Damage_And_Serious_Injuries",53.8356164383562,12,1,50.6836827711942,0.717844212044716,78.9,5,40541.7290443807,1,0.0273077737918846,2895
"Significant_Damage_And_Serious_Injuries",63.5159817351598,13,4,49.0428441203282,0.25264406779661,78.48,7,9966.28139209759,2,0.0011026362175773,7463
"Significant_Damage_And_Fatalities",67.9452054794521,12,35,60.665451230629,0.416726289217454,78.56,4,27289.1165348178,1,0.0502229972557038,2426
"Significant_Damage_And_Serious_Injuries",26.62100456621,17,0,73.746581586144,0.369845654525784,78.92,1,39239.2396275614,2,1.43817383028133,2831
"Significant_Damage_And_Serious_Injuries",29.4063926940639,16,10,64.8131267092069,0.580447890371439,77.87,3,43209.8141033971,3,0.215461327961268,8511
"Minor_Damage_And_Injuries",47.1232876712329,11,16,55.7885141294439,0.311785791561485,80.25,2,24422.9434302412,3,0.330528596660346,535
"Minor_Damage_And_Injuries",50.8675799086758,13,3,62.6253418413856,0.525272989542012,89.82,5,32791.0147436882,1,0.0212246538797448,4064
"Minor_Damage_And_Injuries",76.1187214611872,6,1,65.3600729261623,0.46108258204111,75.41,4,22083.7153472564,4,0.040335527894257,6740
