ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
460593,Female,Yes,28,No,Healthcare,1.0,Average,5.0,Cat_3,D
465891,Female,Yes,28,Yes,Artist,8.0,Low,2.0,Cat_6,A
467442,Male,Yes,56,Yes,Artist,,Average,2.0,Cat_6,C
462044,Female,No,47,Yes,Artist,4.0,Low,1.0,Cat_6,B
465686,Female,No,22,No,Healthcare,0.0,Low,2.0,Cat_6,D
464590,Female,No,27,Yes,Artist,14.0,Low,3.0,Cat_6,A
466006,Female,Yes,49,Yes,Artist,1.0,Low,2.0,,C
466152,Male,Yes,40,No,Engineer,8.0,Low,1.0,Cat_6,A
463156,Female,Yes,79,No,Lawyer,,High,2.0,Cat_6,A
465729,Male,Yes,41,Yes,Artist,0.0,Average,4.0,Cat_4,B
462384,Female,No,29,Yes,Healthcare,,Low,1.0,Cat_7,A
462442,Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,D
464191,Female,No,45,Yes,Engineer,1.0,Low,1.0,Cat_6,A
462078,Female,Yes,61,No,Artist,1.0,Average,2.0,Cat_2,B
467873,Female,Yes,36,Yes,Artist,1.0,Average,2.0,Cat_6,C
461270,Male,Yes,40,Yes,Artist,1.0,Low,1.0,Cat_3,A
462960,Female,Yes,57,Yes,Entertainment,0.0,Average,2.0,Cat_6,C
464961,Male,Yes,76,No,Marketing,1.0,Low,1.0,Cat_4,A
462110,Male,Yes,32,Yes,Artist,14.0,Average,2.0,Cat_6,B
465769,Male,No,25,Yes,Healthcare,9.0,Low,4.0,Cat_6,D
462267,Male,No,32,,Doctor,8.0,Low,2.0,Cat_6,D
465269,Female,Yes,45,Yes,Artist,1.0,Average,3.0,Cat_3,C
460881,Male,Yes,72,Yes,Lawyer,1.0,Low,,Cat_4,D
461891,Male,Yes,48,Yes,Artist,0.0,Average,2.0,Cat_6,C
466935,Male,Yes,55,Yes,Artist,9.0,Average,2.0,Cat_1,C
464091,Male,Yes,74,Yes,Lawyer,0.0,High,3.0,Cat_6,D
464535,Male,Yes,56,Yes,Lawyer,1.0,High,2.0,Cat_6,A
463108,Male,Yes,59,Yes,Lawyer,7.0,High,2.0,Cat_6,A
461356,Male,No,25,Yes,Entertainment,0.0,Low,2.0,Cat_6,A
464570,Male,Yes,31,Yes,Doctor,0.0,Average,2.0,Cat_6,A
464580,Male,No,27,No,Artist,8.0,Low,4.0,Cat_6,A
465233,Male,Yes,57,Yes,Artist,0.0,Average,4.0,Cat_6,B
467208,Female,Yes,39,Yes,Homemaker,,High,2.0,Cat_6,A
459954,Male,Yes,27,Yes,Healthcare,8.0,Low,2.0,Cat_6,D
460219,Female,Yes,51,Yes,Entertainment,8.0,Average,2.0,Cat_6,A
460877,Female,Yes,47,No,Artist,0.0,Average,5.0,Cat_6,B
460191,Female,No,33,No,Healthcare,8.0,Low,4.0,Cat_6,D
463742,Male,Yes,56,Yes,Artist,0.0,Average,4.0,Cat_6,C
463691,Female,No,33,No,Homemaker,0.0,Low,3.0,Cat_6,B
463250,Female,No,36,Yes,Doctor,0.0,Low,2.0,Cat_6,D
463952,Male,Yes,51,No,Artist,4.0,Low,3.0,Cat_4,A
461558,Male,Yes,45,Yes,Engineer,2.0,Average,2.0,Cat_6,C
466567,Female,No,49,Yes,,1.0,Low,1.0,Cat_6,D
465379,Male,No,30,No,Healthcare,0.0,Low,4.0,Cat_6,C
463814,Female,No,26,No,Healthcare,6.0,Low,3.0,Cat_5,D
466938,Male,Yes,63,Yes,Artist,8.0,Low,1.0,Cat_6,A
460671,Male,Yes,35,No,Entertainment,8.0,Average,4.0,Cat_3,B
462204,Female,No,19,No,Marketing,1.0,Low,3.0,Cat_4,A
461671,Male,No,32,No,Healthcare,7.0,Low,5.0,Cat_6,D
459384,Male,Yes,52,Yes,Artist,0.0,Average,3.0,Cat_6,C
459905,Female,Yes,36,Yes,Artist,5.0,Low,2.0,Cat_6,C
464734,Female,No,42,No,Entertainment,7.0,Low,3.0,Cat_4,D
464125,Male,Yes,40,No,Doctor,0.0,Average,2.0,Cat_3,D
467434,Male,No,39,Yes,Entertainment,0.0,Low,3.0,Cat_1,B
460956,Female,Yes,47,Yes,Artist,1.0,Average,4.0,Cat_3,C
465179,Female,Yes,61,Yes,Artist,1.0,High,2.0,Cat_6,C
463338,Male,Yes,32,No,Entertainment,1.0,Low,2.0,Cat_3,D
467066,Male,Yes,55,No,Artist,0.0,Low,1.0,Cat_6,B
463845,Male,Yes,58,Yes,Artist,,Average,1.0,Cat_6,D
459976,Female,No,38,Yes,Artist,0.0,Low,1.0,Cat_6,D
461334,Male,Yes,63,Yes,Artist,0.0,High,2.0,Cat_6,C
465108,Male,Yes,58,Yes,Doctor,1.0,Average,2.0,Cat_6,C
462600,Male,Yes,30,No,Engineer,3.0,Average,3.0,Cat_4,D
464144,Male,Yes,60,Yes,Artist,0.0,Average,4.0,Cat_6,C
466911,Male,Yes,68,No,Executive,1.0,High,7.0,Cat_6,B
462806,Male,Yes,52,No,Artist,0.0,Low,3.0,Cat_4,A
463426,Male,Yes,38,No,Executive,0.0,High,5.0,Cat_6,A
464065,Female,Yes,35,Yes,Healthcare,10.0,Low,2.0,Cat_6,B
462979,Male,No,18,No,Doctor,1.0,Low,2.0,Cat_6,D
462834,Male,Yes,30,Yes,Homemaker,3.0,Low,2.0,Cat_1,D
460764,Male,No,86,No,Lawyer,1.0,Low,1.0,Cat_6,D
466466,Female,,19,No,Healthcare,6.0,Low,5.0,Cat_3,D
460185,Male,No,25,No,Healthcare,9.0,Low,3.0,Cat_6,D
459749,Male,Yes,59,Yes,Entertainment,,Low,4.0,Cat_4,A
464406,Female,No,39,Yes,Artist,0.0,Low,1.0,Cat_6,A
467758,Female,Yes,50,Yes,Doctor,1.0,Low,,Cat_6,B
462059,Male,No,47,Yes,Artist,1.0,Low,1.0,Cat_6,C
467905,Male,Yes,43,Yes,Executive,0.0,High,3.0,Cat_6,D
461177,Male,Yes,36,No,Executive,8.0,Average,4.0,Cat_1,B
460765,Male,Yes,80,No,Lawyer,1.0,Low,1.0,Cat_6,D
465386,Male,No,36,Yes,Artist,0.0,Low,2.0,Cat_2,C
465827,Male,No,27,No,,2.0,Low,7.0,Cat_4,D
462332,Female,Yes,37,Yes,Artist,1.0,High,2.0,Cat_7,A
464481,Male,Yes,46,Yes,Executive,0.0,High,3.0,Cat_6,C
461011,Male,Yes,55,No,Executive,1.0,High,4.0,Cat_3,B
464749,Female,Yes,47,No,Engineer,9.0,Average,4.0,Cat_4,B
461094,Female,No,28,Yes,Healthcare,1.0,Low,3.0,Cat_3,D
462104,Male,Yes,39,No,Entertainment,9.0,Low,2.0,Cat_3,D
464524,Female,Yes,27,No,Marketing,1.0,Low,2.0,Cat_6,A
466295,Female,Yes,42,No,Engineer,0.0,Low,,Cat_6,A
461787,Male,Yes,72,Yes,Artist,0.0,Average,2.0,Cat_6,C
467857,Female,Yes,28,Yes,Engineer,0.0,Low,2.0,Cat_6,A
460153,Male,No,35,Yes,Entertainment,8.0,Low,5.0,Cat_6,C
465215,Male,Yes,39,Yes,Executive,9.0,High,5.0,Cat_2,A
466746,Female,Yes,69,Yes,Lawyer,0.0,High,2.0,Cat_6,C
464857,Male,No,18,No,Healthcare,6.0,Low,4.0,Cat_4,D
459478,Male,Yes,46,Yes,Artist,,Low,1.0,Cat_6,A
460723,Female,Yes,50,Yes,Engineer,1.0,High,2.0,Cat_4,B
459853,Male,No,30,No,Executive,5.0,Low,5.0,Cat_6,A
459390,Female,No,41,No,Artist,,Low,2.0,Cat_6,B
460410,Female,No,39,Yes,Artist,3.0,Low,4.0,Cat_6,D
463823,Female,No,29,No,Marketing,8.0,Low,4.0,Cat_6,D
462008,Female,Yes,37,Yes,Artist,4.0,Low,4.0,Cat_5,B
459750,Female,Yes,39,Yes,Engineer,0.0,Average,2.0,Cat_6,A
459880,Female,Yes,48,Yes,Artist,0.0,Average,5.0,Cat_7,C
459261,Female,No,32,Yes,Doctor,0.0,Low,3.0,Cat_6,C
465656,Male,Yes,78,No,Lawyer,1.0,Low,,Cat_6,B
465395,Female,Yes,43,No,Engineer,0.0,Average,5.0,Cat_4,B
461631,Male,No,29,No,Marketing,8.0,Low,5.0,Cat_6,C
464904,Female,Yes,28,No,Engineer,9.0,Average,2.0,Cat_4,A
461740,Male,Yes,80,Yes,Lawyer,1.0,Low,1.0,Cat_6,B
467092,Female,No,28,Yes,Healthcare,7.0,Low,4.0,Cat_6,D
464173,Male,Yes,71,Yes,Artist,6.0,Average,3.0,Cat_6,C
464972,Male,Yes,67,No,Lawyer,0.0,High,9.0,Cat_4,A
467959,Female,No,26,No,Engineer,0.0,Low,1.0,Cat_2,A
467688,Female,Yes,47,Yes,Engineer,0.0,Average,2.0,Cat_6,C
460043,Female,Yes,43,Yes,Artist,2.0,Average,2.0,Cat_6,B
466590,Female,No,27,Yes,Healthcare,0.0,Low,4.0,Cat_6,C
461191,Female,Yes,45,Yes,Marketing,8.0,Low,4.0,Cat_6,D
465662,Male,Yes,76,No,Executive,1.0,Low,1.0,Cat_6,C
459231,Female,Yes,43,Yes,Artist,3.0,Average,4.0,Cat_6,C
466495,Female,Yes,78,Yes,Lawyer,1.0,High,2.0,Cat_6,B
459192,Male,Yes,35,Yes,Artist,3.0,Average,3.0,Cat_6,C
465710,Female,No,49,Yes,Artist,1.0,Low,1.0,Cat_6,C
460258,Female,No,25,Yes,Healthcare,1.0,Low,5.0,Cat_6,D
462813,Male,Yes,37,No,Executive,0.0,Average,5.0,Cat_6,A
463595,Female,No,32,No,Healthcare,1.0,Low,5.0,,C
467768,Male,Yes,60,Yes,Doctor,0.0,Average,2.0,Cat_6,C
465291,Female,Yes,45,Yes,Artist,5.0,Average,3.0,Cat_6,C
462996,Female,Yes,49,Yes,Homemaker,9.0,Average,3.0,Cat_6,C
463497,Male,No,32,Yes,Artist,0.0,Low,5.0,Cat_6,D
465301,Female,Yes,40,Yes,Artist,0.0,Low,3.0,Cat_3,B
464702,Male,Yes,59,No,Artist,2.0,Average,2.0,Cat_4,C
459012,Male,Yes,48,Yes,Artist,3.0,Low,5.0,Cat_6,B
465053,Male,Yes,82,Yes,Executive,0.0,High,2.0,Cat_6,C
459420,Female,Yes,70,Yes,Lawyer,0.0,Low,2.0,Cat_6,B
464166,Male,No,31,Yes,Artist,5.0,Low,2.0,Cat_6,B
458987,Female,Yes,72,Yes,Lawyer,0.0,High,2.0,Cat_6,C
467745,Male,Yes,50,Yes,Artist,3.0,Average,4.0,Cat_6,C
464866,Female,No,23,No,Engineer,11.0,Low,1.0,Cat_3,D
461081,Female,No,20,No,Healthcare,2.0,Low,6.0,Cat_6,D
467896,Female,No,22,No,Healthcare,4.0,Low,3.0,Cat_6,D
463991,Female,No,31,Yes,Engineer,8.0,Low,1.0,Cat_6,A
466620,Female,Yes,36,Yes,Artist,7.0,Average,2.0,Cat_6,C
462594,Male,Yes,52,No,Entertainment,,Average,5.0,Cat_4,B
462206,Female,No,29,Yes,Artist,,Low,1.0,Cat_4,B
460697,Male,Yes,40,Yes,Artist,4.0,Average,4.0,Cat_6,C
467934,Female,No,40,Yes,Artist,1.0,Low,1.0,Cat_6,A
460054,Male,Yes,38,Yes,Artist,,Low,2.0,Cat_6,C
459576,Female,Yes,85,No,Lawyer,,Low,,,A
467910,Female,No,21,No,Doctor,1.0,Low,3.0,Cat_7,A
467335,Female,Yes,41,No,Engineer,4.0,Average,2.0,Cat_6,D
460263,Male,Yes,40,Yes,Artist,0.0,Low,2.0,Cat_6,B
459340,Male,Yes,53,Yes,Artist,1.0,Average,3.0,Cat_6,B
465622,Female,Yes,42,Yes,Artist,5.0,Low,2.0,Cat_6,C
459395,Male,Yes,42,No,Executive,8.0,Low,2.0,Cat_6,D
467539,Male,Yes,48,Yes,Artist,,Average,4.0,Cat_7,C
466574,Male,Yes,59,Yes,Artist,7.0,Low,2.0,Cat_6,C
466544,Male,Yes,41,Yes,Executive,1.0,Average,3.0,Cat_6,A
463610,Female,Yes,31,Yes,Artist,0.0,Average,2.0,Cat_6,A
465539,Female,Yes,49,Yes,Artist,1.0,High,5.0,Cat_6,B
459823,Male,Yes,67,Yes,Executive,1.0,Low,2.0,Cat_6,A
467614,Male,Yes,35,No,Artist,4.0,Average,2.0,Cat_6,B
459073,Female,No,26,Yes,Healthcare,0.0,Low,3.0,Cat_6,C
466065,Male,,19,No,Healthcare,9.0,Low,3.0,Cat_3,D
464863,Female,Yes,25,No,Engineer,6.0,Average,8.0,Cat_4,D
460022,Female,Yes,39,Yes,Healthcare,4.0,Low,2.0,Cat_6,A
459929,Male,Yes,63,Yes,Entertainment,0.0,Low,2.0,Cat_6,A
466613,Male,No,23,No,Healthcare,8.0,Low,3.0,Cat_6,D
461149,Female,No,23,No,Healthcare,0.0,Low,3.0,Cat_3,D
466068,Female,Yes,53,Yes,Artist,2.0,Low,1.0,Cat_6,C
461513,Male,No,33,Yes,Doctor,0.0,Low,2.0,Cat_6,B
464761,Female,Yes,50,No,Engineer,,Average,4.0,Cat_2,B
466236,Female,Yes,69,Yes,Engineer,0.0,Low,2.0,Cat_4,B
459664,Male,No,37,Yes,Artist,2.0,Low,1.0,Cat_6,B
461967,Female,No,20,No,Marketing,3.0,Low,4.0,Cat_7,C
460516,Female,,85,No,Lawyer,0.0,High,1.0,Cat_3,C
461710,Female,Yes,49,Yes,Doctor,1.0,Average,4.0,Cat_6,C
462742,Male,No,18,No,Healthcare,0.0,Low,3.0,Cat_3,D
459528,Female,Yes,52,Yes,Doctor,0.0,Average,2.0,Cat_6,C
462691,Male,Yes,25,No,Doctor,,Average,2.0,Cat_4,B
462934,Male,Yes,56,No,Executive,,High,2.0,Cat_6,A
465837,Male,No,62,Yes,,0.0,Low,1.0,Cat_6,A
464613,Female,No,35,,Artist,0.0,Low,3.0,Cat_6,B
467515,Male,Yes,28,Yes,Engineer,0.0,Average,2.0,Cat_6,A
463429,Female,No,28,Yes,Artist,7.0,Low,3.0,Cat_6,A
464024,Male,No,20,No,Healthcare,0.0,Low,5.0,Cat_7,D
460691,Female,No,27,No,Homemaker,8.0,Low,1.0,Cat_3,D
461825,Female,No,56,No,Engineer,,Low,1.0,Cat_6,A
467271,Male,Yes,45,Yes,Artist,4.0,Average,4.0,Cat_6,B
465634,Male,No,25,Yes,Healthcare,1.0,Low,4.0,Cat_4,B
464801,Male,No,40,No,Marketing,1.0,Low,1.0,Cat_4,D
459429,Female,Yes,25,Yes,Healthcare,,Low,2.0,Cat_6,D
459888,Female,Yes,74,No,Lawyer,,High,2.0,Cat_6,D
463467,Female,No,23,No,Healthcare,0.0,Low,4.0,,D
462036,Female,Yes,67,Yes,Lawyer,0.0,High,2.0,Cat_6,B
461282,Male,No,21,No,Healthcare,0.0,Low,4.0,,D
460448,Female,No,38,Yes,Artist,9.0,Low,1.0,Cat_3,A
464464,Male,No,28,No,Healthcare,0.0,Low,4.0,Cat_2,C
462410,Female,No,32,No,Healthcare,1.0,Low,5.0,Cat_7,B
467252,Female,No,33,Yes,,0.0,Low,4.0,,D
459756,Female,Yes,56,No,Lawyer,1.0,High,4.0,Cat_4,B
463789,Female,Yes,53,Yes,Artist,1.0,Low,2.0,Cat_6,C
466947,Male,Yes,57,No,Executive,1.0,High,5.0,Cat_6,C
464150,Female,Yes,59,Yes,Artist,0.0,Average,3.0,Cat_6,C
465693,Female,Yes,25,Yes,Healthcare,1.0,High,4.0,Cat_4,A
461670,Male,Yes,59,Yes,Artist,0.0,Average,6.0,Cat_6,C
466768,Female,Yes,36,Yes,Artist,0.0,Low,4.0,Cat_6,C
461550,Male,Yes,37,Yes,Entertainment,7.0,Low,2.0,Cat_6,A
462438,Male,No,22,No,Doctor,1.0,Low,3.0,Cat_2,D
460704,Male,Yes,43,Yes,Artist,1.0,Low,2.0,Cat_6,B
464884,Male,Yes,41,Yes,Artist,1.0,Low,2.0,Cat_4,A
467050,Female,No,21,No,Engineer,0.0,Low,5.0,Cat_2,B
460738,Female,No,49,No,Engineer,1.0,Low,,Cat_7,A
466176,Male,No,38,Yes,Doctor,8.0,Low,1.0,Cat_2,B
459488,Male,Yes,47,No,Artist,,Average,4.0,Cat_6,A
467773,Male,Yes,70,Yes,Lawyer,1.0,High,3.0,Cat_6,C
465425,Female,No,31,No,Engineer,1.0,Low,4.0,Cat_6,B
462318,Female,Yes,82,No,Lawyer,0.0,Average,2.0,Cat_6,A
466078,Female,Yes,51,No,Executive,,Low,1.0,Cat_6,A
460792,Female,No,42,No,Homemaker,11.0,Low,,Cat_6,A
460197,Male,No,38,Yes,Artist,8.0,Low,3.0,Cat_2,A
459375,Male,Yes,18,No,Executive,0.0,High,4.0,Cat_6,A
463862,Male,Yes,50,Yes,Artist,6.0,Average,3.0,Cat_6,C
460144,Female,No,46,Yes,Doctor,1.0,Low,,Cat_3,A
462721,Female,Yes,72,No,Lawyer,1.0,High,3.0,Cat_6,D
459637,Female,No,33,No,Engineer,,Low,4.0,Cat_6,C
465809,Female,No,25,No,Homemaker,1.0,Low,7.0,Cat_4,B
466915,Female,Yes,75,No,Entertainment,2.0,High,2.0,Cat_2,D
467343,Male,No,72,Yes,Artist,1.0,Low,1.0,Cat_6,B
466268,Female,Yes,72,Yes,Artist,0.0,Average,3.0,Cat_4,C
464868,Male,Yes,36,Yes,Entertainment,6.0,Low,6.0,Cat_4,A
464038,Male,Yes,40,Yes,Artist,1.0,Low,2.0,Cat_6,A
460176,Female,No,28,Yes,Entertainment,0.0,Low,4.0,Cat_6,C
462161,Female,No,28,Yes,Doctor,0.0,Low,3.0,Cat_6,D
464841,Male,,19,No,Entertainment,0.0,High,3.0,Cat_4,D
464893,Male,Yes,43,Yes,Artist,0.0,Low,2.0,Cat_4,B
464443,Female,Yes,35,Yes,Artist,1.0,Average,2.0,Cat_6,B
467619,Male,Yes,65,Yes,Lawyer,1.0,High,2.0,Cat_6,B
465974,Male,Yes,52,Yes,Executive,7.0,High,4.0,Cat_4,C
462075,Female,No,40,Yes,Artist,1.0,Low,1.0,Cat_6,B
459494,Female,Yes,69,No,Engineer,9.0,Low,3.0,Cat_6,A
466921,Female,No,22,No,Healthcare,3.0,Low,3.0,Cat_6,D
463544,Male,Yes,47,Yes,Executive,1.0,Average,4.0,Cat_6,C
461167,Male,Yes,29,Yes,Marketing,1.0,High,2.0,Cat_3,A
467364,Male,Yes,46,Yes,Artist,1.0,Average,3.0,Cat_3,C
462408,Male,No,32,Yes,Artist,1.0,Low,2.0,Cat_6,A
466224,Female,No,38,Yes,Healthcare,0.0,Low,1.0,Cat_2,C
465151,Male,Yes,59,Yes,Artist,0.0,Low,1.0,Cat_6,B
467216,Female,No,26,Yes,Entertainment,1.0,Low,1.0,Cat_6,D
460586,Male,No,26,Yes,Healthcare,1.0,Low,2.0,Cat_3,A
461197,Male,No,28,No,Marketing,0.0,Low,1.0,Cat_3,D
462776,Female,Yes,53,Yes,Engineer,1.0,Average,3.0,Cat_6,C
465058,Female,No,43,,Entertainment,,Low,1.0,Cat_6,B
464088,Male,No,27,No,Doctor,1.0,Low,3.0,Cat_6,D
459471,Female,No,32,No,Artist,,Low,8.0,Cat_6,C
464695,Male,No,26,No,Engineer,0.0,Low,4.0,Cat_4,D
462331,Female,No,31,No,Entertainment,0.0,Low,2.0,Cat_6,D
466523,Male,Yes,39,Yes,Executive,1.0,High,3.0,Cat_3,B
465337,Female,Yes,43,No,Engineer,1.0,Low,3.0,Cat_7,A
460834,Male,Yes,25,No,Doctor,1.0,Low,2.0,Cat_1,A
466824,Male,Yes,40,Yes,Artist,3.0,High,3.0,Cat_6,A
461607,Female,Yes,40,Yes,Entertainment,7.0,Average,2.0,Cat_3,B
465091,Male,Yes,63,Yes,Entertainment,,Average,3.0,Cat_6,C
459532,Female,Yes,27,Yes,Healthcare,,Low,2.0,Cat_6,D
466999,Male,No,27,Yes,Healthcare,1.0,Low,3.0,Cat_6,D
466597,Female,No,19,No,Healthcare,1.0,Low,2.0,Cat_6,D
464075,Female,Yes,86,Yes,Lawyer,0.0,High,2.0,Cat_6,B
463394,Male,Yes,41,Yes,Marketing,,High,2.0,Cat_6,B
462163,Female,Yes,27,Yes,Artist,4.0,Average,2.0,Cat_3,C
463895,Female,Yes,70,No,Doctor,0.0,Average,2.0,Cat_6,B
464767,Female,Yes,53,No,Engineer,8.0,Average,4.0,Cat_4,B
464763,Female,Yes,49,No,Engineer,,Average,4.0,Cat_4,B
460718,Male,Yes,55,No,Executive,3.0,Low,,Cat_4,D
461989,Female,,57,Yes,Engineer,0.0,Average,4.0,Cat_2,C
466374,Male,Yes,83,No,Lawyer,,Low,1.0,Cat_4,B
463738,Male,Yes,43,No,Executive,0.0,High,4.0,Cat_6,A
465967,Male,Yes,36,No,Doctor,6.0,Low,3.0,Cat_6,A
462260,Male,Yes,74,Yes,Lawyer,0.0,Low,2.0,Cat_6,C
467234,Female,No,30,No,Homemaker,0.0,Low,4.0,Cat_6,D
466573,Female,No,37,Yes,Artist,5.0,Low,2.0,Cat_6,B
463229,Female,No,22,No,Marketing,0.0,Low,1.0,Cat_5,B
459768,Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,D
462541,Male,Yes,70,Yes,Engineer,4.0,High,2.0,Cat_6,B
467714,Male,Yes,89,Yes,Lawyer,13.0,Low,1.0,Cat_6,A
467730,Male,No,18,No,Healthcare,,Low,4.0,Cat_6,D
459474,Male,No,25,Yes,Doctor,6.0,Low,1.0,Cat_2,D
460093,Female,No,45,Yes,Artist,4.0,Low,1.0,Cat_3,A
467865,Female,No,35,Yes,Artist,3.0,Low,1.0,Cat_4,A
465758,Female,Yes,37,No,Engineer,7.0,Low,1.0,Cat_4,D
464184,Female,Yes,39,No,Engineer,4.0,Average,2.0,Cat_6,B
462618,Female,No,32,Yes,Healthcare,1.0,Low,5.0,Cat_4,D
464226,Female,Yes,62,Yes,Artist,2.0,Average,3.0,Cat_6,C
465432,Female,Yes,58,Yes,Engineer,0.0,Average,4.0,Cat_4,B
464087,Female,No,32,No,Engineer,,Low,4.0,Cat_6,C
466627,Male,No,25,No,Healthcare,0.0,Low,5.0,Cat_6,C
467380,Female,Yes,56,Yes,Artist,0.0,Average,4.0,Cat_6,C
465842,Female,No,36,Yes,Entertainment,10.0,Low,2.0,Cat_6,A
464622,Female,No,30,No,Healthcare,8.0,Low,3.0,Cat_6,A
462083,Male,No,19,No,Healthcare,1.0,Low,5.0,Cat_6,D
460910,Male,No,27,Yes,Healthcare,0.0,Low,2.0,Cat_6,A
460255,Female,No,38,Yes,Doctor,14.0,Low,1.0,Cat_6,A
460109,Male,Yes,46,Yes,Artist,8.0,Average,2.0,Cat_6,C
464306,Male,No,29,Yes,Artist,3.0,Low,1.0,Cat_6,B
466835,Male,Yes,51,No,Entertainment,1.0,Average,4.0,Cat_7,B
465192,Male,Yes,55,No,Artist,0.0,Low,1.0,Cat_6,A
463380,Female,Yes,69,Yes,Engineer,1.0,Low,1.0,Cat_3,A
462391,Female,No,26,No,Healthcare,1.0,Low,8.0,Cat_7,C
467086,Female,Yes,83,Yes,Lawyer,0.0,Low,3.0,Cat_6,A
460306,Female,No,39,Yes,Healthcare,9.0,Low,1.0,Cat_6,D
460752,Male,Yes,35,Yes,Artist,9.0,Low,1.0,Cat_6,A
467264,Male,Yes,19,No,Marketing,2.0,High,5.0,Cat_6,C
461646,Female,Yes,60,Yes,Artist,,High,4.0,Cat_6,C
463570,Male,Yes,35,Yes,Artist,,Average,4.0,Cat_6,C
465277,Female,No,53,Yes,Engineer,,Low,1.0,Cat_6,B
467426,Female,Yes,86,No,Lawyer,,Low,,Cat_6,B
466258,Female,No,29,No,Healthcare,1.0,Low,3.0,Cat_6,B
463719,Female,No,26,No,Doctor,0.0,Low,1.0,Cat_6,D
460032,Male,No,36,Yes,Engineer,8.0,Low,1.0,Cat_6,A
465175,Female,No,22,No,Homemaker,0.0,Low,4.0,Cat_6,D
466610,Male,No,19,No,Marketing,0.0,Low,5.0,Cat_6,A
459036,Female,Yes,20,Yes,Lawyer,1.0,Average,3.0,Cat_3,A
464047,Male,No,43,Yes,Healthcare,3.0,Low,3.0,Cat_6,D
459496,Female,No,42,Yes,Artist,,Low,3.0,Cat_6,A
459997,Male,No,43,Yes,Entertainment,1.0,Low,2.0,Cat_4,A
463382,Female,Yes,50,Yes,Engineer,4.0,High,3.0,Cat_6,B
460967,Male,No,25,Yes,Entertainment,1.0,Low,2.0,Cat_6,A
465094,Male,Yes,61,No,Artist,1.0,High,2.0,Cat_6,B
461229,Female,Yes,28,Yes,Healthcare,0.0,Average,2.0,Cat_6,A
466442,Male,No,38,Yes,Artist,1.0,Low,1.0,Cat_6,D
464527,Male,No,25,No,Executive,12.0,Low,3.0,Cat_6,A
463560,Female,No,18,No,Healthcare,9.0,Low,5.0,Cat_4,D
