wind_speed,wind_direction,dew_point,temperature,clouds_all,air_pollution_index,year,day,month,dayofweek,hour
5,330,8,5.31,1,272,2012,8,10,0,23
4,340,8,4.63,1,131,2012,9,10,1,0
4,350,1,4.12,1,173,2012,9,10,1,1
4,310,9,4.32,1,125,2012,9,10,1,2
2,320,8,3.82,20,22,2012,9,10,1,4
5,350,7,3.37,40,29,2012,9,10,1,5
3,350,8,3.45,40,210,2012,9,10,1,6
2,360,4,4.16,75,263,2012,9,10,1,7
1,290,6,5.23,90,95,2012,9,10,1,8
1,270,3,6.2,90,189,2012,9,10,1,9
1,250,2,8.22,90,246,2012,9,10,1,10
0,0,4,9.96,90,70,2012,9,10,1,11
1,250,8,10.93,75,224,2012,9,10,1,12
0,0,4,11.99,75,224,2012,9,10,1,13
0,0,1,13.2,90,99,2012,9,10,1,14
1,220,6,14.08,100,105,2012,9,10,1,15
1,200,1,15.38,90,70,2012,9,10,1,16
1,200,8,17.22,90,65,2012,9,10,1,17
1,200,6,16.98,90,229,2012,9,10,1,18
2,230,6,15.71,75,103,2012,9,10,1,19
0,0,4,14.21,90,49,2012,9,10,1,20
3,220,1,11.96,90,257,2012,9,10,1,21
5,230,2,10.31,90,226,2012,9,10,1,22
4,230,4,9.3,90,163,2012,9,10,1,23
3,220,7,8.73,90,71,2012,10,10,2,0
4,230,3,8.63,90,249,2012,10,10,2,1
5,220,1,7.94,75,199,2012,10,10,2,2
4,210,5,8.02,90,155,2012,10,10,2,3
4,210,3,8.1,92,19,2012,10,10,2,6
6,220,2,8.1,99,139,2012,10,10,2,7
3,220,3,8.1,99,69,2012,10,10,2,7
2,170,2,6.95,99,184,2012,10,10,2,8
3,150,7,6.95,99,82,2012,10,10,2,8
3,160,3,6.46,99,248,2012,10,10,2,9
3,170,6,6.46,99,188,2012,10,10,2,9
3,170,2,6.52,99,76,2012,10,10,2,10
2,130,2,7.04,1,90,2012,10,10,2,11
2,140,3,8.94,75,86,2012,10,10,2,12
2,200,7,9.11,75,257,2012,10,10,2,13
2,195,9,8.9,90,204,2012,10,10,2,14
3,190,2,8.44,90,77,2012,10,10,2,15
2,190,2,8.08,81,65,2012,10,10,2,16
2,180,8,9.45,81,108,2012,10,10,2,18
2,190,8,9.45,81,279,2012,10,10,2,19
3,170,7,9.45,81,85,2012,10,10,2,20
2,170,6,9.45,81,75,2012,10,10,2,21
3,150,9,9.45,81,42,2012,10,10,2,22
4,180,5,9.45,81,278,2012,10,10,2,23
4,180,4,0.75,1,39,2012,11,10,3,1
5,170,4,1.25,75,35,2012,11,10,3,3
4,180,8,0.9,75,219,2012,11,10,3,4
5,200,5,0.56,40,278,2012,11,10,3,5
4,200,6,-0.49,1,132,2012,11,10,3,6
5,210,1,-0.5,1,42,2012,11,10,3,7
4,260,8,-0.63,1,152,2012,11,10,3,8
6,280,8,2.04,20,154,2012,11,10,3,9
6,280,9,2.19,1,271,2012,11,10,3,10
7,300,8,10.95,50,14,2012,11,10,3,14
7,300,1,10.95,50,170,2012,11,10,3,15
2,290,2,10.63,75,153,2012,11,10,3,16
1,230,9,10.37,75,161,2012,11,10,3,17
2,220,3,10.17,90,14,2012,11,10,3,18
1,220,7,8.91,90,204,2012,11,10,3,19
3,220,6,8.8,90,134,2012,11,10,3,20
2,253,5,8.66,90,85,2012,11,10,3,21
1,286,3,9.01,90,178,2012,11,10,3,22
0,320,4,9.38,90,226,2012,11,10,3,23
3,260,6,10.76,90,192,2012,12,10,4,0
7,310,6,11.49,90,122,2012,12,10,4,1
4,280,3,11.46,90,285,2012,12,10,4,2
3,217,6,10.03,72,187,2012,12,10,4,3
5,260,8,9.11,72,134,2012,12,10,4,4
7,270,7,7.62,72,208,2012,12,10,4,5
9,270,1,5.38,75,147,2012,12,10,4,6
6,290,1,4.49,75,227,2012,12,10,4,7
6,270,8,4.75,90,177,2012,12,10,4,8
4,313,9,5.03,90,143,2012,12,10,4,9
5,305,8,6.14,75,170,2012,12,10,4,10
7,297,4,7.3,75,281,2012,12,10,4,11
7,297,4,7.8,40,289,2012,12,10,4,12
7,297,3,8.59,40,257,2012,12,10,4,13
7,297,7,8.69,75,231,2012,12,10,4,14
7,297,1,9.3,75,181,2012,12,10,4,15
7,297,1,9.05,75,268,2012,12,10,4,16
5,288,2,8.39,40,265,2012,12,10,4,17
3,280,4,7.06,20,177,2012,12,10,4,18
4,285,1,9.05,56,129,2012,12,10,4,23
4,290,5,-0.57,1,28,2012,13,10,5,0
4,300,2,-1.09,1,256,2012,13,10,5,1
3,280,5,-2.16,1,214,2012,13,10,5,2
3,260,5,-2.86,20,76,2012,13,10,5,3
2,260,6,-3.67,1,194,2012,13,10,5,4
2,260,9,-3.88,1,117,2012,13,10,5,5
2,270,3,-4.24,1,174,2012,13,10,5,6
1,240,3,-4.17,75,130,2012,13,10,5,7
2,244,3,-3.92,40,93,2012,13,10,5,8
3,248,2,-0.54,40,270,2012,13,10,5,9
3,252,8,3.63,20,116,2012,13,10,5,10
4,257,6,6.07,1,132,2012,13,10,5,11
4,257,6,7.2,1,82,2012,13,10,5,12
6,260,5,8.66,1,163,2012,13,10,5,13
4,250,8,9.9,1,298,2012,13,10,5,14
2,220,9,10.81,1,106,2012,13,10,5,15
2,140,2,11.38,1,287,2012,13,10,5,16
3,130,5,11.29,1,263,2012,13,10,5,17
2,120,3,10.49,1,91,2012,13,10,5,18
3,150,3,8.7,20,26,2012,13,10,5,19
4,160,6,8.23,1,189,2012,13,10,5,20
5,190,1,8.69,75,225,2012,13,10,5,21
7,210,8,9.08,90,31,2012,13,10,5,22
6,220,6,9.03,90,245,2012,13,10,5,23
6,240,4,9.34,90,220,2012,14,10,6,0
3,270,1,9.39,90,295,2012,14,10,6,1
5,320,2,9.43,90,216,2012,14,10,6,2
6,350,8,9.08,90,264,2012,14,10,6,3
3,360,9,8.93,90,20,2012,14,10,6,4
5,350,4,9.08,90,43,2012,14,10,6,5
7,350,4,9.09,90,130,2012,14,10,6,6
5,360,4,9.09,90,245,2012,14,10,6,7
6,330,1,9.09,57,192,2012,14,10,6,8
9,330,3,9.28,57,87,2012,14,10,6,9
5,350,8,9.28,57,132,2012,14,10,6,9
7,330,7,9.28,57,285,2012,14,10,6,9
6,320,6,9.18,57,217,2012,14,10,6,10
5,320,6,9.18,57,195,2012,14,10,6,10
5,350,6,9.67,57,26,2012,14,10,6,11
7,330,2,9.67,57,299,2012,14,10,6,11
6,328,7,10.18,57,263,2012,14,10,6,12
6,327,8,10.18,57,108,2012,14,10,6,12
6,326,1,10.18,57,156,2012,14,10,6,12
6,325,1,10.6,93,123,2012,14,10,6,13
5,324,4,10.6,93,106,2012,14,10,6,13
0,0,2,10.6,93,179,2012,14,10,6,13
1,340,2,10.94,93,208,2012,14,10,6,14
1,310,3,10.94,93,186,2012,14,10,6,14
0,0,4,10.94,93,133,2012,14,10,6,14
0,0,8,11.4,93,166,2012,14,10,6,15
0,0,6,11.4,93,104,2012,14,10,6,15
0,0,9,11.53,93,295,2012,14,10,6,16
0,0,5,11.49,93,108,2012,14,10,6,17
0,0,5,11.49,93,244,2012,14,10,6,17
0,0,3,11.25,93,199,2012,14,10,6,18
2,150,2,11.02,93,282,2012,14,10,6,19
4,130,8,10.88,93,27,2012,14,10,6,20
3,0,5,10.43,93,183,2012,14,10,6,21
4,160,4,9.89,93,129,2012,14,10,6,22
5,140,9,8.8,93,265,2012,14,10,6,23
5,170,2,8.8,93,105,2012,14,10,6,23
4,170,7,8.46,93,40,2012,15,10,0,0
6,170,6,8.46,93,106,2012,15,10,0,0
6,160,4,8.42,85,202,2012,15,10,0,1
4,150,5,8.27,85,242,2012,15,10,0,2
2,0,2,8.14,85,55,2012,15,10,0,3
5,140,6,8.14,85,245,2012,15,10,0,3
4,140,4,7.87,85,58,2012,15,10,0,4
5,140,2,7.87,85,171,2012,15,10,0,4
5,160,4,7.67,85,294,2012,15,10,0,5
5,150,1,7.67,85,143,2012,15,10,0,5
5,170,6,7.24,85,266,2012,15,10,0,6
5,170,6,7.04,100,192,2012,15,10,0,7
4,160,9,6.67,100,36,2012,15,10,0,8
4,160,1,6.6,100,149,2012,15,10,0,9
4,170,7,6.92,100,269,2012,15,10,0,10
4,170,8,7.17,90,89,2012,15,10,0,11
2,160,2,8.57,100,189,2012,15,10,0,12
3,140,5,10.86,40,276,2012,15,10,0,13
3,110,5,12.73,1,61,2012,15,10,0,14
1,120,1,13.72,1,93,2012,15,10,0,15
0,0,5,14.45,20,165,2012,15,10,0,16
2,60,8,14.12,20,113,2012,15,10,0,17
2,70,9,13.03,20,106,2012,15,10,0,18
2,90,4,12.05,75,134,2012,15,10,0,19
2,30,8,11.53,75,192,2012,15,10,0,20
2,30,5,11.34,90,63,2012,15,10,0,21
3,10,2,10.39,20,173,2012,15,10,0,22
2,30,5,9.18,75,158,2012,15,10,0,23
2,20,2,8.06,20,299,2012,16,10,1,0
3,10,7,6.72,1,96,2012,16,10,1,1
3,10,4,5.78,1,171,2012,16,10,1,2
2,40,9,4.76,1,177,2012,16,10,1,3
3,10,4,4.06,1,144,2012,16,10,1,4
3,20,9,3.46,1,99,2012,16,10,1,5
3,20,8,2.96,1,90,2012,16,10,1,6
2,20,2,1.66,20,240,2012,16,10,1,7
4,360,3,1.84,20,98,2012,16,10,1,8
2,360,9,4.76,20,11,2012,16,10,1,9
4,340,1,7.56,20,231,2012,16,10,1,10
5,360,7,10.7,20,26,2012,16,10,1,11
6,350,8,12.86,40,205,2012,16,10,1,12
4,360,9,13.16,1,129,2012,16,10,1,13
6,340,4,15,75,251,2012,16,10,1,14
4,340,4,16,75,183,2012,16,10,1,15
0,22,9,15.84,75,41,2012,16,10,1,16
5,330,4,15.71,75,284,2012,16,10,1,17
5,330,1,15.01,90,204,2012,16,10,1,18
6,320,1,14.13,68,13,2012,16,10,1,19
5,340,7,13.89,90,290,2012,16,10,1,20
6,320,7,13.75,90,30,2012,16,10,1,21
7,310,4,13.94,90,247,2012,16,10,1,22
3,320,7,13.94,90,102,2012,16,10,1,23
2,300,4,13.74,75,98,2012,17,10,2,0
2,290,9,13.78,75,122,2012,17,10,2,1
3,330,6,13.78,90,230,2012,17,10,2,2
2,300,2,13.92,90,107,2012,17,10,2,3
3,300,9,13.41,75,151,2012,17,10,2,4
3,320,7,12.76,90,159,2012,17,10,2,5
3,320,2,12.14,90,57,2012,17,10,2,6
3,310,8,11.77,75,60,2012,17,10,2,7
3,290,5,12.2,75,217,2012,17,10,2,8
2,290,3,12.57,100,20,2012,17,10,2,9
0,0,1,12.57,100,279,2012,17,10,2,9
0,0,1,13.94,75,272,2012,17,10,2,10
1,210,9,15.16,75,206,2012,17,10,2,11
1,280,1,15.46,1,195,2012,17,10,2,12
0,0,7,17.17,1,230,2012,17,10,2,13
0,0,9,18.21,1,90,2012,17,10,2,14
1,260,1,18.86,1,231,2012,17,10,2,15
0,0,3,19.46,1,179,2012,17,10,2,16
3,260,1,19.5,1,95,2012,17,10,2,17
1,0,7,17.37,40,53,2012,17,10,2,18
2,150,2,15.2,40,270,2012,17,10,2,19
2,160,7,13.57,40,113,2012,17,10,2,20
2,140,7,12.34,40,293,2012,17,10,2,21
3,140,3,11.07,20,237,2012,17,10,2,22
3,130,6,10.65,20,197,2012,17,10,2,23
4,150,4,10.57,20,130,2012,18,10,3,0
5,150,6,9.65,40,158,2012,18,10,3,1
3,140,2,9.17,99,66,2012,18,10,3,2
4,150,5,9.23,99,198,2012,18,10,3,3
5,160,3,9.61,90,47,2012,18,10,3,4
3,170,7,9.73,99,210,2012,18,10,3,5
2,170,1,11.03,75,238,2012,18,10,3,6
4,150,7,11.54,90,140,2012,18,10,3,7
3,150,5,11.85,90,180,2012,18,10,3,8
0,0,6,13.75,99,44,2012,18,10,3,9
3,140,9,15.2,90,210,2012,18,10,3,10
3,130,2,16.44,90,177,2012,18,10,3,11
3,140,1,15.12,99,255,2012,18,10,3,12
5,160,4,13.26,90,233,2012,18,10,3,13
3,160,3,12.81,90,67,2012,18,10,3,14
2,150,4,13.89,90,299,2012,18,10,3,15
2,150,2,14.03,90,34,2012,18,10,3,16
2,120,1,13.79,90,41,2012,18,10,3,17
1,160,2,12.86,90,119,2012,18,10,3,18
2,210,4,11.52,100,110,2012,18,10,3,19
2,140,8,10.29,100,159,2012,18,10,3,20
1,0,4,9.36,100,202,2012,18,10,3,21
1,80,4,8.75,90,118,2012,18,10,3,22
2,60,9,8.7,90,286,2012,18,10,3,23
0,0,2,8.13,90,242,2012,19,10,4,0
3,90,8,7.82,87,30,2012,19,10,4,1
1,120,4,7.29,87,261,2012,19,10,4,2
2,120,7,7.29,87,23,2012,19,10,4,2
2,110,9,6.87,87,224,2012,19,10,4,3
1,110,8,6.64,87,33,2012,19,10,4,4
2,100,6,6.64,87,29,2012,19,10,4,4
1,120,4,6.64,87,211,2012,19,10,4,4
3,100,6,6.64,87,61,2012,19,10,4,4
5,110,7,6.59,87,195,2012,19,10,4,5
4,110,5,6.59,87,216,2012,19,10,4,5
3,100,5,6.5,87,104,2012,19,10,4,6
6,150,6,6.5,87,275,2012,19,10,4,6
4,150,7,6.5,87,24,2012,19,10,4,6
4,180,8,6.3,91,184,2012,19,10,4,7
8,240,7,6.3,91,228,2012,19,10,4,7
8,250,1,6.07,91,19,2012,19,10,4,8
6,250,5,6.07,91,28,2012,19,10,4,8
7,240,9,6.07,91,77,2012,19,10,4,8
5,240,2,6.2,91,287,2012,19,10,4,9
5,240,8,6.2,91,24,2012,19,10,4,9
5,250,1,6.77,91,123,2012,19,10,4,10
3,230,7,7.29,90,167,2012,19,10,4,11
6,240,7,7.85,90,113,2012,19,10,4,12
5,250,7,8.36,90,289,2012,19,10,4,13
4,250,5,8.78,92,95,2012,19,10,4,14
4,260,2,8.79,92,103,2012,19,10,4,15
3,240,2,8.79,92,183,2012,19,10,4,15
3,250,6,9.12,92,251,2012,19,10,4,16
3,230,5,9.26,92,271,2012,19,10,4,17
3,260,2,9.06,90,291,2012,19,10,4,18
2,250,8,8.54,75,156,2012,19,10,4,19
3,250,1,8.11,90,11,2012,19,10,4,20
3,250,4,7.51,92,77,2012,19,10,4,21
3,260,1,7.28,92,78,2012,19,10,4,22
3,230,5,7.28,92,56,2012,19,10,4,22
3,230,9,6.95,92,73,2012,19,10,4,23
2,240,2,6.95,92,89,2012,19,10,4,23
0,0,5,6.95,92,263,2012,19,10,4,23
0,0,7,6.91,92,246,2012,20,10,5,0
0,0,1,6.91,92,148,2012,20,10,5,0
0,0,9,7.13,96,273,2012,20,10,5,1
0,0,1,7.13,96,163,2012,20,10,5,1
0,0,6,7.23,96,141,2012,20,10,5,2
0,0,4,7.47,96,235,2012,20,10,5,3
0,0,7,7.47,96,101,2012,20,10,5,3
0,0,3,7.76,96,127,2012,20,10,5,4
0,0,9,7.76,96,135,2012,20,10,5,4
0,0,8,7.76,96,236,2012,20,10,5,4
0,0,2,7.81,96,188,2012,20,10,5,5
0,0,5,7.81,96,94,2012,20,10,5,5
0,0,4,7.81,96,173,2012,20,10,5,5
0,0,7,7.98,96,239,2012,20,10,5,6
0,0,9,7.98,96,215,2012,20,10,5,6
0,0,2,7.98,96,113,2012,20,10,5,6
0,0,9,8.13,100,123,2012,20,10,5,7
2,20,7,8.13,100,197,2012,20,10,5,7
1,300,2,8.13,100,280,2012,20,10,5,7
2,310,5,8.04,100,60,2012,20,10,5,8
1,340,7,8.04,100,231,2012,20,10,5,8
2,360,5,8.04,100,120,2012,20,10,5,8
2,10,4,8.55,100,64,2012,20,10,5,9
2,30,8,8.55,100,21,2012,20,10,5,9
3,50,6,8.55,100,199,2012,20,10,5,9
4,20,4,8.55,100,164,2012,20,10,5,9
3,30,9,8.87,100,274,2012,20,10,5,10
3,30,4,8.87,100,113,2012,20,10,5,10
4,10,6,8.87,100,172,2012,20,10,5,10
3,20,4,8.87,100,150,2012,20,10,5,10
3,0,5,9.2,100,246,2012,20,10,5,11
1,360,2,9.2,100,53,2012,20,10,5,11
1,30,8,9.2,100,248,2012,20,10,5,11
1,270,5,9.56,100,106,2012,20,10,5,12
1,320,8,9.56,100,107,2012,20,10,5,12
0,0,2,9.56,100,62,2012,20,10,5,12
0,0,2,9.56,100,118,2012,20,10,5,12
0,0,8,10.16,48,266,2012,20,10,5,13
0,0,9,10.64,90,20,2012,20,10,5,14
0,0,4,11.05,75,187,2012,20,10,5,15
0,0,4,11.17,90,34,2012,20,10,5,16
0,0,8,10.98,75,135,2012,20,10,5,17
0,0,9,9.99,40,275,2012,20,10,5,18
0,0,3,8.25,40,142,2012,20,10,5,19
0,0,8,7.32,20,287,2012,20,10,5,20
0,21,3,6.37,20,51,2012,20,10,5,21
0,42,3,5.7,48,110,2012,20,10,5,22
1,63,4,4.97,48,293,2012,20,10,5,23
1,84,6,4.79,48,286,2012,21,10,6,0
2,105,6,2.78,60,148,2012,21,10,6,8
2,126,3,2.78,60,230,2012,21,10,6,8
2,147,7,10.94,75,78,2012,21,10,6,17
3,168,8,9.45,75,186,2012,21,10,6,18
3,190,4,8.57,90,206,2012,21,10,6,22
4,220,5,8.11,90,42,2012,21,10,6,23
3,200,2,8.14,75,237,2012,22,10,0,0
3,180,9,7.86,75,145,2012,22,10,0,1
3,160,2,7.42,40,143,2012,22,10,0,2
3,140,3,7.39,75,152,2012,22,10,0,3
3,140,9,6.22,8,254,2012,22,10,0,4
3,140,9,6.03,8,146,2012,22,10,0,5
2,130,4,5.9,8,70,2012,22,10,0,6
2,120,2,9.55,38,65,2012,22,10,0,10
3,110,6,13.02,40,142,2012,22,10,0,11
3,120,6,15.46,75,217,2012,22,10,0,12
4,110,8,17.44,20,135,2012,22,10,0,13
4,120,6,19.06,75,132,2012,22,10,0,14
4,129,7,20.41,75,240,2012,22,10,0,15
4,138,6,20.28,40,44,2012,22,10,0,16
4,147,2,20.25,40,275,2012,22,10,0,17
4,156,1,18.32,20,100,2012,22,10,0,18
5,120,4,16.02,20,30,2012,22,10,0,19
5,130,7,14.13,1,149,2012,22,10,0,20
5,150,5,12.95,1,274,2012,22,10,0,21
6,150,5,12.3,75,129,2012,22,10,0,22
6,160,9,12.18,90,230,2012,22,10,0,23
6,170,9,11.92,90,32,2012,23,10,1,0
3,180,9,11.43,90,48,2012,23,10,1,1
3,230,9,10.73,75,244,2012,23,10,1,2
2,300,7,10.4,75,250,2012,23,10,1,3
4,320,8,9.7,20,137,2012,23,10,1,4
2,300,1,9.27,20,31,2012,23,10,1,5
1,0,8,8.98,75,64,2012,23,10,1,6
1,310,6,8.7,40,56,2012,23,10,1,7
3,10,5,8.7,20,243,2012,23,10,1,8
0,0,7,9.92,75,36,2012,23,10,1,9
1,320,9,11.38,90,57,2012,23,10,1,10
2,360,6,12.45,75,176,2012,23,10,1,11
3,350,9,13.48,90,280,2012,23,10,1,12
2,360,2,13.6,99,90,2012,23,10,1,13
4,10,9,14.82,90,127,2012,23,10,1,14
4,30,4,15.39,99,54,2012,23,10,1,15
3,20,1,15.57,90,284,2012,23,10,1,16
4,20,6,15.38,90,190,2012,23,10,1,17
4,20,1,15.01,90,241,2012,23,10,1,18
5,20,2,14.44,90,95,2012,23,10,1,19
5,30,6,14.06,90,114,2012,23,10,1,20
6,20,6,13.14,90,252,2012,23,10,1,21
5,30,8,12.55,90,186,2012,23,10,1,22
5,40,5,12.46,90,243,2012,23,10,1,23
7,60,3,12.22,99,87,2012,24,10,2,0
6,70,4,12.22,99,135,2012,24,10,2,0
4,70,4,12.36,90,198,2012,24,10,2,1
5,70,4,12.45,100,69,2012,24,10,2,2
4,80,8,12.84,100,229,2012,24,10,2,3
4,60,4,12.84,100,85,2012,24,10,2,3
5,60,4,12.79,100,100,2012,24,10,2,4
4,70,9,12.79,100,125,2012,24,10,2,4
4,70,5,12.82,90,289,2012,24,10,2,5
4,80,1,12.82,90,176,2012,24,10,2,5
5,80,2,12.82,90,135,2012,24,10,2,5
4,100,5,12.58,90,242,2012,24,10,2,6
7,110,8,12.58,90,123,2012,24,10,2,6
4,100,8,12.58,90,109,2012,24,10,2,6
5,110,5,12.58,90,160,2012,24,10,2,6
3,100,2,12.35,90,81,2012,24,10,2,7
4,70,6,12.35,90,176,2012,24,10,2,7
5,90,6,12.4,90,81,2012,24,10,2,8
