Review Text,Review Title,topic
"First of all the style I am leaving a review for is: Solimo incontinent Maximum Absorbency Long Length individually wrapped.<br />I had always used a name brand but still had to search for something better.<br />When I first ordered these, I must say I was very pleasantly surprised.<br />For my daytime use, these worked great.<br />They were very soft, long but not to long. Wide enough but not to wide.<br />And they worked for those gushes. Well for myself, I really liked them.<br />They stuck well, but not to much.<br />And then they changed the outside wrapper.<br />They used to be individually wrapped inwhich you would take off the outside wrap and then peel off the paper strip and then attach.<br />But now what they have done is they have attached the paper strip to the outer wrap covering. So now when you unwrap it, the paper strip that covers the sticky stuff comes off all at the same time. Bad move!! Picture this, you go into the bathroom to change your pad. You take the new pad and go to take the outside wrap off but now the strip that covers the sticky part comes off as well. Now you have to somehow hold that new pad while taking off the old pad and wanting to use the outside wrap to wrap the old pad up but oops, now the new pad falls to the floor because you now have to hold on to everything at the same time. I used to be able to at least recycle the paper strip but you can't anymore because the outer wrap and the paper strip are attached. Why can't they just leave things the way they were? Now I'm stuck with yet another product that is crappy. I'm just not happy about the ""new"" changes. Please bring back the old style!!!",Bring back the old style!!,Color and texture
"These smelled horrible! As soon as I opened the bottle I was hit by a smell of ammonia or perm solution. I don’t know if this is just how these smell or if something was wrong with them but I was afraid to take them. I let ""X Brand"" know and they refunded my purchase.",Smelled like ammonia,Smells Bad
Super easy these don’t work and definitely doesn’t give you energy. I’ll stick with GNC instead.,Horrible waste of money.,Texture
Super easy these don’t work and definitely doesn’t give you energy. I’ll stick with GNC instead.,Horrible waste of money.,Not Effective
"By my lights, these are a big disappointment.  Finding good veggie vitamins isn’t always easy.  And the convenience of gummies was appealing.  But:  these have a lot of sugars in them, and a lot of calories.  Neither my dentist nor my waistline would be happy if I consumed the recommended dosage of three gummies a day.","Too much sugar in these, and too many calories for a multiple-dose vitamin",Too Sweet
"By my lights, these are a big disappointment.  Finding good veggie vitamins isn’t always easy.  And the convenience of gummies was appealing.  But:  these have a lot of sugars in them, and a lot of calories.  Neither my dentist nor my waistline would be happy if I consumed the recommended dosage of three gummies a day.","Too much sugar in these, and too many calories for a multiple-dose vitamin",Ingredients
"Absolutely did not improve my health at all in any way, shape or form.",Useless Product!,Not Effective
I was having neck surgery and thought I would stock up. My last order was a big one and whe n I opened second Pack the expiration date was just two weeks away! I couldn't drink all of them and now have 2 packs of 12 that have expired. They always had a longer shelf life but they obviously were getting rid of their old stock.,Expiration Date,Expiry
"I don't know why the ratings are so high for this - I have used so many different brands of lavender essential oils, from high quality Aura Cacia to cheaper lesser known ""X Brand"" brands -  none of them have smelled like NOW's lavender essential oil does.  It smells like stale flowers and nothing like lavender.  I am really disappointed after paying $22.00 for this.  The sad part is I can't return or get a refund since I already opened it.  DO NOT BUY THIS.",smells BAD,Quality/Contaminated
"I don't know why the ratings are so high for this - I have used so many different brands of lavender essential oils, from high quality Aura Cacia to cheaper lesser known ""X Brand"" brands -  none of them have smelled like NOW's lavender essential oil does.  It smells like stale flowers and nothing like lavender.  I am really disappointed after paying $22.00 for this.  The sad part is I can't return or get a refund since I already opened it.  DO NOT BUY THIS.",smells BAD,Smells Bad
"I don't know why the ratings are so high for this - I have used so many different brands of lavender essential oils, from high quality Aura Cacia to cheaper lesser known ""X Brand"" brands -  none of them have smelled like NOW's lavender essential oil does.  It smells like stale flowers and nothing like lavender.  I am really disappointed after paying $22.00 for this.  The sad part is I can't return or get a refund since I already opened it.  DO NOT BUY THIS.",smells BAD,Customer Service
Doesn't smell anything like rosehip oil. Smells more like cooking oil or stale oil. The fact its all opened without sealing protection makes me very suspicious of this product. Don't buy from this 365 company ever. May have the seal of organic approval but it's shady in the packaging. I'm not putting this on my face. I will mix it with other hair oils I have as a hair treatment tonic. I wish I could give it a zero... For horrid smell and worse poor packaging of an oil bottle ever.,Horrid packaging and smell,Smells Bad
Doesn't smell anything like rosehip oil. Smells more like cooking oil or stale oil. The fact its all opened without sealing protection makes me very suspicious of this product. Don't buy from this 365 company ever. May have the seal of organic approval but it's shady in the packaging. I'm not putting this on my face. I will mix it with other hair oils I have as a hair treatment tonic. I wish I could give it a zero... For horrid smell and worse poor packaging of an oil bottle ever.,Horrid packaging and smell,Packaging
I thought I used that size but I need the 39 gallon.  I will find a use for the ones I did by.  My bad.,Check the size u need.,Quality/Contaminated
they Taste awful.  I am now cutting them up into swallowable pieces to try and get them down without tasting.  Kind of defeats the purpose of a chewable,Yucky taste,Bad Taste/Flavor
"I really do like these diapers. I’ve never had problems with them but this time I’ve ordered them, I’ve noticed a few things. One being that even though I got the size my daughter wears, they were still really really big! Which is weird because.. these diapers have never been like that before. Second thing is that they’re coming apart.. like one of the layers of the diapers which I’ve never noticed before. Idk if something changed with the diapers recently or if maybe I never realized these things when we’ve ordered them before. Besides that, I never have any leaks or problems, they’re absorbent and reliable! I always recommended them but now.. I’m unsure!","Loved them at first, now unsure",Texture
"No idea how this got such great reviews. Literally passed out after 2 weeks from this. I thought it was possibly something else but the nausea and dizziness only came after taking this. Also, did not at all do what was claimed.",FINISHED BOTTLE AND THEY DO NOT WORK. CAUSED DIZZINESS AND NAUSEA,Not Effective
"Ordered the Ripped version and got regular, ordered Raspberry Lemonade and got Frozen Bombsicle, not what I ordered...",Wrong item,Wrong Product received
"We love these diapers, but will no longer be buying them. The price has gone up $12 in less than two months.",Huge price increase,Too big to swallow
"It's a good allergy medication but the product information (""compare this item"" section) states its it's a pack of 2. It's not. It's one bottle. Considering that I could buy the same brand in a 2 -pack (2 bottles with 365 tablets each)  at Costco for less than this price, I feel ripped off. It's false advertising.",Not a 2-pack!,Allergic
Found cheaper at store,Too expensive,Pricing
Absolutely HATE the size of this enormous horse pill.  Super hard to get down.  I’d rather buy the smaller ones and have to take more of them.,Never again!!,Too big to swallow
"This product never arrived.  Ordered weeks ago.  Still in transit.  No option to receive a refund.  No ability to communicate with ""X Brand"".  Need refund!",This Never Arrived,Shipment and delivery
"I'm not a big meat eater so its great to get half my recommended intake of protein in a morning shake with this powder as the base.  It's great to have any food product with only 2 ingredients on the list and I do appreciate the grass-fed aspect of this product.  The unflavored version of the product didn't add anything to the taste or texture of my smoothie, but I guess that's the point for those who choose this style.  Personally, I'd get the vanilla next time as I like how that compliments the fruits and covers up the veggies.<br /><br />Comes in a big jug, with a handy scoop.",lots of protein per serving,Color and texture
Great product BUT.....The order arrived with the complete bottom of the bottle broken out and glass and the vitamins spilled out. Do I return this bottle or get a refund? Not sure if I want to take them with the pills mixed in with all the broken glass. HELP!,Bottom of bottle totally broken out!,Packaging
Made me feel weird. I did not like it.,Not for me,Texture
Never received it!,Lost in shipment!,Shipment and delivery
I liked the ingredients initially. I disliked it felt like I was eating a pillow and allergic to nuts. I ate it for my healthy.,Healthly food may not always taste nice.,Allergic
I liked the ingredients initially. I disliked it felt like I was eating a pillow and allergic to nuts. I ate it for my healthy.,Healthly food may not always taste nice.,Bad Taste/Flavor
"I love that they're vegan and cheap. However, they are very sugary and don't taste too good. They don't taste bad, but I'm disappointed whenever I eat them. They get the job done, but I will try out another brand once they're gone. Honestly in this day and age with so many options, taste is the game that wins out.",Just okay,Quality/Contaminated
"So i got this because of the reviews and i love this brand, plus it seemed that it was a great concept for my macros!<br /><br />The thing i did not realize was the oats are kind of very finely ground and do not i repeat do NOT mix very well.<br /><br />I figured since this was whey and oats i would use warm/hot water to mix this up with since lets be honest who doesn't like a hot blueberry muffin! well even with the warm water as soon as you take a gulp of this it instantly drys the back of your throat causing you to cough. I love the flavor of it its just like it says blueberry muffin, but the dryness of the oats is a real downfall. i have not let it sit in hot water yet, but i do not think it will make a difference.<br /><br />other than that its a good product with great macros and a good flavor that is the only reason for the 2 stars. if it did not taste as good as it does than 1 star all of the way. my apologies optimum nutrition but this was a fail.",Dry,Bad Taste/Flavor
I told my boyfriend I was going to get him some supplements but not what I was giving him to avoid the placebo affect. He had no change at all!,Doesn’t work,Not Effective
Misleading information on packaging. It has only 168mg of cranberry concentrate! Don’t expect to get 4200mg as it says on the front.<br />On a packaging of another brand I got those two numbers match.,Misleading information,False Advertisement
I like the ingredient list and I like the reviews however this is very hard to take. Almost makes me sick. I'm real disappointed with it. Too expensive just to throw away.,Not good for me,Pricing
I like the ingredient list and I like the reviews however this is very hard to take. Almost makes me sick. I'm real disappointed with it. Too expensive just to throw away.,Not good for me,Quality/Contaminated
I like the ingredient list and I like the reviews however this is very hard to take. Almost makes me sick. I'm real disappointed with it. Too expensive just to throw away.,Not good for me,Allergic
I like the ingredient list and I like the reviews however this is very hard to take. Almost makes me sick. I'm real disappointed with it. Too expensive just to throw away.,Not good for me,Color and texture
"I did not receive this product, I want my money back please!",Reclamação,Shipment and delivery
Made me gain weight and did not give me the energy I was looking for.,Did not work for me,Not Effective
"These are GAWD awful, they do not stick, they are uncomfortable because it doesn't stick so it moves around making it very uncomfortable and difficult to absorb. These are HORRIBLE",Horrible product,Texture
Well a product I didn’t order. Haven’t received it yet,Didn’t order,Shipment and delivery
Have not received my order yet!,Slow shipping,Shipment and delivery
I did not receive this item. Somebody dropped the ball.,Where is my order????,Shipment and delivery
Never received my package! Yet I don’t have any options than to write the crappy review!,Never received!,Shipment and delivery
Weak oil. Bad inner lid. Bad cost benefit.,Poor cost benefit,Quality/Contaminated
Yeah... the flavor isn’t great and I didn’t feel energized after i drank it. I love Vega’s protein powder but the energize was a fail.,Get something else for your preworkout,Bad Taste/Flavor
"Took product for 2 days, very bad gas! Will not be taking again. I even cut the dose in half on day 2, and still terrible. Beware!","Gas, gas, gas!",Quality/Contaminated
"Took product for 2 days, very bad gas! Will not be taking again. I even cut the dose in half on day 2, and still terrible. Beware!","Gas, gas, gas!",Allergic
"EDIT 7/2/2019 - One Star Rating EARNED by #GardenOfFail<br /><br />Garden of Life directed me to send a DM to them on Twitter. I did so on 6/3/2019. 2 weeks go by without a response. I called them out on that, saying that their tweet did not age well.  They responded by blocking me.<br /><br />Avoid Garden of Life if you prefer to not reward a company who actively tries to bait-and-switch/rip customers off by reducing the measuring cup size and/or actual content within the packages. This is an ongoing problem with these deceptive people - read the reviews to see others having found this problem, too.<br /><br />Time to move on to a company that deals with its customers with integrity, honor and respect.<br /><br />=====================================<br /><br />Original Review:<br /><br />You can read across the other reviews to see what folks say about the flavor and blending - I can tell you that the current flavor blend for the Chocolate Protein powder is superb and it is smooth-blending.<br /><br />However, do not be fooled by the ""20-servings"" on the label. You only get 15 servings with a level 90cc scoop (which is included in the package).  They're lying through their teeth on the label which is despicable and unfortunate.<br /><br />They're pulling a similar stunt with their ""Perfect Food"" super greens powder where they've snuck a 20cc measuring cup in to replace the long-running 25cc measuring cup with no warning on the packaging whatsoever.<br /><br />Garden of Life is not trustworthy so just keep an eye on the packages and enjoy the shakes.. but know that they are not being honest with us.",Claims 20 servings but only provides 15 - #GardenOfFail,Bad Taste/Flavor
"This is not tea tree oil, I don't know what it is but I've gotten way better quality for much less. Also, the dropper is the worst and doesn't stick so I ended up with an abundance spilled out and this terrible stench of gas, never smelt tea tree oil like that.",Just awful!,Texture
"I should had listened to other people. It taste terrible, like some horrible medicines. It may supply good vitamin for your need but I just cannot take it. It is also hard to bite. It is hard like some cold overnight supper dry bread. The vitafusion tastes much better and softer than this. Will not buy again.",Taste terrible!!!!,Bad Taste/Flavor
"I should had listened to other people. It taste terrible, like some horrible medicines. It may supply good vitamin for your need but I just cannot take it. It is also hard to bite. It is hard like some cold overnight supper dry bread. The vitafusion tastes much better and softer than this. Will not buy again.",Taste terrible!!!!,Customer Service
"It may be fine, but I did not order it.",did not order,Customer Service
My tea tree oil broken. WoohooNatural please send me a new one. Was looking forward to making DIY for my trip this week. 😞,It’s broken.,Packaging
"The product itself is fine as it makes me sleepy and helps me fall asleep. The taste leaves a bit less to be desired, but the packaging, oh the packaging is a nightmare. I have fairly small hands but the container is a weird square shape which makes it impossible to grip. I spent half an hour trying to get this darn thing open and finally accessed the gummies by using a pair of scissors to stab open the side of the container. Which was actually pretty difficult. I was actually sweaty but the time I got a single gummy out of the container and was very very awake and annoyed. Ultimately the actual product worked and it made me fall asleep but I wouldn’t buy this product again in this packaging. Just not worth the hassle.",Product works but terrible container that’s difficult to open,Texture
"This seller sent wrong product, wouldn’t refund. Then promised to send the right product but didn’t",Don’t buy from this seller,Wrong Product received
"Maybe I am missing something, but I don’t see any DHA in the ingredients",No DHA,Packaging
"I'm not a coffee drinker, so maybe I should have ordered another flavor. I've tried a lot of protein powders, and this one is too sweet for me. The consistency is thin, even with two scoops and mixed with unsweetened almond milk.  I'm use to a thicker shake.","Too Sweet, Thin Consistency",Bad Taste/Flavor
"I'm not a coffee drinker, so maybe I should have ordered another flavor. I've tried a lot of protein powders, and this one is too sweet for me. The consistency is thin, even with two scoops and mixed with unsweetened almond milk.  I'm use to a thicker shake.","Too Sweet, Thin Consistency",Too Sweet
Disgusting flavor - dear gahhhhhhh,Gross,Bad Taste/Flavor
"I am not a big product reviewer, but I felt others should be aware of my experience in case the same thing happens to them. I started taking this calcium supplement about a year ago when Trader Joe’s discontinued the ones I had taken for about a decade. I didn’t put two and two together for months, but these caused chronic diarrhea for me, which has never been an issue for me before. At first I attributed it a prescription, then stress, then thought maybe I had developed lactose intolerance. I tried eliminating wheat, then dairy, then tried the Whole30 elimation diet- nothing helped.  I even got a celiac disease test and had my TSH levels checked in case those were the cause of the problem.  Even my doctor ran out of ideas. Then I noticed that whenever I travelled my symptoms would disappear, and started focusing on things that were different when I traveled. I don’t take my vitamins along and then also realized all the problems started when I switched calcium brands.  I stopped taking them and symptoms disappeared in 48 hours, after months of daily misery and way too much time wasted in the bathroom.  I don’t know what is in this supplement that’s causing the problem, but I have never had an issue with a vitamin before. You couldn’t pay me to take these again. I am steering clear of this brand now because I don’t trust their products anymore.",Beware - caused bad IBS symptoms for me,Quality/Contaminated
"I am not a big product reviewer, but I felt others should be aware of my experience in case the same thing happens to them. I started taking this calcium supplement about a year ago when Trader Joe’s discontinued the ones I had taken for about a decade. I didn’t put two and two together for months, but these caused chronic diarrhea for me, which has never been an issue for me before. At first I attributed it a prescription, then stress, then thought maybe I had developed lactose intolerance. I tried eliminating wheat, then dairy, then tried the Whole30 elimation diet- nothing helped.  I even got a celiac disease test and had my TSH levels checked in case those were the cause of the problem.  Even my doctor ran out of ideas. Then I noticed that whenever I travelled my symptoms would disappear, and started focusing on things that were different when I traveled. I don’t take my vitamins along and then also realized all the problems started when I switched calcium brands.  I stopped taking them and symptoms disappeared in 48 hours, after months of daily misery and way too much time wasted in the bathroom.  I don’t know what is in this supplement that’s causing the problem, but I have never had an issue with a vitamin before. You couldn’t pay me to take these again. I am steering clear of this brand now because I don’t trust their products anymore.",Beware - caused bad IBS symptoms for me,Allergic
"The Shea butter is very grainy and take a bit to warm in my hands to apply.<br />It has not been as effective as I hoped, but, I will continue to use it and see what happens.",Not that impressed.,Not Effective
I have Lakanto granulated monkfruit sweetener and love it. This tasted mostly of that fake sweetener alcohol taste. I really wanted to like it but the alcohol is overwhelming.,Tastes strongly of alcohol,Ingredients
I gave this a try after I couldn't get the Nutri-Dyn Dynamic Health Drink. Huge mistake. It has an odor that smells like sour milk and I had to drink it while holding my breath. Awful taste for the salted caramel. I wish I could return this but now will just have to dump it.,Smells so bad I thought my almond milk was old,Too big to swallow
I gave this a try after I couldn't get the Nutri-Dyn Dynamic Health Drink. Huge mistake. It has an odor that smells like sour milk and I had to drink it while holding my breath. Awful taste for the salted caramel. I wish I could return this but now will just have to dump it.,Smells so bad I thought my almond milk was old,Quality/Contaminated
I gave this a try after I couldn't get the Nutri-Dyn Dynamic Health Drink. Huge mistake. It has an odor that smells like sour milk and I had to drink it while holding my breath. Awful taste for the salted caramel. I wish I could return this but now will just have to dump it.,Smells so bad I thought my almond milk was old,Bad Taste/Flavor
he entire package was not sealed..anyone could have opened it and took what's inside....things inside could have fallen out or lost. This is the second time that it has happened. Most of the time I received sealed package..except this one and one other one in the past. Please seal the package completely.,The entire package was not sealed..,Shipment and delivery
They leak.  Now I am stuck with three more packages.,Look for another product,Texture
"I received this, and the cover was broken already.",low quality container,Packaging
The new formula tastes disgusting. So disappointed.,Yuck!,Bad Taste/Flavor
"Its still legal for them to sell this, however, as a pharmacist I can tell you its bad form to sell medication so close to its expiration date. How am I going to use that many Ibuprofen in a month?",Only a month until expired,Quality/Contaminated
"Its still legal for them to sell this, however, as a pharmacist I can tell you its bad form to sell medication so close to its expiration date. How am I going to use that many Ibuprofen in a month?",Only a month until expired,Ingredients
"Its still legal for them to sell this, however, as a pharmacist I can tell you its bad form to sell medication so close to its expiration date. How am I going to use that many Ibuprofen in a month?",Only a month until expired,Expiry
"Came opened with 3 silica driers in it. It was most likely returned then repackaged with a new tape around the cap. Threw it in the garbage. And just like that, they lost a regular customer.",Repackaged,Shipment and delivery
"Of the last four bottles ordered, three had leaking gelcaps and two of the bottle safety seals (covering the opening of the bottle after the cap is removed) were not sealed at all, they stuck to the cap when I opened the bottle.<br /><br />""X Brand"" policy is no refunds on this item even though it was sold and shipped by ""X Brand"", so I contacted customer service and told them of the issues. They offered a refund.<br /><br />I never had a problem ordering these from ""X Brand"" until recently. It may be they were stored in too hot a warehouse which causes gelcap leaking, but I don't know if that's the reason the safety seals were unattached. The bottles I received expire in Oct. 2020, so they are still within their ""fresh"" window, but high temperatures will probably weaken their efficacy.",Don't Trust,Texture
"Of the last four bottles ordered, three had leaking gelcaps and two of the bottle safety seals (covering the opening of the bottle after the cap is removed) were not sealed at all, they stuck to the cap when I opened the bottle.<br /><br />""X Brand"" policy is no refunds on this item even though it was sold and shipped by ""X Brand"", so I contacted customer service and told them of the issues. They offered a refund.<br /><br />I never had a problem ordering these from ""X Brand"" until recently. It may be they were stored in too hot a warehouse which causes gelcap leaking, but I don't know if that's the reason the safety seals were unattached. The bottles I received expire in Oct. 2020, so they are still within their ""fresh"" window, but high temperatures will probably weaken their efficacy.",Don't Trust,Expiry
"This product from ""X Brand"" has a horrible taste I always get mine from nutrition pit and it’s amazing I have no idea why this product is so horrible. Can anyone help me message the seller",HORRIBLE,Bad Taste/Flavor
Did nothing.,Waste of money.,Not Effective
"I liked these vitamins because I felt like I had more energy while taking them, but it made me and my baby extremely gassy with diarrhea (and fussy on her end). I’ve stopped taking them for about a week and our gas and her fussiness are completely gone. It’s a shame though because I’ve definitely noticed my energy dropping since switching to a different vitamin.",Increased energy BUT also increased tummy issues,Allergic
Taste like garbage,YUCK,Bad Taste/Flavor
Came with a broken plastic cap. No scent and I didn't notice that it moisurizes,Not worth it,Packaging
Bag arrived open and seems a bit stale.  I do not see a way to contact the seller though.  For these reasons I would not recommend,Bag arrived open,Smells Bad
"These made me sick as a dog. I threw up several times, each time I tried them. Don't buy them, warning..",Made me sick,Allergic
"Day 3 of this vitamin and I broke out in hives all over my face, neck, arms, and back. Felt like lava being poured down my body. I like that this vitamin did not upset my stomach but will not continue taking.",Allergic Reaction/Hives,Allergic
They have been returned.,The pills were all stuck together and discolored.,Texture
"I received it expired with a month !!!! the gums are stuck together and dry, do not buy this product from this seller, look for it in a pharmacy or other seller",Product is expired,Texture
"I received it expired with a month !!!! the gums are stuck together and dry, do not buy this product from this seller, look for it in a pharmacy or other seller",Product is expired,Customer Service
"I received it expired with a month !!!! the gums are stuck together and dry, do not buy this product from this seller, look for it in a pharmacy or other seller",Product is expired,Expiry
"I forgot to read the reviews, something I always do … and I'm paying for it, drinking this horrible tasting, poor mixing supposedly vanilla protein drink. Boy, what a disappointment … but that's what I get. DON'T order this stuff!",That'll teach me!,Bad Taste/Flavor
"This is a good product. I use it often. However, with this bottle, all the capsules are stuck together.  I had to cut open the entire bottle, now i am trying to separate them.",Packaging of this product,Texture
"I have a lot of trouble falling asleep, and often take Melatonin to help out. These gummies are usually pretty good, but recently I ordered four bottles and every bottle is full of gummies that don't feel fresh. They're harder and drier than others I've purchased in the past.<br /><br />Even with the not-so-great bottles, this is one of the very few brands that seem to work. I've tried other Melatonin supplements and they don't seem to work as well as these. I just wish the freshness was consistent.",Hit or miss with freshness,Not Effective
"I have a lot of trouble falling asleep, and often take Melatonin to help out. These gummies are usually pretty good, but recently I ordered four bottles and every bottle is full of gummies that don't feel fresh. They're harder and drier than others I've purchased in the past.<br /><br />Even with the not-so-great bottles, this is one of the very few brands that seem to work. I've tried other Melatonin supplements and they don't seem to work as well as these. I just wish the freshness was consistent.",Hit or miss with freshness,Packaging
"Impossible to chew, nasty flavor. Spend a few more bucks on some quality protein.","Disgusting, dont waste your time",Bad Taste/Flavor
Didn’t work for me,Didn’t work,Not Effective
"I really wanted this to work for me. Problem is that I started to take this in Dec 2018 when the pollen count is low here in Ohio. I have tried a couple other different brands that say they have the same ingredient as Zyrtec (Cetirizine HCL 10 mg) and they did not work at all. I came across this one day and I figured with all the great 5 star reviews, the cheap price compared to Zyrtec and enough for a year, I would give it a shot. Well, it's now towards the end of March and I've been sneezing my head off and blowing my nose 25 times a day for the last couple days as the tree pollen is starting to rise. I soo wanted this stuff to work but just now ordered a twin 50 pack of Zyrtec. Oh well, I tried.",Hopes Were High!!,Not Effective
Did not make it cold was hot and cold shipping was not effective,Cold shipping didn’t work,Not Effective
Took one heaping teaspoon every morning. Finished the entire container. Feel no different.,Did nothing,Not Effective
"Are you guys serious? This is the second time I tried to purchase TMG. First time you sent me an iPhone charging cable, this time you sent me a USB port... How are you still sellers??? I had this reshiooed internationally so can't return. Have you ever actually sent anyone TMG or is this just a straight up scam. How does ""X Brand"" allow this?","Second order, still have never received TMG",Shipment and delivery
"The taste of sucralose .....  AWFUL!!!!  Couldnt understand how 72% gave 5 STAR  until I came across a post.  NATURE BOUNTY made some change ot this product and has not been the same.  Firs t few days, it did help me to fall asleep.  I notie its effect wore away.  I kept increasing dosage.  Currently,  at 16 tabs. VEry little help.  I happen to catch a post talking about MAGNESIUM.  Added that and working on it.","This surely is a joke, isnt it?",Bad Taste/Flavor
I woke up after a few hours feeling nauseous and quite ill. I then had horrible stomach pains that caused me to literally fall to the floor. I couldn't get up I felt so weak and I was sweating. I laid there for about 15 minutes until I finally got up. It has to be this product because that's the only different thing I did.,Beware!,Allergic
"Pill size too big, nearly choked one time. The company should offer a chewable version of its product.","Pill size too big, nearly choked one time",Too big to swallow
"I haven't had any issues with leaks, but the quality seems much less than that of the leading brand. The sides are not as stretchy and the absorbent inside seems to clump up into gross chunks on the inside of the diaper. I will not be purchasing again.",Not as good as the leading brand,Inferior to competitors
"I haven't had any issues with leaks, but the quality seems much less than that of the leading brand. The sides are not as stretchy and the absorbent inside seems to clump up into gross chunks on the inside of the diaper. I will not be purchasing again.",Not as good as the leading brand,Bad Taste/Flavor
We have been purchasing this for over a year and loved it.  Our last three purchases had to be thrown away because it tasted like plastic chemical.  So disappointed and cancelled our subscription.,The last three packages tasted like chemicals,Bad Taste/Flavor
"These  orange gummies don’t have a good flavor or consistency compared to the red ones. They arrived clumped together and I have to pry into the jar to get one, maybe they melted on route or it’s the gummies themselves that are breaking down?",Melted clump of goo,Bad Taste/Flavor
This is the worse tasting Amino Energy I have ever had,Horrible Tasting,Bad Taste/Flavor
They’re ok at first but there is this weird almost metallic taste at the end.,Ok,Texture
They’re ok at first but there is this weird almost metallic taste at the end.,Ok,Bad Taste/Flavor
"I like to try different vegan protein powders, even if I liked the one I had before, just to see what options are out there. This is by far one of the biggest disappointments. I try to get all organic products because I don’t like the level of pesticides allowed for non-org and they tend to taste better than non-org item do. In my opinion, the ingredients are cheap (only using rice and pea protein is a corporate money-saving move), and the flavor is just awful. The pea protein overpowers everything else in there and leaves a sour flavor as an aftertaste. The texture is really, REALLY grainy as well. Most vegan proteins are grainy to a certain extent owing to the veggie/rice/seed proteins used, but this is by far the worst offender yet. Just gross. I was really hoping it would be a winner from what a great brand I’d heard this to be. Wawaawaaa.",Skip it and go get Vega instead,Color and texture
