Title,Author,Edition,type,Date,Reviews,Ratings,BookCategory,Synopsis_Polarity_score,Synopsis_subjectivity_score,Price
859,123,13,20,9/2/2004,4,4,8,0.233838384,0.548442761,247
4346,3331,13,20,7/10/2018,3.2,267,9,0.326923077,0.723865878,88
6231,532,13,20,4/27/2014,4,24,4,0.25838274,0.515942029,191
5768,700,8,20,3/2/1999,4,7,6,0.207678571,0.494464286,138
6076,1461,13,20,10/7/2010,4.7,6,0,0.104924242,0.463636364,503
6780,1342,13,12,3/7/2013,5,2,6,0.154545455,0.575,220
3146,2118,13,20,10/12/2014,4.3,146,5,0.094305556,0.499722222,325
1336,4140,13,20,7/5/2011,5,1,8,0.13,0.615,573.18
66,843,8,20,9/1/2016,4,4,7,0.127272727,0.238961039,1049
132,1527,13,20,9/13/2016,5,1,6,0.333549784,0.56461039,413
3242,1507,13,11,9/27/2018,4.1,95,0,0.174098124,0.49963925,304
3290,4357,13,20,11/22/2016,5,1,3,0.370833333,0.383333333,661
258,8,13,20,9/6/2016,4.6,234,10,0.187993025,0.494219577,334
5076,54,13,20,11/12/2015,3.7,35,1,0.323979592,0.519090136,543
3004,1483,8,20,1/21/2019,5,3,8,-0.03030303,0.442424242,721
516,1181,13,19,11/1/2007,4.1,5,1,0.411111111,0.502777778,1643
4537,161,13,17,5/6/2008,4.4,7,5,0.176067323,0.518555008,309
952,975,8,20,8/20/2018,4,2,6,0.189015152,0.500681818,854
661,3643,13,20,7/14/2015,5,4,6,0.169318182,0.661038961,1799
4086,3168,13,12,6/7/2012,4.6,66,2,0.305725083,0.677760119,437
72,3717,13,20,12/21/2016,5,1,10,0.556060606,0.81969697,409
5538,976,13,20,1/14/2016,4.5,15,1,0.271153846,0.634615385,239
5366,971,13,20,1/18/2018,4.5,8,8,0.170114943,0.345402299,374
5513,2761,13,20,7/20/2015,3.2,20,2,0.218367347,0.424716553,199
2483,3288,13,20,3/12/2001,4.6,39,2,0.326136364,0.477954545,345
3998,3176,8,11,7/5/2018,4.2,9,8,0.125775126,0.512992863,373
5542,2321,13,11,5/29/2018,5,6,7,0.233666667,0.573555556,400
6044,1394,8,11,3/25/2019,3.7,3,2,0.154166667,0.580555556,433
386,130,8,20,11/5/2015,4.8,7,10,0.060344828,0.623563218,1477
945,631,13,20,2/20/2017,2.6,7,1,0,0,499
651,2875,13,20,9/21/2017,4.9,12,10,0.176555736,0.458198052,262
268,1850,13,20,11/29/2016,4.1,171,4,0.128113553,0.553983516,2846
1117,3460,8,20,5/19/2019,5,13,2,0.068074981,0.410712898,150
2551,4313,13,20,6/1/1969,4,2,6,0.068181818,0.470021645,350
6277,2253,13,20,5/2/2019,3.5,2,2,0.130591631,0.526839827,434
3654,3933,13,20,9/25/2008,4.5,9,1,0.176652893,0.463085399,423.24
4293,82,13,20,7/3/1905,5,2,4,0.268460317,0.538730159,449
1712,2301,13,18,6/14/2016,3.2,7,7,0,0,510
148,90,13,20,9/28/2018,4.6,399,9,0.135335498,0.461634199,93
3741,2919,8,20,9/4/2014,5,1,6,0.125,0.444444444,479
4173,3314,13,20,1/1/2009,4,7,9,0.166666667,0.554166667,115
1702,79,13,20,7/31/2019,4.5,42,5,0.109259259,0.501851852,319
2847,2220,8,20,9/1/2016,4,2,7,0.21,0.635,74
4859,909,13,20,4/10/2017,2.8,2,4,0.529404762,0.407738095,399
1125,2671,8,20,1/16/2016,5,2,4,0.127272727,0.554242424,3242
1775,1118,13,20,2/1/2017,4.2,142,9,0.106818182,0.462542088,324.35
2129,1469,13,20,3/12/2013,3.4,4,10,0.347104978,0.56366342,555
3849,2417,13,20,10/16/2004,2.9,10,2,0.333012821,0.497115385,302
2800,3456,13,20,2/13/2014,3.9,62,2,0.236190476,0.460952381,200
1312,918,13,20,9/6/2004,4.1,3,10,0.120943813,0.468426452,212
5823,2798,13,20,7/11/1905,5,1,3,-0.072619048,0.597172619,685
6264,757,7,11,7/11/1905,5,1,10,0.126666667,0.53,427
6459,4301,13,20,1/1/2010,4.5,15,1,0.150892857,0.436950549,1099
6729,2286,13,20,7/7/1905,5,5,10,0.100922619,0.410535714,1453
4617,3318,13,11,1/14/2016,4.8,6,0,0.150931938,0.51545214,190
3349,771,13,20,11/13/2001,4.7,11,6,0.105573593,0.412824675,336
5146,526,13,20,10/28/1993,4.7,20,1,0.40625,0.66875,647
1101,3688,13,20,10/4/2016,4.7,4,6,0.320454545,0.523181818,320
5769,1163,13,20,3/3/2009,5,1,1,0.285784314,0.496078431,899
2566,856,13,20,5/5/2014,4.3,839,5,0.047619048,0.51984127,235
5884,4241,13,20,6/17/2015,3.9,47,2,0.236147186,0.589935065,260
2436,1587,13,11,10/2/2018,3.5,5,0,0.328305785,0.623140496,620
1665,4076,13,20,4/19/2016,4,1,7,0.143636364,0.435454545,599
1586,3047,13,20,2/5/2015,4.3,3,10,0.372292278,0.566476051,449
3940,229,13,20,2/27/2013,4.4,18,8,0,0,837
4866,1511,8,20,8/25/2002,5,1,3,0.295170455,0.617234848,1879
4772,3355,13,20,11/20/2000,4.3,165,8,0.121212121,0.537121212,547
340,3333,13,20,10/20/2013,3.7,30,6,0.301098901,0.508211233,199
2454,3025,13,20,1/11/2019,3.3,7,7,0.095833333,0.478125,549
6397,4135,17,20,9/15/2017,4.2,5,1,0.519047619,0.623809524,1059
1823,2623,13,20,5/28/2015,4.2,53,8,0.219047619,0.594047619,374
4788,1133,13,10,1/3/2008,3.7,3,3,0.2,0.408333333,624
1195,2599,13,20,1/29/2009,4,2,1,0.111111111,0.211111111,1045
3797,425,8,20,4/1/2009,5,1,1,0.183333333,0.36,1625
6188,3363,13,20,8/10/1999,4.5,6,2,0.271527778,0.527777778,815
4826,1927,13,20,10/14/2008,4.3,32,6,0.393269231,0.653525641,816
2128,1469,13,20,3/26/2013,4.5,10,10,0.419280719,0.606210456,614
6092,3891,13,20,4/25/2019,4.6,14,6,0.174587912,0.643681319,180
637,1882,13,20,8/28/2018,4.8,77,2,0.174547559,0.56674032,397
4153,1101,13,20,7/9/1905,4.3,16,1,0.525,0.616666667,155
2456,3610,13,20,8/10/2016,4,33,2,0.266666667,0.7,303
6783,357,13,20,7/7/1905,4.5,35,4,0.125,0.325,459
236,1896,13,20,12/3/1992,4.2,37,0,-0.107843137,0.462745098,309
5349,3576,8,20,12/17/2018,4.6,3,0,0.275787879,0.505181818,1179.99
3335,2472,13,20,7/19/2016,3.7,4,3,0.424522398,0.419120553,774
930,4274,8,20,7/8/2016,5,6,4,0.267699725,0.507988981,3859
5149,267,13,20,6/10/2019,5,8,5,0.057142857,0.2,209
2260,3624,13,20,7/4/1905,4.8,10,4,0.160636364,0.472204545,1600
5267,1704,13,20,12/25/2018,4.5,2,5,0.128962704,0.33547397,372
2083,2029,13,20,4/23/2009,5,1,4,0.25375,0.67,2964
3265,1610,13,20,7/8/1905,3.9,9,4,0.193798701,0.555616883,325
6437,2919,8,20,9/7/2006,5,6,6,0.2575,0.455,449
3339,4206,8,11,3/16/2018,4.6,54,8,0.107264957,0.624358974,330
1396,327,13,20,5/1/2019,5,1,8,0.082424242,0.52030303,450
1040,1411,8,20,4/26/2011,5,2,6,-0.208333333,0.358333333,1029
4837,2640,13,20,3/31/2010,3.7,6,6,0.324017519,0.615104167,375
5789,1909,13,20,1/7/2003,4,1,7,0.2,0.478571429,720
5001,1294,13,20,2/27/2003,4.3,35,9,0.118495298,0.593547544,395
3919,79,13,20,10/30/2017,4.9,13,5,0.320833333,0.4625,184
948,526,13,20,4/23/1992,3.8,13,6,0.233333333,0.488888889,283
3407,2691,8,20,7/22/2018,3,1,6,-0.076006494,0.446049784,449
5630,1553,13,20,1/13/2017,4.3,28,2,0.266818182,0.543560606,299
3596,1596,13,20,6/1/2017,3.7,7,5,0.35,0.75,299
1039,1585,13,11,7/5/1996,4.5,2,10,0.195833333,0.333333333,270
3732,2220,8,20,8/18/2009,4.5,2,7,0.140151515,0.591245791,61
1612,916,13,20,7/26/2018,3.7,23,5,0.094375,0.494166667,184
3454,2715,13,11,3/22/2018,4.2,50,9,0.307142857,0.617857143,70
3039,2806,13,1,3/22/2018,5,2,0,0.280998168,0.591391941,418
2366,466,13,20,1/10/2018,4.7,4,10,0.225595238,0.650595238,395
728,2870,13,20,4/11/2019,4,197,7,0.189139194,0.390567766,179
3913,2771,13,20,2/17/2009,5,2,3,0.125,0.478125,782
6707,2138,13,20,8/22/2000,3.5,4,7,0.146111111,0.318888889,475.44
846,4077,13,20,1/5/2012,4,30,6,-0.067395105,0.515155678,403
6005,3957,13,20,12/20/2012,5,1,9,0.213903743,0.56399287,359
2805,3365,12,20,1/1/1982,3.9,26,5,0.291111111,0.545595238,114
5306,2404,13,20,10/28/2014,4.7,5,3,0.144642857,0.527891156,639
5423,2343,13,20,2/15/2019,4.4,3,5,0.162310606,0.424368687,247
634,324,13,20,5/1/2017,4.2,114,9,0.04040404,0.485353535,210
5833,2840,13,11,2/16/2019,3.7,32,9,-0.021428571,0.633333333,117
2937,170,13,11,3/1/2018,3.8,12,4,0.281954887,0.537092732,1679
2790,2220,8,20,8/2/2009,5,1,7,0.139090909,0.662525253,73
1706,1930,13,19,3/5/2013,4.2,46,4,0.32849026,0.574134199,2905
642,1360,13,20,8/15/2014,4.7,15,1,0.512121212,0.566666667,344
4726,610,13,20,5/8/2015,5,1,4,0.289732143,0.469866071,1499
2315,1561,8,20,6/14/2018,3,1,9,0.250169719,0.610054742,309
3705,588,13,20,2/27/1997,4.5,72,9,0.191899767,0.531118881,250
4719,26,13,20,12/16/2011,4.8,51,8,0.102525253,0.315873016,259
6710,1032,13,20,6/2/2015,5,1,9,0.284311869,0.490877525,1074
2975,1747,8,20,7/8/1905,4.3,161,2,0.261609824,0.404000429,322
4417,772,13,20,11/13/2015,5,3,1,0.101515152,0.524134199,768
509,2008,13,20,4/1/2010,4.6,135,0,0.164488636,0.462878788,120
833,3460,13,20,2/14/2008,4.3,26,6,0.2,0.505128205,205
2577,3149,13,20,6/7/2016,4.6,41,5,0.073863636,0.612878788,338
6574,3252,13,20,6/18/1989,5,1,6,0.242857143,0.392857143,723
515,1272,13,20,7/15/2014,3,1,1,0.38125,0.7375,1499
2356,63,13,20,3/9/2015,4.5,156,2,0.117261905,0.374537037,171
4985,2722,8,20,2/21/2019,4.3,15,2,0.090909091,0.242857143,372
249,810,13,20,4/21/2015,4.7,77,6,0.123484848,0.510227273,369
607,2939,13,20,12/1/2017,4.6,1416,2,0.071428571,0.242857143,73
2182,707,13,20,2/5/2015,4.5,4,0,0.325722016,0.496341991,783
4673,2354,12,11,1/30/2018,5,1,9,0.165277778,0.606944444,259
875,1348,13,11,11/30/2017,4.2,3,1,0.249621212,0.501515152,1268
1479,3162,13,11,7/30/2015,4.7,49,0,0.066504329,0.315530303,187
4686,3272,13,20,3/24/2015,4.6,3,3,-0.076455026,0.529365079,677
6330,2480,13,11,10/5/2017,4.5,4,0,0.082979798,0.508636364,266
1754,1050,13,20,9/6/2018,4.5,2,5,-0.033945482,0.6322477,344
3242,1507,13,11,9/27/2018,4.1,93,0,0.174098124,0.49963925,304
1836,2347,13,20,7/2/1905,3.3,7,3,0.0625,0.614285714,82
6132,2463,13,20,4/23/2018,5,3,8,0.215227273,0.428712121,434
3878,4279,13,20,9/27/2016,3.5,27,5,0.101952214,0.634178322,248
92,2412,13,11,3/23/2018,3,1,1,0.330787037,0.489351852,153
5096,1896,13,20,5/26/2011,3.8,23,0,0.047936508,0.575714286,203
2282,3612,8,20,9/26/2017,4.5,221,4,0.207386364,0.539204545,335
6772,1853,12,20,6/1/1982,4.8,5,10,0.076785714,0.334013605,455
3684,1160,13,20,3/2/2010,5,2,3,0.45375,0.627916667,702
3982,4011,13,20,7/1/2011,3.3,36,7,0.147916667,0.445833333,69
1161,2607,13,20,7/6/1995,4.6,3,5,-0.016428571,0.506904762,296
223,1488,13,20,7/25/2018,4.8,6,2,0.144246032,0.457539683,334
590,414,13,20,2/1/2007,3.9,154,5,0.27012987,0.53495671,399
3301,3829,13,20,8/5/2004,4,3,6,-0.071818182,0.735454545,135
4079,4178,13,20,7/5/1905,3.4,8,0,0,0,428
954,829,13,20,7/6/1905,4.4,74,7,0,0,659
3636,122,13,20,7/7/2011,4.6,20,3,0.335,0.705555556,678
2922,2694,13,20,6/30/2011,3.3,10,7,0.21,0.4425,320
3775,2906,13,20,8/30/2012,4.2,49,7,0.05,0.25,363
5935,1708,13,20,1/4/2017,4.2,14,0,-0.18627451,0.482352941,319
4332,3993,13,20,4/14/2009,4.1,2,6,0.036124402,0.572169059,793
4953,79,13,20,10/5/2017,4.4,24,5,0.04,0.36,228
2540,1052,8,10,9/24/2014,5,2,1,0.025925926,0.285185185,1196
587,1093,13,20,3/18/2019,5,7,0,-0.047186147,0.439405964,258
5265,1896,13,17,9/29/2016,4.1,35,5,-0.261079545,0.500568182,319
2714,230,13,20,8/19/2016,5,1,10,0.205817434,0.484644666,734
166,1366,13,20,6/1/2017,4.6,45,0,-0.105555556,0.502777778,395
350,4285,15,5,6/1/2017,3.9,6,1,0.378449821,0.474731183,1453
2689,272,13,20,11/15/2012,4.4,3,10,0.383581349,0.607539683,97
3847,2996,13,20,5/8/2007,4.6,11,10,0.313157895,0.512280702,378.91
5670,2604,13,20,3/12/2015,4.4,7,5,0.061052489,0.390165043,259
2308,916,13,20,11/7/2013,4.3,13,0,0.067519894,0.453438171,299
880,621,13,20,1/1/1987,4.5,5,7,0.195887446,0.555753968,88
6605,1683,13,20,12/2/1999,5,1,5,0.2,0.233333333,375
4141,1538,13,20,1/1/2013,4.6,41,1,0.10952381,0.421428571,304
1465,905,8,20,12/24/2018,5,2,3,0.310227273,0.698712121,541
2829,4158,13,20,7/3/1905,3.9,20,7,0.275,0.468376068,380
3476,2534,13,20,11/19/2003,4.7,8,3,0.04,0.56,489
3698,2881,13,20,1/3/2017,4.5,2,3,0.161904762,0.419047619,354
147,1818,13,20,2/10/2017,5,10,2,0.096011586,0.633110517,205
3900,2983,8,20,11/19/2013,4.2,4,3,-0.008928571,0.647619048,449
5771,2129,13,20,10/4/2017,4.4,39,0,0.158697917,0.4853125,415
3695,2893,13,20,5/3/2016,5,1,3,0.246666667,0.416666667,497
3010,4192,13,20,11/24/2015,4,27,2,0.068452381,0.552380952,2742
59,1877,13,20,9/15/2015,3,1,3,0.4875,0.616666667,467
6104,30,8,11,10/26/2018,2.9,11,2,0.208566434,0.516375291,373
1844,3750,13,20,11/6/2003,3,3,10,0.0825,0.529166667,706
4703,2375,13,20,10/17/2014,4.6,3,5,0.280666667,0.542111111,233.22
5849,2010,13,11,12/5/2017,5,1,7,0.160321821,0.47135662,1009
1623,1423,13,20,4/5/2001,4.1,240,4,0.155952381,0.313435374,159
6266,3593,13,20,5/7/2013,4.4,50,9,-0.26,0.88,773
2449,1349,13,20,11/4/2011,3.7,62,2,0.477272727,0.582467532,139
4225,608,13,11,12/20/2016,5,1,10,0.288528139,0.71969697,1203
1296,2776,13,3,12/29/2011,4.1,55,4,0.20828373,0.590823413,259
1089,3681,13,20,2/24/2003,3.4,4,2,0.190131579,0.470175439,228
3261,2607,13,11,4/12/2012,3.5,9,0,0.146256684,0.608110517,375
2864,2220,13,11,8/21/2018,2,2,7,0.101666667,0.486,113
4056,853,13,11,10/25/2017,4.5,55,4,0.310119048,0.521088435,480
4234,463,13,20,10/10/2017,4,1,10,0.401190476,0.525793651,1038
891,600,13,20,6/15/2002,4.5,19,10,0.21027668,0.544927536,690
3377,3819,13,20,6/24/1905,3.3,3,4,0.184090909,0.28030303,299
810,3410,13,20,6/15/2016,4.6,5,8,-0.066210317,0.454900794,245
160,343,8,20,2/2/2012,4.5,2,1,0.156666667,0.58,425
4872,2010,13,6,3/4/2002,5,2,1,0.199368687,0.499747475,324
6030,3073,13,20,4/29/2003,4,4,6,0.21940181,0.407521645,239
1514,3527,13,20,1/20/2019,4.7,17,7,0.229545455,0.709090909,242
5853,3846,13,20,5/3/2018,4.6,7,2,0.166792929,0.564772727,580
3567,1130,13,20,11/27/2007,4.3,26,2,0.306819292,0.606440781,420.44
2881,1415,13,20,5/26/2014,4.3,4,10,0.083405797,0.369906832,469
831,807,13,20,7/8/2010,4.7,7,0,0.194214876,0.391322314,359
2312,884,13,20,8/6/2017,4.3,37,0,0.128761461,0.538688423,225
426,3515,13,11,7/12/2018,4.3,48,9,-0.001633523,0.528409091,407.5
54,3540,13,20,4/25/2019,3.9,15,7,0.488888889,0.688888889,125
3598,3135,13,20,10/19/2014,4.1,404,4,0.104563492,0.425066138,79
5156,1391,12,20,12/7/2010,5,2,6,0.333333333,0.580555556,319
1115,3280,13,20,10/24/2017,5,1,3,0.038196481,0.626246334,798.44
3663,3813,13,20,4/18/2019,3.7,8,9,0.16489899,0.477525253,178
1616,131,13,20,2/26/2018,4.4,8,10,0.085309091,0.573011255,443
3882,1735,13,20,6/23/2014,5,1,1,0.448556999,0.570851371,1416
183,2117,13,20,5/25/2010,2.5,3,0,0.030740741,0.463703704,399.14
5227,1262,13,20,1/7/1986,3.8,3,6,0.12481685,0.392948718,310
6014,294,12,20,7/5/2016,4,1,9,0.193939394,0.623484848,161
1896,1370,13,20,6/1/2013,4.8,7,9,0.321428571,0.504761905,399
6619,2331,13,20,8/4/2003,4.2,29,2,0.161549708,0.491081871,240.93
5141,3893,13,20,7/31/2012,4.2,245,2,0.330555556,0.436111111,155
1291,4210,13,20,5/1/2017,4.2,11,4,0.204166667,0.552083333,599
2741,2156,13,20,12/9/2014,4.1,35,10,0.032894737,0.390789474,375
4327,2238,13,20,12/28/2014,4.5,8,10,0.301388889,0.45,450
110,1366,13,20,3/15/2012,4.1,37,5,0.194646465,0.584747475,309
2529,78,13,20,1/8/1990,4,5,10,0.45,0.525,140
1725,1244,13,20,10/20/2016,4.4,5,10,0.371458333,0.646666667,1280
3139,235,13,11,6/19/1991,1,1,6,0.031818182,0.311363636,3951.07
4676,3615,13,20,2/21/2009,4.5,45,10,0.124074074,0.498148148,158
5855,3072,12,20,7/25/2013,4.5,5,5,0.071487603,0.459504132,399
1598,64,13,20,10/25/2016,3.5,14,0,0.132738095,0.555952381,220
4440,1299,8,20,10/29/2018,4.2,6,8,0.028787879,0.401515152,366
1028,3338,13,20,4/26/2016,4.5,62,2,0.077637987,0.556006494,319
2959,238,13,20,6/15/2018,4,35,9,0.289805665,0.625559947,408
3735,1432,13,20,2/25/2019,5,2,0,-0.00952381,0.547108844,449
3970,1844,8,20,7/6/1905,3.9,9,4,0.219852941,0.445588235,2275
1667,3051,13,20,6/1/2016,5,3,7,0.128571429,0.338095238,808
4670,43,8,20,5/30/2018,4.6,10,1,0.216812865,0.472660819,350
4188,3329,8,11,9/7/2017,5,1,6,0.245730028,0.424655647,1499
1136,2605,13,20,6/25/2010,3,22,7,0.199857955,0.563589015,270
2635,4007,13,11,5/4/2017,3,2,3,0.102777778,0.612152778,311
2038,1979,13,11,11/28/2017,3.7,26,8,0.149905303,0.443087121,295
6614,632,13,20,4/12/2012,5,1,0,0.161363636,0.503787879,2655.21
5650,843,8,20,11/2/2015,4.4,3,1,0.275,0.491176471,779
4718,649,13,20,12/31/2013,4,11,2,0.324780702,0.484210526,497
3861,329,13,20,9/12/2016,4.4,26,9,0.20181224,0.537581699,207
6514,1099,8,20,1/1/2012,3.7,18,7,0,0,212
5578,1553,8,20,8/31/2018,4.7,36,8,0.150898613,0.480762692,508
4892,1864,13,20,6/30/2007,3.5,5,1,0.014285714,0.383333333,858
1730,3248,8,20,1/10/2012,3.8,62,6,-0.152609428,0.414814815,1300
4607,565,13,20,9/25/2014,4.6,7,9,0.111111111,0.338888889,449
5732,2072,13,20,7/14/2016,4,2,9,0.284375,0.672395833,130
1969,1831,13,20,7/10/2018,5,3,6,0.307790404,0.629671717,493
5596,3366,13,20,7/15/2010,4.1,10,0,-0.084615385,0.575,399
792,2874,13,20,11/15/2016,4.4,292,5,-0.020915033,0.603267974,179
691,1718,13,20,7/1/2014,3.6,5,9,0.144627759,0.463032174,336
335,887,13,20,2/22/2018,4.1,14,9,0.296818182,0.557727273,125
1249,182,8,20,2/2/2015,5,1,3,0.4175,0.701666667,130
4857,1984,13,20,5/27/2008,4.1,25,2,0.192292107,0.45178949,374
1752,1626,13,20,11/24/2009,3.4,7,6,0.224090909,0.416969697,247
1618,4008,13,11,9/7/2017,5,1,6,-0.128728847,0.560369933,206.5
994,1691,12,20,1/30/2016,3,1,5,0.129848485,0.455050505,274
3707,3691,13,20,4/26/2011,5,1,3,0.186945813,0.483661741,1320
2936,126,13,20,7/9/1905,4.8,6,4,0.180898268,0.525811688,925
4916,337,8,11,10/24/2017,3.6,9,3,0.472424242,0.586969697,999
3300,492,13,20,6/30/2015,4.1,75,9,0.325,0.52202381,153
377,1694,13,20,1/17/2013,5,12,2,0.300980392,0.62745098,403.9
5030,1637,8,11,11/1/2018,3.6,381,0,0.261185838,0.444967532,479
3718,4146,11,20,5/15/2006,4,10,1,0.363392857,0.546031746,319
4427,3004,13,20,6/29/2019,5,1,8,0.251313131,0.404469697,599
5719,4164,13,20,8/23/2017,4.4,18,2,0.010585017,0.501641414,295
3841,4035,13,20,2/5/2015,5,1,0,0.1625,0.500892857,342
1340,4050,13,20,9/1/1988,4,2,5,0.302205882,0.694607843,130
3306,699,13,20,2/25/2003,4,44,1,0.120673077,0.431089744,552.21
929,2882,13,20,6/26/2016,3.9,32,4,0.118181818,0.427272727,559
2967,1870,13,20,9/6/2017,2.9,3,5,0.181969697,0.477166667,332
3271,830,13,20,1/3/2007,4,1,4,0.136569779,0.354457844,1770.45
6668,800,13,20,10/18/2017,3.6,17,9,0.14006917,0.504743083,336
678,3647,13,11,10/9/2018,5,3,3,0.117283951,0.484104938,1137
4532,4312,13,20,2/5/2004,3.1,8,0,-0.060416667,0.5375,440
3192,221,13,20,7/9/1905,4.1,11,4,0.04280303,0.333691507,1025
2396,4345,13,20,9/5/2006,5,1,3,0.161954365,0.529712302,413
1289,4332,13,20,2/28/2003,3.6,27,4,0.021428571,0.36547619,141
3496,2786,8,20,10/25/2016,5,3,1,0.383333333,0.644444444,1791.41
4059,1742,13,20,12/12/2012,4.7,5,4,0.138899868,0.657806324,1730
4981,1106,13,11,11/27/2017,4.6,443,9,0.154166667,0.431666667,120
2530,529,13,20,8/23/2017,4.2,425,2,0.2625,0.465625,270
4709,1131,13,20,1/1/2011,4.2,16,5,0.434090909,0.413636364,123
5761,792,13,20,11/2/2016,4.3,10,0,-0.144736842,0.539473684,228
3961,175,12,20,11/1/1991,3.7,8,8,0.135948192,0.410239492,295
471,663,12,20,8/27/2013,5,1,9,0.25,0.654545455,556
3298,3658,8,20,11/22/2013,5,3,3,0.415833333,0.635,958
6229,53,13,20,10/3/2017,5,2,6,0.231818182,0.697619048,450
6207,4029,13,20,9/16/2019,4.2,21,3,0.315,0.695,175
2155,4236,13,20,9/26/2017,4.6,238,8,-0.003863636,0.462954545,352
2497,2207,13,20,1/10/2019,4,165,9,0.237012987,0.505898268,98
