INCIDENT_ID,MULTIPLE_OFFENSE
CR_48196,1
CR_172072,1
CR_110650,1
CR_135741,1
CR_118830,1
CR_197890,0
CR_127112,1
CR_103153,1
CR_126305,1
CR_164868,1
CR_169319,1
CR_24336,1
CR_108491,1
CR_182421,1
CR_171098,1
CR_141601,1
CR_57375,1
CR_181581,1
CR_190531,1
CR_36060,1
CR_24617,1
CR_57414,1
CR_103779,1
CR_169274,1
CR_18842,1
CR_80988,1
CR_192638,1
CR_192720,1
CR_56860,1
CR_30084,1
CR_1027,1
CR_68209,1
CR_152909,1
CR_188237,1
CR_1305,1
CR_120906,1
CR_159219,1
CR_146952,1
CR_128604,0
CR_96594,1
CR_184785,1
CR_62664,1
CR_189600,1
CR_55388,1
CR_140003,1
CR_170506,1
CR_56219,1
CR_182232,1
CR_115398,1
CR_188702,1
CR_14653,1
CR_19927,1
CR_40513,1
CR_136996,1
CR_144126,1
CR_176564,1
CR_54927,1
CR_76926,1
CR_147878,1
CR_126734,1
CR_67238,1
CR_90939,1
CR_64117,1
CR_24966,1
CR_30064,1
CR_25070,1
CR_118631,1
CR_89651,1
CR_153839,1
CR_136367,1
CR_141051,1
CR_178884,1
CR_18557,1
CR_19494,1
CR_156676,1
CR_198463,1
CR_133472,1
CR_78317,1
CR_41650,1
CR_119220,1
CR_79735,1
CR_182226,1
CR_4152,1
CR_87430,1
CR_78822,1
CR_127021,1
CR_37457,1
CR_169096,1
CR_23276,1
CR_158474,1
CR_45260,1
CR_58693,1
CR_175060,1
CR_85007,1
CR_103386,1
CR_144148,1
CR_8218,1
CR_196887,0
CR_68229,1
CR_63084,1
CR_86572,1
CR_77036,1
CR_172195,0
CR_32176,1
CR_142460,1
CR_75598,1
CR_110226,1
CR_58035,1
CR_76537,1
CR_31098,1
CR_26347,1
CR_142788,1
CR_156444,1
CR_145548,1
CR_122133,1
CR_184486,1
CR_66021,1
CR_44387,1
CR_58333,1
CR_112216,1
CR_162845,1
CR_63377,1
CR_155243,1
CR_130619,0
CR_16550,1
CR_183084,1
CR_91052,1
CR_34802,1
CR_159126,1
CR_97738,1
CR_38360,1
CR_164203,1
CR_14799,1
CR_154941,1
CR_98260,1
CR_118175,1
CR_93034,1
CR_196464,1
CR_78806,1
CR_118887,1
CR_84121,1
CR_44310,1
CR_108042,1
CR_113106,1
CR_57625,1
CR_160565,1
CR_112597,1
CR_91017,1
CR_122112,1
CR_112260,1
CR_182543,1
CR_91656,1
CR_52636,1
CR_67924,1
CR_65565,1
CR_20932,1
CR_159196,1
CR_149038,1
CR_192446,1
CR_4563,1
CR_155167,1
CR_69015,1
CR_4319,1
CR_70025,1
CR_78019,1
CR_59815,1
CR_4634,1
CR_39788,1
CR_78654,1
CR_168873,1
CR_159220,1
CR_173228,1
CR_164385,1
CR_39591,1
CR_152149,1
CR_88641,1
CR_95077,1
CR_121523,0
CR_86172,1
CR_169407,1
CR_34215,1
CR_65332,1
CR_170403,1
CR_52342,1
CR_146244,1
CR_96297,1
CR_183123,1
CR_84662,1
CR_47016,1
CR_178826,1
CR_48610,1
CR_61526,1
CR_65426,1
CR_37791,1
CR_35858,1
CR_114941,1
CR_185271,1
CR_50202,1
CR_172807,1
CR_147784,0
CR_33591,1
CR_103888,1
CR_12224,1
CR_130842,1
CR_100397,1
CR_82452,1
CR_108528,1
CR_176252,1
CR_61149,1
CR_113899,1
CR_129398,1
CR_97913,1
CR_126094,1
CR_35136,1
CR_181459,0
CR_118397,1
CR_124003,1
CR_78978,1
CR_193531,1
CR_39508,1
CR_79546,1
CR_31784,1
CR_168802,1
CR_102971,0
CR_21872,1
CR_138231,1
CR_49288,1
CR_100593,1
CR_48357,1
CR_190338,1
CR_86991,1
CR_195941,1
CR_10375,1
CR_164312,1
CR_97219,1
CR_145089,1
CR_43380,1
CR_144225,1
CR_102376,1
CR_110969,1
CR_86192,1
CR_126351,1
CR_5566,1
CR_181113,1
CR_111873,1
CR_21440,1
CR_62389,1
CR_131545,1
CR_123127,1
CR_192490,1
CR_64371,0
CR_23728,1
CR_66245,1
CR_32426,1
CR_23427,1
CR_17236,1
CR_23160,1
CR_18293,0
CR_107271,1
CR_1083,1
CR_69669,1
CR_48466,1
CR_28383,1
CR_188286,1
CR_57419,1
CR_46158,1
CR_53296,1
CR_145571,1
CR_17069,1
CR_131856,1
CR_72990,1
CR_147895,1
CR_14180,1
CR_23580,1
CR_105528,1
CR_33731,1
CR_161968,1
CR_80370,1
CR_67413,1
CR_25509,1
CR_167263,1
CR_8078,1
CR_20947,1
CR_192492,1
CR_46929,1
CR_162517,1
CR_55755,1
CR_97135,1
CR_123532,1
CR_46895,1
CR_56097,1
CR_109319,1
CR_9862,1
CR_102722,1
CR_37617,1
CR_40895,1
CR_117513,1
CR_108707,1
CR_27207,1
CR_25274,1
CR_75544,1
CR_91225,1
CR_133177,1
CR_47914,1
CR_1729,1
CR_161691,1
CR_41832,1
CR_193860,1
CR_56676,1
CR_161391,1
CR_27658,1
CR_160460,1
CR_28319,1
CR_76286,1
CR_48930,1
CR_99450,1
CR_125502,1
CR_147128,0
CR_37671,1
CR_55731,1
CR_68721,1
CR_7205,1
CR_101192,1
CR_75521,1
CR_127860,1
CR_177825,1
CR_110405,1
CR_15299,1
CR_152836,1
CR_50614,1
CR_45724,1
CR_165536,1
CR_194237,1
CR_11408,1
CR_174532,1
CR_130272,1
CR_145515,1
CR_122245,1
CR_36373,1
CR_23625,1
CR_20865,1
CR_172962,1
CR_150218,1
CR_77366,1
CR_156217,1
CR_33816,1
CR_193018,1
CR_68751,1
CR_13042,1
CR_25957,1
CR_80718,1
CR_115274,1
CR_144925,1
CR_47820,1
CR_39103,1
CR_77112,1
CR_27084,1
CR_11067,1
CR_142650,1
CR_76389,1
CR_133210,1
CR_2123,1
CR_118444,1
CR_184756,1
CR_190520,1
CR_153554,1
CR_92817,1
CR_139793,1
CR_13409,1
CR_126585,1
CR_137953,1
CR_169468,1
CR_195166,1
CR_5534,1
CR_185802,0
CR_50117,1
CR_156259,1
CR_5804,1
CR_175493,0
CR_22841,1
CR_140864,1
CR_71372,1
CR_143673,1
CR_151685,1
CR_122274,1
CR_168879,1
CR_176516,1
CR_195091,1
CR_24931,1
CR_107975,1
CR_29812,1
CR_86522,1
CR_11456,1
CR_128720,1
CR_175199,1
CR_79839,1
CR_187014,1
CR_193288,1
CR_134658,1
CR_74853,1
CR_39424,1
CR_141418,1
CR_87354,0
CR_23894,1
CR_108871,1
CR_181730,1
CR_28673,1
CR_161458,1
CR_18608,1
CR_167601,1
CR_72509,1
CR_192482,1
CR_52578,1
CR_153531,1
CR_41683,1
CR_198197,1
CR_56498,1
CR_109275,1
CR_84091,1
CR_181773,1
CR_86523,1
CR_64957,1
CR_62991,1
CR_149051,1
CR_163555,1
CR_162111,1
CR_50638,1
CR_64602,1
CR_21617,1
CR_24760,1
CR_44084,1
CR_41065,1
CR_27554,1
CR_111564,1
CR_162410,1
CR_117067,1
CR_155531,1
CR_41674,1
CR_172325,0
CR_193091,1
CR_121107,1
CR_163164,1
CR_126429,1
CR_121602,1
CR_18177,1
CR_72202,1
CR_34333,1
CR_13651,1
CR_169634,1
CR_140444,1
CR_76607,1
CR_171869,1
CR_13708,1
CR_189479,1
CR_80479,1
CR_43920,1
CR_2847,1
CR_65054,1
CR_169969,1
CR_104390,1
CR_62828,1
CR_195431,1
CR_133465,1
CR_125076,0
CR_129899,1
CR_103068,1
CR_133529,1
CR_79468,1
CR_62450,1
CR_120192,1
CR_66275,1
CR_89173,1
CR_168357,1
CR_111046,1
CR_44529,1
CR_144942,1
CR_89279,1
CR_43755,1
CR_105189,1
CR_156406,1
CR_87234,1
CR_35727,1
CR_134582,1
CR_145543,1
CR_99499,1
CR_10014,1
CR_47569,1
CR_153,1
CR_151751,1
CR_175618,1
CR_11122,1
CR_3584,1
CR_3682,1
CR_146098,1
CR_62551,0
CR_186429,1
CR_92683,1
CR_10914,1
CR_102345,1
CR_163839,1
CR_163334,1
CR_41311,1
CR_152190,1
CR_114908,1
CR_171995,1
CR_126037,1
CR_3542,1
CR_35160,1
CR_80897,1
CR_119168,1
CR_168619,1
CR_165549,1
CR_98695,1
CR_185773,1
CR_137571,1
CR_14727,1
CR_27004,1
CR_85064,1
CR_99533,1
CR_173448,1
CR_171688,1
CR_123738,0
CR_9941,1
CR_175196,0
CR_106855,1
CR_101017,1
CR_34850,1
CR_78309,1
CR_38792,1
CR_80719,1
CR_137081,0
CR_81638,1
CR_20496,1
CR_70422,1
CR_105959,1
CR_185782,1
CR_39024,1
CR_48249,1
CR_1501,0
CR_197098,1
CR_44957,0
CR_196407,1
CR_67048,1
CR_123248,1
CR_133563,1
CR_98731,1
CR_88866,1
CR_61079,1
CR_73076,1
CR_128876,1
CR_185722,1
CR_142437,0
CR_107089,1
CR_104100,1
CR_110148,0
CR_35778,1
CR_188424,1
CR_184366,1
CR_5042,1
CR_168285,1
CR_84130,1
CR_55550,1
CR_105187,1
CR_187502,1
CR_89503,1
CR_60969,1
CR_196498,1
CR_186649,1
CR_189911,1
CR_96988,1
CR_10018,0
CR_61380,1
CR_125758,1
CR_729,0
CR_114142,1
CR_85985,1
CR_128277,1
CR_54633,1
CR_82323,1
CR_96076,1
CR_198017,1
CR_146321,0
CR_194254,1
CR_29948,1
CR_114083,1
CR_191045,1
CR_52742,1
CR_107798,1
CR_87984,1
CR_46267,1
CR_70483,1
CR_97169,1
CR_22379,1
CR_99392,1
CR_29832,1
CR_64769,1
CR_174713,1
CR_98078,1
CR_183352,1
CR_134131,1
CR_156,1
CR_170249,1
CR_2181,1
CR_172671,1
CR_190489,0
CR_141263,1
CR_72119,1
CR_146828,1
CR_69666,1
CR_78928,1
CR_195597,1
CR_94257,1
CR_73357,1
CR_56274,1
CR_197479,1
CR_41843,1
CR_25092,1
CR_41933,0
CR_126793,1
CR_147915,1
CR_14238,0
CR_177630,1
CR_93288,1
CR_141801,1
CR_155505,1
CR_193519,1
CR_20700,1
CR_147420,1
CR_87511,1
CR_62884,1
CR_57974,1
CR_11061,1
CR_121218,1
CR_98044,1
CR_42638,1
CR_53257,1
CR_193191,1
CR_181221,1
CR_57935,1
CR_139785,1
CR_85292,1
CR_60053,1
CR_138262,1
CR_169954,1
CR_93507,1
CR_125604,1
CR_17225,1
CR_25230,1
CR_191177,1
CR_28817,0
CR_102190,1
CR_61260,1
CR_110438,1
CR_166102,1
CR_157600,1
CR_123300,1
CR_78281,1
CR_182161,1
CR_9328,1
CR_63736,0
CR_19450,1
CR_195472,1
CR_103834,1
CR_2398,1
CR_1315,1
CR_173801,1
CR_71641,1
CR_175779,1
CR_165597,1
CR_20748,1
CR_9347,1
CR_13396,1
CR_61742,1
CR_59457,1
CR_56686,1
CR_140764,1
CR_7638,1
CR_84983,1
CR_96423,1
CR_61444,1
CR_101964,1
CR_87199,1
CR_107554,1
CR_77973,1
CR_51916,1
CR_14899,1
CR_126648,0
CR_93523,1
CR_121071,0
CR_131194,1
CR_116119,1
CR_144509,1
CR_84903,1
CR_186592,1
CR_152948,1
CR_194507,1
CR_32050,1
CR_157726,1
CR_126209,1
CR_96864,0
CR_102892,1
CR_195958,1
CR_146568,1
CR_196521,1
CR_120180,1
CR_87631,1
CR_72902,0
CR_144936,1
CR_149292,1
CR_28508,1
CR_20067,1
CR_132573,1
CR_100923,0
CR_118977,1
CR_115042,1
CR_190619,1
CR_107443,1
CR_80624,1
CR_173811,1
CR_127266,1
CR_59008,0
CR_37953,1
CR_193958,1
CR_150183,1
CR_54667,1
CR_51904,1
CR_159836,1
CR_69435,1
CR_193699,1
CR_6454,1
CR_195911,1
CR_173501,1
CR_106561,1
CR_143625,1
CR_100836,0
CR_52163,1
CR_176134,1
CR_44873,1
CR_183860,1
CR_53609,1
CR_120002,1
CR_191628,1
CR_169732,1
CR_165789,0
CR_66356,1
CR_38462,1
CR_84108,1
CR_4392,1
CR_144568,1
CR_70622,1
CR_93589,1
CR_157740,1
CR_29621,1
CR_186231,1
CR_178312,1
CR_93320,1
CR_121366,1
CR_140188,1
CR_24598,1
CR_95793,1
CR_95464,1
CR_83890,1
CR_136804,1
CR_44976,1
CR_46204,1
CR_94673,1
CR_27251,1
CR_191847,1
CR_5099,1
CR_51325,1
CR_115702,1
CR_97705,1
CR_18101,1
CR_82225,1
CR_173609,1
CR_81748,1
CR_54953,1
CR_135561,1
CR_60754,1
CR_135739,1
CR_82895,1
CR_175086,1
CR_116275,1
CR_179082,1
CR_72415,1
CR_80080,1
CR_175604,1
CR_130353,0
CR_49980,1
CR_115623,1
CR_107933,1
CR_121974,1
CR_97513,1
CR_188721,1
CR_178603,1
CR_70882,1
CR_166590,1
CR_14004,1
CR_65524,1
CR_6820,0
CR_69529,1
CR_26972,1
CR_110753,1
CR_191778,1
CR_160101,1
CR_173892,1
CR_44897,1
CR_157812,1
CR_130146,1
CR_39909,1
CR_183689,0
CR_18932,1
CR_53056,1
CR_8282,1
CR_92220,1
CR_9565,1
CR_17324,0
CR_197942,0
CR_130764,1
CR_46006,1
CR_64287,1
CR_157514,1
CR_139,1
CR_24651,1
CR_196346,1
CR_193736,1
CR_45038,1
CR_20656,1
CR_39886,1
CR_73713,1
CR_125211,1
CR_135653,1
CR_83864,1
CR_42809,1
CR_35366,1
CR_41657,0
CR_167306,1
CR_186567,1
CR_89907,1
CR_88056,1
CR_63807,1
CR_90766,1
CR_48194,1
CR_2639,1
CR_113323,1
CR_60762,1
CR_174851,1
CR_90529,1
CR_163379,1
CR_128831,1
CR_65648,1
CR_164308,1
CR_2089,1
CR_52037,1
CR_40705,1
CR_94311,1
CR_142726,1
CR_63353,0
CR_27331,1
CR_26560,1
CR_44216,1
CR_86096,1
CR_17557,1
CR_3318,1
CR_36467,1
CR_151954,1
CR_170333,1
CR_14647,1
CR_81172,1
CR_109033,1
CR_128482,1
CR_59093,1
CR_164936,1
CR_165116,1
CR_40803,1
CR_177476,1
CR_110377,1
CR_145763,1
CR_47187,1
CR_189465,1
CR_178162,1
CR_77450,1
CR_86497,1
CR_164701,1
CR_123390,1
CR_73467,1
CR_159718,1
CR_9712,1
CR_144912,1
CR_62635,1
CR_133276,1
CR_73939,1
CR_15333,1
CR_72983,1
CR_167193,1
CR_24099,1
CR_41449,1
CR_11553,1
CR_13354,1
CR_60936,1
CR_144014,1
CR_168135,1
CR_132794,1
CR_174781,1
CR_107383,1
CR_3716,1
CR_140465,1
CR_181477,1
CR_144168,1
CR_122604,1
CR_19546,1
CR_182604,1
CR_23499,0
CR_82699,1
CR_102037,1
CR_59755,1
CR_42334,1
CR_89071,1
CR_8665,1
CR_25976,1
CR_157610,1
CR_137300,1
CR_93520,1
CR_159851,1
CR_64923,1
CR_42989,1
CR_32838,1
CR_178897,1
CR_126433,1
CR_133033,1
CR_53927,1
CR_115955,1
CR_78926,1
CR_109101,1
CR_53818,1
CR_188914,1
CR_70123,1
CR_18988,1
CR_148110,1
CR_174811,1
CR_85256,1
CR_140659,1
CR_189010,1
CR_198195,1
CR_143385,1
CR_83678,1
CR_74722,1
CR_108626,1
CR_175671,1
CR_122784,1
CR_137264,1
CR_50748,1
CR_110356,1
CR_175207,1
CR_197069,1
CR_37473,1
CR_100986,1
CR_85849,1
CR_113720,1
CR_52784,1
CR_5840,1
CR_127802,1
CR_25508,1
CR_47703,1
CR_144253,1
CR_186585,1
CR_109712,1
CR_9301,1
CR_173629,1
CR_56084,1
CR_35802,1
CR_156536,1
CR_96458,1
CR_76489,1
CR_4622,1
CR_147160,0
CR_126027,1
CR_83549,1
CR_151682,1
CR_107334,1
CR_32642,0
CR_58741,1
CR_82534,1
CR_188605,1
CR_166222,1
CR_118206,1
CR_136734,1
CR_26234,1
CR_191879,1
CR_80865,1
CR_52171,1
CR_197678,1
CR_162462,1
CR_4944,1
CR_191055,1
CR_96389,1
CR_21519,1
CR_73460,1
CR_143865,1
CR_162509,1
CR_189783,1
CR_108625,1
CR_136801,1
CR_128822,1
CR_194929,0
CR_29735,1
CR_101104,1
CR_59910,1
CR_32614,0
CR_179238,1
CR_156683,1
CR_191022,1
CR_42269,1
CR_98193,1
CR_81211,1
CR_101230,1
CR_117216,1
CR_2225,1
CR_126163,0
CR_85079,1
CR_170888,1
CR_47421,1
CR_96480,1
CR_143161,1
CR_155941,1
CR_165579,1
CR_62962,1
CR_42579,1
CR_85520,1
CR_140009,1
CR_45955,1
CR_93023,1
CR_99356,1
CR_180878,0
CR_136300,1
CR_51021,1
CR_99683,1
CR_156498,1
CR_55404,1
CR_70502,0
CR_153825,1
CR_70431,0
CR_91392,1
CR_157914,1
CR_175093,1
CR_150789,1
CR_120528,1
CR_2306,1
CR_66209,1
CR_32528,1
CR_98184,1
CR_9673,1
CR_24065,0
CR_177549,1
CR_120052,1
CR_154645,0
CR_30586,1
CR_141094,1
CR_77264,1
CR_1044,1
CR_197521,1
CR_124945,1
CR_35908,1
CR_187760,1
CR_17203,1
CR_7650,1
CR_98398,1
CR_174852,1
CR_4954,1
CR_149798,1
CR_154559,1
CR_93226,1
CR_46160,1
CR_179495,0
CR_165996,1
CR_195023,1
CR_198012,1
CR_110032,1
CR_45021,1
CR_185660,1
CR_168576,1
CR_158501,1
CR_14044,1
CR_115833,1
CR_65133,1
CR_5447,1
CR_91510,1
CR_6348,1
CR_184696,1
CR_30110,1
CR_42516,0
CR_177086,1
CR_77383,1
CR_178859,1
CR_7431,1
CR_77927,1
CR_57378,1
CR_35017,1
CR_83421,1
CR_54571,1
CR_183315,1
CR_103240,1
CR_51064,0
CR_96395,1
CR_151551,1
CR_57830,1
CR_35391,1
CR_122168,1
CR_177606,1
CR_78491,1
CR_137082,1
CR_66251,1
CR_110242,1
CR_154296,1
CR_54855,0
CR_9678,1
CR_81418,1
CR_55890,1
CR_76885,1
CR_3492,1
CR_48955,1
CR_118867,1
CR_160221,1
CR_164718,1
CR_165203,1
CR_164828,1
CR_171438,1
CR_174780,1
CR_36184,1
CR_98887,1
CR_53262,1
CR_31402,0
CR_46098,1
CR_31321,1
CR_69975,1
CR_19611,1
CR_15379,1
CR_21325,1
CR_189335,1
CR_65440,1
CR_24586,1
CR_167723,1
CR_180456,1
CR_100170,1
CR_106088,1
CR_157823,1
CR_87293,1
CR_180220,1
CR_25141,1
CR_177102,1
CR_41038,1
CR_1145,1
CR_181384,1
CR_17634,1
CR_142191,1
CR_88882,1
CR_52668,1
CR_166437,1
CR_42932,1
CR_168326,1
CR_125259,1
CR_138821,1
CR_43155,1
CR_70876,1
CR_109010,1
CR_3398,1
CR_14360,1
CR_132249,1
CR_106607,1
CR_35036,1
CR_7784,1
CR_4711,1
CR_178808,1
CR_96414,1
CR_189736,1
CR_198040,0
CR_17241,1
CR_138516,1
CR_91372,1
CR_95726,1
CR_190959,1
CR_2171,1
CR_23032,1
CR_97271,1
CR_167056,1
CR_114818,1
CR_98778,1
CR_3552,1
CR_197072,1
CR_119899,1
CR_100525,1
CR_34993,1
CR_27645,1
CR_142743,0
CR_88092,1
CR_81038,1
CR_51445,1
CR_4244,1
CR_139257,1
CR_72370,1
CR_173328,1
CR_6147,1
CR_64239,1
CR_43201,1
CR_40843,1
CR_53044,1
CR_57541,1
CR_142424,1
CR_38955,1
CR_178082,1
CR_175582,0
CR_12959,1
CR_44055,1
CR_74488,1
CR_153437,1
CR_104330,1
CR_60943,1
CR_23270,1
CR_168124,1
CR_98987,1
CR_148458,1
CR_174979,1
CR_2721,1
CR_174047,1
CR_137327,1
CR_159928,1
CR_127265,1
CR_34299,1
CR_93505,1
CR_151593,1
CR_108946,1
CR_59078,1
CR_180399,1
CR_57020,1
CR_169795,1
CR_18542,1
CR_8132,1
CR_22783,1
CR_175216,1
CR_31408,1
CR_74219,1
CR_122080,1
CR_93709,1
CR_140437,1
CR_188396,0
CR_94208,1
CR_150853,1
CR_110512,1
CR_15146,1
CR_124,1
CR_147547,1
CR_120920,0
CR_187834,1
CR_155558,1
CR_113206,1
CR_191505,1
CR_153374,1
CR_23924,1
CR_121382,1
CR_79565,1
CR_74151,1
CR_38819,1
CR_22045,1
CR_94582,1
CR_36458,0
CR_150499,1
CR_162702,1
CR_149265,1
CR_19878,1
CR_23841,1
CR_19818,1
CR_93473,1
CR_86857,1
CR_139632,1
CR_188600,1
CR_75603,1
CR_152558,0
CR_184038,1
CR_81886,1
CR_88848,1
CR_65900,0
CR_138840,1
CR_63254,1
CR_153733,1
CR_118154,1
CR_151795,1
CR_90535,1
CR_148899,1
CR_56284,1
CR_101776,1
CR_156253,1
CR_69691,1
CR_108617,1
CR_63834,1
CR_82651,1
CR_62005,1
CR_102836,1
CR_91294,1
CR_180372,1
CR_127819,1
CR_142578,1
CR_143005,1
CR_124050,1
CR_152675,1
CR_183329,1
CR_198065,1
CR_27170,1
CR_16778,0
CR_4645,1
CR_140789,1
CR_145050,1
CR_185187,1
CR_85946,1
CR_15225,1
CR_81390,1
CR_70349,0
CR_47510,1
CR_18982,1
CR_133241,1
CR_134554,1
CR_137681,1
CR_67723,1
CR_172709,1
CR_188390,1
CR_188950,1
CR_976,1
CR_174143,1
CR_133002,1
CR_188393,1
CR_160463,1
CR_149800,1
CR_94064,1
CR_164297,1
CR_1943,1
CR_55383,1
CR_181126,1
CR_194195,1
CR_9464,1
CR_53419,1
CR_123303,0
CR_14116,1
CR_142039,1
CR_25725,1
CR_41394,0
CR_121617,1
CR_47547,1
CR_83857,1
CR_118518,1
CR_99459,1
CR_166417,1
CR_105317,1
CR_35269,1
CR_61226,1
CR_80844,1
CR_50473,1
CR_151260,1
CR_11147,1
CR_4258,1
CR_166773,1
CR_134588,1
CR_151242,1
CR_48242,1
CR_7499,1
CR_155630,1
CR_166574,1
CR_95095,1
CR_74718,1
CR_93540,1
CR_68740,1
CR_38994,1
CR_123914,1
CR_128907,1
CR_101267,1
CR_68177,1
CR_168509,1
CR_91495,1
CR_158572,1
CR_4019,1
CR_34537,1
CR_94373,1
CR_18439,1
CR_127522,1
CR_136067,1
CR_6898,1
CR_94237,1
CR_5360,1
CR_81420,1
CR_184374,1
CR_83279,1
CR_16832,1
CR_42386,1
CR_186405,1
CR_74554,1
CR_103436,1
CR_139023,1
CR_62574,0
CR_166482,1
CR_87567,1
CR_65872,1
CR_107770,1
CR_75728,1
CR_4647,1
CR_81350,1
CR_174427,1
CR_191492,1
CR_170710,1
CR_153455,1
CR_184694,1
CR_42772,0
CR_147563,1
CR_153023,0
CR_160347,1
CR_36386,1
CR_176049,1
CR_42680,1
CR_15306,1
CR_132013,1
CR_133450,1
CR_165274,1
CR_136084,1
CR_115791,1
CR_144027,1
CR_33020,1
CR_1542,1
CR_74640,1
CR_50373,1
CR_142834,1
CR_159748,1
CR_187969,1
CR_85860,1
CR_12877,1
CR_56967,1
CR_183063,1
CR_53171,1
CR_107244,0
CR_174651,1
CR_125921,1
CR_75541,1
CR_60501,1
CR_153279,1
CR_62008,1
CR_54516,1
CR_159535,1
CR_24770,0
CR_89987,1
CR_111523,1
CR_197839,1
CR_194657,1
CR_162107,1
CR_118924,1
CR_160018,1
CR_118009,1
CR_45056,1
CR_68714,1
CR_101649,1
CR_29920,1
CR_192069,1
CR_35925,1
CR_50544,1
CR_67968,1
CR_197842,1
CR_12989,1
CR_9279,1
CR_115789,1
CR_174551,1
CR_194040,1
CR_17257,1
CR_151055,1
CR_132012,1
CR_64451,1
CR_39342,1
CR_5367,1
CR_93377,1
CR_146380,0
CR_33951,0
CR_136665,0
CR_67082,1
CR_131653,1
CR_150900,1
CR_41319,1
CR_51153,1
CR_188357,1
CR_74774,1
CR_1103,1
CR_185204,1
