ID,Essayset,min_score,max_score,clarity,coherent,EssayText,score
123,1,0,3,2,0,47,1.6
124,1,0,3,1,0,12,0.8
125,1,0,3,1,0,32,0.3
126,1,0,3,2,2,43,2.8
127,1,0,3,0,0,74,0
128,1,0,3,0,0,28,0
129,1,0,3,1,0,58,1
130,1,0,3,3,2,42,2.7
131,1,0,3,3,2,71,2.49313447
132,1,0,3,2,3,20,1.8
133,1,0,3,3,3,39,2
134,1,0,3,1,0,31,0.1
135,1,0,3,3,3,41,2.8
136,1,0,3,2,1,57,2.8
137,1,0,3,2,0,86,1.3
138,1,0,3,2,1,113,3
139,1,0,3,3,1,36,3
140,1,0,3,3,3,44,1.9
141,1,0,3,3,3,54,1.7
142,1,0,3,3,1,27,2
143,1,0,3,3,1,62,2.2
144,1,0,3,2,1,25,2.8
145,1,0,3,1,3,55,1.8
146,1,0,3,3,1,37,3
147,1,0,3,2,0,14,1.1
148,1,0,3,2,2,16,2.2
149,1,0,3,1,0,33,0.5
150,1,0,3,0,2,33,1.2
151,1,0,3,1,1,29,1
152,1,0,3,0,0,62,1.2
153,1,0,3,2,1,33,2.9
154,1,0,3,1,0,18,0.3
155,1,0,3,2,1,36,2.8
156,1,0,3,0,0,43,0.2
157,1,0,3,3,3,38,2
158,1,0,3,1,0,51,1
159,1,0,3,1,0,61,0.1
160,1,0,3,3,2,50,2.1
161,1,0,3,1,0,40,1.1
162,1,0,3,0,0,90,1.1
163,1,0,3,3,0,83,1.2
164,1,0,3,3,1,120,1.89313447
165,1,0,3,3,0,44,1.8
166,1,0,3,0,0,59,0.9
167,1,0,3,1,0,43,0
168,1,0,3,2,1,63,2.7
169,1,0,3,0,0,20,0.1
170,1,0,3,3,0,35,1.1
171,1,0,3,1,0,33,0.2
172,1,0,3,2,3,53,2
173,1,0,3,0,0,42,0.4
174,1,0,3,2,1,97,2.8
175,1,0,3,2,0,34,1.1
176,1,0,3,2,0,28,1.894360613
177,1,0,3,2,2,67,2
178,1,0,3,0,1,22,1.2
179,1,0,3,3,3,98,2.5
180,1,0,3,0,1,9,1.2
181,1,0,3,1,0,44,0.9
182,1,0,3,2,3,56,2.7
183,1,0,3,0,3,50,1.8
184,1,0,3,1,0,72,1
185,1,0,3,0,0,23,0.4
186,1,0,3,2,2,45,1.8
187,1,0,3,1,1,64,1.2
188,1,0,3,3,3,39,2.9
189,1,0,3,0,0,14,0.4
190,1,0,3,2,3,38,2.1
191,1,0,3,0,0,61,0.2
192,1,0,3,0,0,41,0.2
193,1,0,3,0,0,72,0.2
194,1,0,3,2,0,38,1.2
195,1,0,3,3,1,60,2.7
196,1,0,3,2,2,106,2.8
197,1,0,3,3,2,58,1.9
198,1,0,3,0,0,38,1.2
199,1,0,3,2,1,53,2.6
200,1,0,3,0,0,64,0.1
201,1,0,3,0,0,9,0
202,1,0,3,1,0,25,1
203,1,0,3,0,0,15,0
204,1,0,3,2,1,56,2.9
205,1,0,3,2,2,40,2.1
206,1,0,3,3,1,32,2.8
207,1,0,3,3,1,29,2
208,1,0,3,0,0,75,0.1
209,1,0,3,2,2,41,2.5
210,1,0,3,1,0,38,1.1
211,1,0,3,3,1,94,2.9
212,1,0,3,0,0,1,0
213,1,0,3,3,2,45,2
214,1,0,3,3,3,78,2.1
215,1,0,3,2,1,40,2.2
216,1,0,3,3,1,101,2.1
217,1,0,3,1,0,30,1
218,1,0,3,0,0,42,0.8
219,1,0,3,2,3,91,2.1
220,1,0,3,3,0,24,1
221,1,0,3,2,2,53,2.1
222,1,0,3,3,3,54,2
223,1,0,3,1,0,18,1
224,1,0,3,2,3,74,1.9
225,1,0,3,1,0,1,0
226,1,0,3,1,0,58,1.2
227,1,0,3,2,0,39,1.1
228,1,0,3,3,3,31,2.2
229,1,0,3,2,3,23,2
230,1,0,3,1,0,16,0.3
231,1,0,3,2,2,86,1.9
232,1,0,3,2,2,43,2
233,1,0,3,1,0,5,0.194360613
234,1,0,3,2,0,55,1.1
235,1,0,3,1,0,49,0
236,1,0,3,2,3,31,2.9
237,1,0,3,0,0,45,0.2
238,1,0,3,2,3,75,1.9
239,1,0,3,2,1,80,2.9
240,1,0,3,3,3,50,2
241,1,0,3,3,3,81,3
242,1,0,3,3,0,49,1.8
243,1,0,3,1,0,48,1.6
244,1,0,3,0,2,49,1.59313447
245,1,0,3,2,3,57,2.9
246,1,0,3,0,0,34,0.19313447
247,1,0,3,3,2,68,1.4
248,1,0,3,0,0,96,1
249,1,0,3,2,2,60,2
250,1,0,3,0,0,22,1.1
251,1,0,3,0,0,20,0.8
252,1,0,3,2,2,29,2.8
253,1,0,3,0,0,44,1
254,1,0,3,2,2,95,3
255,1,0,3,2,2,44,1.9
256,1,0,3,3,2,40,2.6
257,1,0,3,2,2,59,2.1
258,1,0,3,1,1,51,1.8
259,1,0,3,1,0,69,0.9
260,1,0,3,2,3,55,2
261,1,0,3,1,0,17,0.3
262,1,0,3,1,0,60,0
263,1,0,3,1,0,19,0.1
264,1,0,3,0,0,56,0
265,1,0,3,3,2,82,2.7
266,1,0,3,2,0,35,1.1
267,1,0,3,1,2,82,1
268,1,0,3,0,0,60,0.2
269,1,0,3,1,0,38,0.3
270,1,0,3,2,1,66,3
271,1,0,3,1,0,54,0.7
272,1,0,3,3,3,48,2.4
273,1,0,3,3,3,41,1.9
274,1,0,3,3,0,64,1
275,1,0,3,3,0,37,1.2
276,1,0,3,0,0,38,1
277,1,0,3,3,2,38,1.994360613
278,1,0,3,2,0,22,1.1
279,1,0,3,0,0,47,1
280,1,0,3,3,0,59,1.2
281,1,0,3,2,3,39,2.49313447
282,1,0,3,0,0,67,1
283,1,0,3,1,0,34,0
284,1,0,3,1,0,31,0.2
285,1,0,3,0,1,49,1.1
286,1,0,3,2,2,26,1.8
287,1,0,3,0,0,35,1.2
288,1,0,3,1,0,14,0
289,1,0,3,3,0,52,1.8
290,1,0,3,1,0,39,1
291,1,0,3,3,2,60,3
292,1,0,3,0,0,40,0
293,1,0,3,0,0,23,1
294,1,0,3,0,0,45,1
295,1,0,3,1,0,29,1
296,1,0,3,1,0,41,0.1
297,1,0,3,3,0,70,1.1
298,1,0,3,2,1,32,1.9
299,1,0,3,1,0,36,1
300,1,0,3,1,0,64,0.9
301,1,0,3,2,2,29,1.9
302,1,0,3,3,3,27,2.9
303,1,0,3,2,2,37,1.993399184
304,1,0,3,0,0,43,1
305,1,0,3,2,3,56,2
306,1,0,3,1,0,18,0.29313447
307,1,0,3,2,0,42,1.8
308,1,0,3,1,0,53,1
309,1,0,3,3,1,51,2.6
310,1,0,3,1,0,39,0
311,1,0,3,3,2,37,2.1
312,1,0,3,2,3,38,1.7
313,1,0,3,3,1,107,2.6
314,1,0,3,1,0,28,0.9
315,1,0,3,1,0,27,0.3
316,1,0,3,1,0,40,1
317,1,0,3,1,0,24,0.2
318,1,0,3,1,0,66,0.3
319,1,0,3,2,0,38,1.9
320,1,0,3,1,0,14,0.3
321,1,0,3,3,2,16,1.9
322,1,0,3,3,2,48,2.7
323,1,0,3,3,3,91,2.1
324,1,0,3,3,3,46,2.1
325,1,0,3,2,2,77,2.7
326,1,0,3,2,0,70,1.2
327,1,0,3,2,3,20,2.8
328,1,0,3,3,1,42,2
329,1,0,3,3,2,72,2.1
330,1,0,3,2,2,63,2
331,1,0,3,1,0,43,0
332,1,0,3,3,2,90,2
333,1,0,3,1,0,19,0.2
334,1,0,3,0,0,59,0.2
335,1,0,3,2,2,26,1.2
336,1,0,3,1,0,37,1
337,1,0,3,3,1,58,2.6
338,1,0,3,1,0,42,0.1
339,1,0,3,0,0,27,0
340,1,0,3,1,0,19,1.1
341,1,0,3,3,2,50,2.8
342,1,0,3,2,1,48,2.8
343,1,0,3,3,1,66,2.2
344,1,0,3,2,3,24,2.9
345,1,0,3,3,1,53,1.8
346,1,0,3,0,0,57,1.2
347,1,0,3,2,3,9,1.3
348,1,0,3,0,0,35,0
349,1,0,3,3,2,34,2
350,1,0,3,1,0,63,0.2
351,1,0,3,3,3,90,2.6
352,1,0,3,1,0,18,0.2
353,1,0,3,1,0,40,0.2
354,1,0,3,1,2,60,1.2
355,1,0,3,0,3,38,1.7
356,1,0,3,3,1,62,2
357,1,0,3,3,0,23,1.2
358,1,0,3,0,0,33,0.2
359,1,0,3,2,1,42,3
360,1,0,3,1,0,65,1.1
361,1,0,3,2,1,32,1.8
362,1,0,3,2,2,102,2.5
363,1,0,3,1,0,27,1.4
364,1,0,3,2,1,11,3
365,1,0,3,3,2,70,3
366,1,0,3,2,2,72,2.1
367,1,0,3,2,2,52,2.8
368,1,0,3,0,0,14,0.3
369,1,0,3,2,3,32,2
370,1,0,3,3,2,51,1.9
371,1,0,3,0,0,22,0
372,1,0,3,1,0,31,0
373,1,0,3,2,2,32,1.5
374,1,0,3,1,0,79,0
375,1,0,3,1,0,52,1
376,1,0,3,1,0,33,0.2
377,1,0,3,3,1,69,1.9
378,1,0,3,3,0,85,1.5
379,1,0,3,1,0,53,1
380,1,0,3,1,0,54,1
381,1,0,3,2,0,25,1.8
382,1,0,3,0,0,37,1
383,1,0,3,3,1,53,2.8
384,1,0,3,3,3,24,2
385,1,0,3,0,0,9,0.3
386,1,0,3,0,0,63,1
387,1,0,3,1,0,8,0
388,1,0,3,0,0,22,0.1
389,1,0,3,3,1,54,2.6
390,1,0,3,2,2,65,3
391,1,0,3,3,1,46,2
392,1,0,3,1,0,25,0.9
393,1,0,3,2,2,29,2.2
394,1,0,3,1,0,61,0.99313447
395,1,0,3,2,2,55,3
396,1,0,3,1,0,44,0.1
397,1,0,3,0,0,38,1
398,1,0,3,2,0,55,1.4
399,1,0,3,2,1,31,2
400,1,0,3,2,3,67,2
401,1,0,3,2,1,43,1.9
402,1,0,3,3,1,47,2
403,1,0,3,0,0,64,0
404,1,0,3,0,0,45,0.2
405,1,0,3,3,3,118,2
406,1,0,3,3,3,76,2.5
407,1,0,3,1,0,42,0.3
408,1,0,3,0,0,26,0
409,1,0,3,3,3,49,2
410,1,0,3,0,0,26,0
411,1,0,3,0,0,18,0
412,1,0,3,3,0,39,1.8
413,1,0,3,0,0,18,0.1
414,1,0,3,0,0,9,0.2
415,1,0,3,2,3,105,3
416,1,0,3,0,0,46,1
417,1,0,3,2,1,58,2.7
418,1,0,3,3,0,59,1.4
419,1,0,3,0,0,50,1
420,1,0,3,3,1,35,2
421,1,0,3,3,3,96,3
422,1,0,3,0,0,67,0.2
423,1,0,3,2,3,50,2.8
424,1,0,3,3,2,44,2.9
425,1,0,3,1,0,51,0
426,1,0,3,0,0,33,0
427,1,0,3,2,0,25,1
428,1,0,3,3,1,114,2.8
429,1,0,3,0,0,10,0
430,1,0,3,0,0,45,1
431,1,0,3,0,0,21,0.4
432,1,0,3,0,0,22,0.1
433,1,0,3,1,0,34,0.8
434,1,0,3,0,0,45,0.9
435,1,0,3,0,0,14,0.2
436,1,0,3,1,0,82,0
437,1,0,3,3,0,24,1.1
438,1,0,3,0,0,12,1
439,1,0,3,3,2,52,2
440,1,0,3,2,2,41,1.8
441,1,0,3,3,2,57,1.9
442,1,0,3,0,3,72,1.3
443,1,0,3,3,2,68,1.9
444,1,0,3,3,2,34,2.8
445,1,0,3,0,0,33,1.1
446,1,0,3,2,3,44,2
447,1,0,3,0,1,29,1.2
448,1,0,3,1,0,39,1
449,1,0,3,2,2,37,3
450,1,0,3,1,0,89,0.9
451,1,0,3,1,0,18,0.3
452,1,0,3,3,0,50,1.1
453,1,0,3,1,0,48,0.2
454,1,0,3,3,1,56,2.8
455,1,0,3,1,0,65,1
456,1,0,3,1,0,27,0.2
457,1,0,3,0,0,36,0.2
458,1,0,3,2,1,111,2.8
459,1,0,3,2,2,67,2
460,1,0,3,0,0,34,0
461,1,0,3,2,2,79,2.8
462,1,0,3,3,1,44,2.2
463,1,0,3,0,1,32,1.1
464,1,0,3,3,2,57,2.9
465,1,0,3,1,0,63,0.1
466,1,0,3,2,3,35,2.9
467,1,0,3,3,3,48,2.4
468,1,0,3,1,1,37,1
469,1,0,3,3,1,67,2.8
470,1,0,3,0,0,22,0.3
471,1,0,3,1,0,77,1
472,1,0,3,3,1,87,2
473,1,0,3,2,3,19,3
474,1,0,3,1,0,81,1.2
475,1,0,3,1,0,31,0.9
476,1,0,3,3,3,67,2
477,1,0,3,2,2,68,1.3
478,1,0,3,0,0,85,1.2
479,1,0,3,3,1,21,1.9
480,1,0,3,2,3,34,1.9
481,1,0,3,1,0,31,1
482,1,0,3,1,0,44,1
483,1,0,3,2,2,52,2
484,1,0,3,1,0,54,0.2
485,1,0,3,1,0,17,0
486,1,0,3,1,0,36,1
487,1,0,3,0,0,1,0
488,1,0,3,1,0,47,0.1
489,1,0,3,2,2,35,1.8
490,1,0,3,2,0,21,1.1
491,1,0,3,2,0,26,1.6
492,1,0,3,0,0,72,0.99313447
493,1,0,3,0,0,35,0.8
494,1,0,3,2,0,48,1.3
495,1,0,3,1,0,68,1.2
496,1,0,3,2,2,81,1.9
497,1,0,3,0,0,53,0.1
498,1,0,3,1,0,39,1
499,1,0,3,3,3,27,3
500,1,0,3,3,1,69,3
501,1,0,3,0,0,34,1
502,1,0,3,0,0,47,0.9
503,1,0,3,2,1,34,2
504,1,0,3,3,2,35,2.7
505,1,0,3,2,3,24,2.8
506,1,0,3,0,0,47,1
507,1,0,3,2,2,94,2.1
508,1,0,3,2,3,36,2.1
509,1,0,3,1,0,93,1.2
510,1,0,3,1,0,27,0.8
511,1,0,3,2,2,61,1.9
512,1,0,3,1,0,24,0
513,1,0,3,1,0,108,1.2
514,1,0,3,3,1,74,3
515,1,0,3,2,3,36,3
516,1,0,3,3,3,80,2.6
517,1,0,3,1,3,65,1.3
518,1,0,3,0,0,70,1
519,1,0,3,3,1,59,2.7
520,1,0,3,0,0,10,0.2
521,1,0,3,1,0,64,1.1
522,1,0,3,0,0,9,1
523,1,0,3,2,1,31,2
524,1,0,3,0,0,40,0.1
525,1,0,3,1,0,23,0.2
526,1,0,3,2,2,92,2.8
527,1,0,3,2,1,19,2.7
528,1,0,3,3,1,48,2.2
529,1,0,3,2,1,40,2.2
530,1,0,3,0,2,87,1.2
531,1,0,3,2,2,103,1.9
532,1,0,3,3,3,15,1.9
533,1,0,3,0,0,69,0.4
534,1,0,3,2,2,62,3
535,1,0,3,0,3,12,1.8
536,1,0,3,0,0,51,1
537,1,0,3,2,3,76,2.8
538,1,0,3,1,0,14,0
539,1,0,3,3,2,42,2
540,1,0,3,3,1,45,2.1
541,1,0,3,1,0,70,1.2
542,1,0,3,2,3,48,2.8
543,1,0,3,0,2,64,1.2
544,1,0,3,2,1,43,2.4
545,1,0,3,0,0,36,0.2
546,1,0,3,1,0,41,1
547,1,0,3,3,1,41,2
548,1,0,3,3,1,85,1.9
549,1,0,3,0,0,53,0
550,1,0,3,2,0,25,1.2
551,1,0,3,1,3,73,1.8
552,1,0,3,3,3,65,3
553,1,0,3,1,0,38,0.1
554,1,0,3,1,3,42,0.9
555,1,0,3,2,0,78,1.9
556,1,0,3,3,1,43,1.9
557,1,0,3,0,0,35,0.8
558,1,0,3,3,2,47,1.9
559,1,0,3,2,1,38,3
560,1,0,3,1,2,79,1.1
561,1,0,3,3,0,50,1.1
562,1,0,3,0,0,58,0.9
563,1,0,3,3,2,28,2
564,1,0,3,1,0,57,0.9
565,1,0,3,3,2,44,3
566,1,0,3,3,2,38,2
567,1,0,3,3,2,51,2.8
568,1,0,3,2,1,64,1.9
569,1,0,3,1,0,58,0.5
570,1,0,3,0,2,40,1.2
571,1,0,3,0,0,55,1.1
572,1,0,3,1,0,58,0.2
573,1,0,3,2,3,76,2
574,1,0,3,1,0,6,0
575,1,0,3,2,0,25,1.2
576,1,0,3,1,0,53,1.1
577,1,0,3,2,2,65,2.2
578,1,0,3,2,2,93,2.9
579,1,0,3,2,2,60,1.9
580,1,0,3,1,0,58,0
581,1,0,3,0,0,31,1
582,1,0,3,0,0,27,1
583,1,0,3,1,0,17,0.9
584,1,0,3,0,0,37,0.9
585,1,0,3,3,2,34,2
586,1,0,3,0,0,25,0.1
587,1,0,3,2,3,52,2.2
588,1,0,3,2,1,57,3
589,1,0,3,3,2,60,2.2
590,1,0,3,0,0,26,0.4
591,1,0,3,2,2,45,1.9
592,1,0,3,3,3,53,2
593,1,0,3,2,3,96,2.8
594,1,0,3,3,2,79,2.1
595,1,0,3,1,0,31,1
596,1,0,3,3,2,60,2
597,1,0,3,2,2,49,2
598,1,0,3,1,0,29,0.19313447
599,1,0,3,2,3,74,1.894360613
600,1,0,3,1,0,18,1
601,1,0,3,3,2,53,2
602,1,0,3,3,2,54,1.8
603,1,0,3,2,1,54,2.9
604,1,0,3,0,3,64,1.8
605,1,0,3,0,0,51,1.7
606,1,0,3,3,3,51,2
607,1,0,3,2,2,67,2.6
608,1,0,3,3,1,51,1.8
609,1,0,3,2,3,73,1.6
610,1,0,3,0,0,39,0.394360613
611,1,0,3,3,3,17,1.89313447
612,1,0,3,3,3,28,2.1
613,1,0,3,0,0,22,0.2
614,1,0,3,3,3,43,1.9
615,1,0,3,3,0,34,1.7
616,1,0,3,2,3,37,2.8
617,1,0,3,2,2,72,1.8
618,1,0,3,2,1,49,1.2
619,1,0,3,0,0,27,1
620,1,0,3,1,0,71,1.1
621,1,0,3,1,0,49,0.1
622,1,0,3,0,0,40,0.2
623,1,0,3,2,3,72,2.1
624,1,0,3,3,0,54,1.7
625,1,0,3,2,1,61,2.8
626,1,0,3,0,0,29,0
627,1,0,3,2,1,65,2.8
628,1,0,3,3,2,44,2.1
629,1,0,3,2,3,49,2.1
630,1,0,3,3,2,33,2.1
631,1,0,3,2,1,59,1.9
632,1,0,3,2,2,31,2.5
633,1,0,3,0,2,60,1.8
634,1,0,3,1,0,18,0
635,1,0,3,1,0,58,0.9
636,1,0,3,1,0,63,0.9
637,1,0,3,0,0,23,0
638,1,0,3,2,1,53,2.9
639,1,0,3,2,3,49,2.9
640,1,0,3,3,1,44,2
641,1,0,3,0,0,42,0
642,1,0,3,1,0,43,0.9
643,1,0,3,2,3,41,2.9
644,1,0,3,0,0,30,1
645,1,0,3,3,0,20,1.3
646,1,0,3,2,1,4,1.8
647,1,0,3,2,2,72,2.9
648,1,0,3,2,3,33,2.7
649,1,0,3,2,0,47,2
650,1,0,3,0,0,18,0
651,1,0,3,2,1,63,2
652,1,0,3,3,2,54,1.9
653,1,0,3,1,0,34,1
654,1,0,3,2,2,36,2
655,1,0,3,2,3,48,2.8
656,1,0,3,2,3,23,2.7
657,1,0,3,2,0,37,1.8
658,1,0,3,2,1,55,1.7
659,1,0,3,3,0,47,1.8
660,1,0,3,0,0,22,0.2
661,1,0,3,1,0,43,1
662,1,0,3,0,2,98,1.7
663,1,0,3,0,0,37,0.9
664,1,0,3,0,2,32,1.6
665,1,0,3,2,1,71,1.7
666,1,0,3,1,0,36,0.9
667,1,0,3,2,1,21,2
668,1,0,3,1,0,52,0
669,1,0,3,1,0,44,0.3
670,1,0,3,1,0,4,0.3
671,1,0,3,0,0,71,1.2
672,1,0,3,3,0,50,1.8
673,1,0,3,2,0,44,1.3
674,1,0,3,3,0,37,1.8
675,1,0,3,2,0,44,1
676,1,0,3,0,0,9,0.3
677,1,0,3,2,1,60,2.9
678,1,0,3,3,1,24,1.8
679,1,0,3,1,0,65,0.1
680,1,0,3,1,0,13,0.2
681,1,0,3,3,2,70,2
682,1,0,3,1,0,49,0.2
683,1,0,3,3,1,20,1.9
684,1,0,3,0,3,44,1.8
685,1,0,3,3,1,34,2
686,1,0,3,3,3,26,2
687,1,0,3,2,2,90,2
688,1,0,3,2,1,82,1.9
689,1,0,3,2,2,47,2.8
690,1,0,3,1,0,61,0.3
691,1,0,3,3,2,30,1.7
692,1,0,3,2,3,58,2.9
693,1,0,3,2,1,39,1.9
694,1,0,3,1,0,88,0.5
695,1,0,3,0,2,65,1.1
696,1,0,3,3,1,37,1.7
697,1,0,3,2,2,35,1.9
698,1,0,3,1,0,11,0.3
699,1,0,3,1,0,16,1
700,1,0,3,2,3,55,3
701,1,0,3,2,3,43,2.8
702,1,0,3,2,1,72,1.8
703,1,0,3,1,0,53,0.9
704,1,0,3,2,0,45,1.5
705,1,0,3,0,0,42,1.1
706,1,0,3,2,3,38,3
707,1,0,3,2,1,103,2.8
708,1,0,3,3,2,48,2.9
709,1,0,3,1,0,48,0.8
710,1,0,3,3,2,25,3
711,1,0,3,1,0,15,0
712,1,0,3,2,2,68,2.6
713,1,0,3,2,1,39,2.6
714,1,0,3,0,0,29,0
715,1,0,3,2,1,45,2.1
716,1,0,3,1,0,69,1
717,1,0,3,1,0,23,0.9
718,1,0,3,1,0,52,1.2
719,1,0,3,1,0,44,1.2
720,1,0,3,1,3,48,1.2
721,1,0,3,3,0,64,1.1
722,1,0,3,3,2,34,2
723,1,0,3,0,0,8,0.3
724,1,0,3,1,0,35,0.2
725,1,0,3,0,0,47,0.2
726,1,0,3,2,2,48,2
727,1,0,3,0,0,96,1
728,1,0,3,2,3,58,2.8
729,1,0,3,2,2,66,2.8
730,1,0,3,2,3,56,2
731,1,0,3,2,1,36,2
732,1,0,3,3,3,34,2
733,1,0,3,3,2,65,1.9
734,1,0,3,3,3,29,2.1
735,1,0,3,0,0,6,0.2
736,1,0,3,1,0,30,0.2
737,1,0,3,1,0,37,1
738,1,0,3,3,1,31,1.2
739,1,0,3,1,0,99,0.4
740,1,0,3,3,1,68,2.7
741,1,0,3,0,0,29,1
742,1,0,3,0,0,43,0.1
743,1,0,3,0,0,39,0.5
744,1,0,3,3,3,46,2.9
745,1,0,3,3,1,53,2.6
746,1,0,3,2,1,54,2
747,1,0,3,2,1,26,2.6
748,1,0,3,1,2,32,1.7
749,1,0,3,3,2,58,1.8
750,1,0,3,3,2,40,2.9
751,1,0,3,1,0,29,1.2
752,1,0,3,1,0,18,0.5
753,1,0,3,2,3,41,2
754,1,0,3,3,2,58,2.6
755,1,0,3,1,0,8,0.2
756,1,0,3,0,1,46,1.8
757,1,0,3,0,0,15,1
758,1,0,3,3,3,59,2
759,1,0,3,3,1,36,2.1
760,1,0,3,0,2,23,1.2
761,1,0,3,1,0,24,1
762,1,0,3,3,2,55,2.6
763,1,0,3,2,1,62,1.8
764,1,0,3,3,2,59,1.9
765,1,0,3,1,0,37,0.3
766,1,0,3,0,3,33,1.2
767,1,0,3,1,0,15,1
768,1,0,3,2,0,89,1.1
769,1,0,3,2,0,47,1.6
770,1,0,3,0,3,22,1.8
771,1,0,3,1,1,51,1.8
772,1,0,3,0,0,57,0.4
773,1,0,3,0,1,58,1.8
774,1,0,3,1,0,54,0
775,1,0,3,0,0,57,0
776,1,0,3,1,0,50,0
777,1,0,3,2,3,45,3
778,1,0,3,0,0,34,1
779,1,0,3,3,2,39,2.1
780,1,0,3,0,0,17,0
781,1,0,3,2,0,124,1.8
782,1,0,3,2,3,37,1.9
783,1,0,3,0,0,45,0.3
784,1,0,3,2,0,49,1.1
785,1,0,3,3,3,76,2
786,1,0,3,2,3,25,2.8
787,1,0,3,1,1,49,1.8
788,1,0,3,3,1,38,2.9
789,1,0,3,1,3,38,1.8
790,1,0,3,2,1,35,2
791,1,0,3,0,0,19,0.3
792,1,0,3,1,0,54,0.2
793,1,0,3,2,3,41,2
794,1,0,3,1,0,80,1
795,1,0,3,1,0,24,0.9
796,1,0,3,0,0,13,0.3
797,1,0,3,3,3,65,2.6
798,1,0,3,0,0,37,0.9
799,1,0,3,3,2,48,2
