Trip_ID,Surge_Pricing_Type
T0005691611,3
T0005691614,3
T0005691617,1
T0005691618,2
T0005691622,1
T0005691623,1
T0005691624,2
T0005691627,3
T0005691631,2
T0005691635,3
T0005691637,3
T0005691638,3
T0005691639,1
T0005691642,2
T0005691647,2
T0005691650,3
T0005691652,2
T0005691653,3
T0005691661,2
T0005691662,2
T0005691663,2
T0005691664,2
T0005691665,1
T0005691666,3
T0005691668,2
T0005691674,1
T0005691676,2
T0005691679,3
T0005691680,3
T0005691683,2
T0005691686,2
T0005691688,3
T0005691690,2
T0005691694,3
T0005691698,3
T0005691699,1
T0005691702,2
T0005691708,1
T0005691709,3
T0005691710,2
T0005691711,2
T0005691714,2
T0005691716,3
T0005691718,1
T0005691724,2
T0005691729,1
T0005691738,2
T0005691743,3
T0005691747,1
T0005691748,3
T0005691751,2
T0005691752,3
T0005691772,3
T0005691773,2
T0005691777,3
T0005691781,3
T0005691783,2
T0005691788,3
T0005691791,3
T0005691794,2
T0005691795,3
T0005691797,2
T0005691799,2
T0005691801,3
T0005691802,3
T0005691803,1
T0005691807,3
T0005691808,1
T0005691810,3
T0005691811,3
T0005691814,2
T0005691815,1
T0005691817,2
T0005691819,3
T0005691820,3
T0005691822,2
T0005691824,3
T0005691828,2
T0005691830,2
T0005691832,2
T0005691834,1
T0005691835,3
T0005691837,2
T0005691847,1
T0005691848,3
T0005691853,3
T0005691855,2
T0005691858,2
T0005691867,1
T0005691870,3
T0005691877,3
T0005691879,3
T0005691880,2
T0005691883,2
T0005691885,1
T0005691886,2
T0005691887,2
T0005691888,2
T0005691894,2
T0005691897,2
T0005691901,2
T0005691903,2
T0005691909,2
T0005691911,2
T0005691915,1
T0005691919,3
T0005691920,2
T0005691925,3
T0005691929,2
T0005691934,2
T0005691937,2
T0005691938,3
T0005691939,3
T0005691941,1
T0005691942,2
T0005691943,1
T0005691944,3
T0005691945,2
T0005691946,2
T0005691947,1
T0005691949,2
T0005691951,2
T0005691953,2
T0005691954,2
T0005691955,3
T0005691957,3
T0005691967,2
T0005691968,2
T0005691969,3
T0005691974,3
T0005691975,2
T0005691977,2
T0005691980,3
T0005691983,1
T0005691986,3
T0005691989,1
T0005691993,3
T0005691994,3
T0005691997,3
T0005692006,3
T0005692008,3
T0005692013,2
T0005692018,2
T0005692020,2
T0005692022,2
T0005692025,3
T0005692029,1
T0005692032,3
T0005692039,2
T0005692040,3
T0005692041,3
T0005692045,1
T0005692051,2
T0005692052,3
T0005692053,3
T0005692054,3
T0005692057,1
T0005692063,1
T0005692064,2
T0005692066,3
T0005692070,3
T0005692077,2
T0005692080,2
T0005692084,2
T0005692086,1
T0005692093,1
T0005692095,2
T0005692096,2
T0005692098,2
T0005692102,2
T0005692105,2
T0005692108,3
T0005692109,3
T0005692113,3
T0005692119,2
T0005692121,2
T0005692125,3
T0005692128,2
T0005692129,2
T0005692132,3
T0005692136,2
T0005692143,3
T0005692144,2
T0005692146,2
T0005692148,3
T0005692153,3
T0005692156,3
T0005692163,3
T0005692167,3
T0005692169,3
T0005692171,3
T0005692173,3
T0005692180,2
T0005692185,2
T0005692189,2
T0005692190,2
T0005692191,3
T0005692194,2
T0005692195,2
T0005692196,2
T0005692203,1
T0005692204,2
T0005692205,2
T0005692206,2
T0005692207,1
T0005692208,2
T0005692214,1
T0005692220,2
T0005692227,3
T0005692229,1
T0005692231,2
T0005692232,2
T0005692233,2
T0005692235,2
T0005692237,3
T0005692241,2
T0005692245,1
T0005692246,2
T0005692247,2
T0005692248,1
T0005692250,3
T0005692251,3
T0005692252,2
T0005692257,3
T0005692263,2
T0005692270,2
T0005692273,2
T0005692274,3
T0005692276,3
T0005692280,3
T0005692285,1
T0005692286,3
T0005692288,3
T0005692291,2
T0005692292,2
T0005692294,2
T0005692295,2
T0005692296,1
T0005692299,2
T0005692300,1
T0005692302,3
T0005692303,2
T0005692308,3
T0005692309,3
T0005692310,2
T0005692311,2
T0005692312,3
T0005692313,3
T0005692315,3
T0005692317,2
T0005692321,3
T0005692323,3
T0005692324,2
T0005692325,3
T0005692326,3
T0005692331,1
T0005692334,2
T0005692336,2
T0005692340,3
T0005692343,3
T0005692345,2
T0005692348,3
T0005692350,1
T0005692352,3
T0005692353,3
T0005692357,1
T0005692358,3
T0005692360,2
T0005692362,2
T0005692364,2
T0005692365,2
T0005692369,2
T0005692371,3
T0005692372,2
T0005692374,2
T0005692381,3
T0005692383,3
T0005692388,2
T0005692390,2
T0005692395,2
T0005692398,3
T0005692406,1
T0005692409,3
T0005692412,1
T0005692416,2
T0005692421,2
T0005692422,1
T0005692424,3
T0005692428,1
T0005692429,2
T0005692430,3
T0005692431,2
T0005692436,2
T0005692437,2
T0005692439,3
T0005692442,1
T0005692443,3
T0005692444,3
T0005692447,2
T0005692450,2
T0005692453,3
T0005692458,2
T0005692460,1
T0005692461,1
T0005692463,3
T0005692465,3
T0005692470,2
T0005692473,3
T0005692475,3
T0005692476,2
T0005692478,1
T0005692479,2
T0005692480,2
T0005692481,2
T0005692482,2
T0005692485,3
T0005692487,1
T0005692496,1
T0005692497,2
T0005692506,1
T0005692508,1
T0005692515,3
T0005692520,1
T0005692521,2
T0005692522,3
T0005692523,3
T0005692524,3
T0005692530,3
T0005692531,3
T0005692532,2
T0005692534,2
T0005692535,3
T0005692536,2
T0005692539,2
T0005692540,3
T0005692544,2
T0005692551,2
T0005692552,3
T0005692553,3
T0005692556,3
T0005692557,3
T0005692558,2
T0005692559,3
T0005692560,1
T0005692569,2
T0005692572,2
T0005692573,2
T0005692579,1
T0005692580,2
T0005692581,3
T0005692583,2
T0005692586,3
T0005692590,2
T0005692591,2
T0005692592,3
T0005692593,2
T0005692595,1
T0005692597,3
T0005692598,2
T0005692600,1
T0005692601,2
T0005692603,2
T0005692604,1
T0005692607,1
T0005692609,2
T0005692614,2
T0005692615,3
T0005692618,3
T0005692619,3
T0005692620,3
T0005692621,3
T0005692625,3
T0005692626,3
T0005692629,1
T0005692634,2
T0005692642,2
T0005692644,2
T0005692645,3
T0005692646,3
T0005692647,2
T0005692648,1
T0005692649,2
T0005692650,2
T0005692651,3
T0005692653,1
T0005692654,2
T0005692655,3
T0005692657,2
T0005692659,2
T0005692662,3
T0005692670,2
T0005692672,1
T0005692673,2
T0005692675,2
T0005692676,2
T0005692682,2
T0005692687,2
T0005692692,3
T0005692693,2
T0005692702,3
T0005692706,2
T0005692708,3
T0005692712,2
T0005692713,2
T0005692715,2
T0005692717,2
T0005692724,1
T0005692725,2
T0005692726,2
T0005692728,1
T0005692732,2
T0005692735,1
T0005692739,3
T0005692743,2
T0005692745,2
T0005692746,2
T0005692748,1
T0005692750,3
T0005692752,2
T0005692757,2
T0005692761,2
T0005692768,2
T0005692769,3
T0005692770,2
T0005692771,2
T0005692772,3
T0005692773,3
T0005692775,3
T0005692776,3
T0005692781,2
T0005692782,1
T0005692783,2
T0005692784,2
T0005692788,2
T0005692795,2
T0005692797,3
T0005692799,2
T0005692800,2
T0005692803,2
T0005692804,2
T0005692805,2
T0005692808,2
T0005692809,1
T0005692812,2
T0005692813,2
T0005692817,2
T0005692820,3
T0005692822,3
T0005692826,2
T0005692829,1
T0005692831,3
T0005692833,2
T0005692838,2
T0005692841,3
T0005692842,3
T0005692846,3
T0005692847,2
T0005692849,3
T0005692850,3
T0005692854,2
T0005692856,2
T0005692862,3
T0005692866,2
T0005692867,2
T0005692870,2
T0005692871,2
T0005692872,2
T0005692873,2
T0005692880,3
T0005692889,3
T0005692893,3
T0005692895,3
T0005692896,2
T0005692897,3
T0005692898,1
T0005692900,2
T0005692905,2
T0005692906,2
T0005692908,2
T0005692912,2
T0005692913,2
T0005692918,2
T0005692920,2
T0005692921,2
T0005692924,3
T0005692926,2
T0005692928,3
T0005692931,2
T0005692933,2
T0005692940,3
T0005692941,1
T0005692942,2
T0005692943,3
T0005692945,2
T0005692946,2
T0005692947,3
T0005692950,3
T0005692951,3
T0005692953,2
T0005692954,2
T0005692958,3
T0005692960,2
T0005692963,2
T0005692965,1
T0005692967,2
T0005692973,3
T0005692974,3
T0005692976,3
T0005692984,3
T0005692985,2
T0005692986,2
T0005692989,3
T0005692990,2
T0005692992,3
T0005692995,2
T0005692996,1
T0005692999,3
T0005693000,2
T0005693001,3
T0005693003,2
T0005693009,2
T0005693011,2
T0005693012,2
T0005693013,2
T0005693014,2
T0005693023,2
T0005693028,2
T0005693029,2
T0005693030,2
T0005693031,1
T0005693032,3
T0005693036,1
T0005693047,2
T0005693048,3
T0005693049,3
T0005693052,1
T0005693057,1
T0005693058,3
T0005693061,1
T0005693063,3
T0005693064,3
T0005693066,2
T0005693069,3
T0005693072,3
T0005693073,3
T0005693074,3
T0005693075,2
T0005693079,3
T0005693081,1
T0005693082,2
T0005693083,3
T0005693084,2
T0005693085,2
T0005693086,2
T0005693087,2
T0005693089,3
T0005693095,2
T0005693096,3
T0005693097,2
T0005693098,3
T0005693099,3
T0005693101,2
T0005693102,2
T0005693104,2
T0005693105,2
T0005693106,3
T0005693108,2
T0005693110,3
T0005693111,2
T0005693112,1
T0005693114,2
T0005693117,1
T0005693128,3
T0005693129,2
T0005693130,2
T0005693138,3
T0005693144,3
T0005693146,1
T0005693150,3
T0005693151,2
T0005693153,3
T0005693157,2
T0005693160,3
T0005693161,3
T0005693162,2
T0005693165,2
T0005693171,3
T0005693179,2
T0005693182,3
T0005693184,2
T0005693186,2
T0005693189,2
T0005693190,2
T0005693191,3
T0005693192,2
T0005693195,3
T0005693196,1
T0005693197,3
T0005693206,3
T0005693208,2
T0005693211,2
T0005693212,2
T0005693213,2
T0005693214,1
T0005693215,3
T0005693217,2
T0005693218,3
T0005693221,3
T0005693222,1
T0005693224,2
T0005693225,2
T0005693229,3
T0005693232,2
T0005693237,2
T0005693239,1
T0005693241,1
T0005693242,2
T0005693245,3
T0005693248,3
T0005693250,3
T0005693251,3
T0005693252,2
T0005693257,2
T0005693259,1
T0005693262,2
T0005693263,1
T0005693264,3
T0005693266,3
T0005693273,3
T0005693275,2
T0005693278,2
T0005693283,2
T0005693286,3
T0005693288,2
T0005693295,2
T0005693297,3
T0005693298,1
T0005693300,2
T0005693304,2
T0005693305,3
T0005693306,2
T0005693307,2
T0005693309,2
T0005693311,2
T0005693316,2
T0005693319,3
T0005693320,2
T0005693323,2
T0005693324,3
T0005693327,2
T0005693328,3
T0005693335,3
T0005693336,1
T0005693340,1
T0005693342,3
T0005693343,3
T0005693346,2
T0005693350,1
T0005693351,2
T0005693353,2
T0005693354,2
T0005693356,3
T0005693358,3
T0005693360,2
T0005693361,1
T0005693363,1
T0005693369,3
T0005693370,2
T0005693375,1
T0005693377,2
T0005693379,1
T0005693382,3
T0005693394,2
T0005693396,2
T0005693401,2
T0005693403,2
T0005693404,2
T0005693407,1
T0005693410,3
T0005693411,2
T0005693412,3
T0005693418,2
T0005693419,2
T0005693420,3
T0005693422,2
T0005693425,2
T0005693428,2
T0005693429,2
T0005693437,1
T0005693444,2
T0005693448,2
T0005693453,2
T0005693456,2
T0005693461,2
T0005693467,3
T0005693468,3
T0005693469,2
T0005693470,3
T0005693477,2
T0005693484,3
T0005693486,3
T0005693488,3
T0005693489,2
T0005693490,3
T0005693492,2
T0005693493,2
T0005693496,2
T0005693498,3
T0005693499,2
T0005693500,2
T0005693501,3
T0005693508,2
T0005693509,3
T0005693510,3
T0005693517,3
T0005693518,1
T0005693519,2
T0005693522,2
T0005693523,2
T0005693524,3
T0005693531,1
T0005693535,3
T0005693539,2
T0005693541,3
T0005693545,2
T0005693546,2
T0005693548,2
T0005693550,2
T0005693553,2
T0005693555,3
T0005693559,1
T0005693560,3
T0005693561,1
T0005693562,3
T0005693567,2
T0005693569,1
T0005693570,2
T0005693578,2
T0005693580,2
T0005693581,2
T0005693582,2
T0005693586,2
T0005693587,3
T0005693594,1
T0005693597,2
T0005693599,2
T0005693606,3
T0005693609,2
T0005693612,2
T0005693614,2
T0005693615,1
T0005693617,2
T0005693618,3
T0005693619,2
T0005693620,2
T0005693624,3
T0005693634,3
T0005693635,1
T0005693643,1
T0005693646,1
T0005693649,2
T0005693652,3
T0005693653,2
T0005693654,3
T0005693655,2
T0005693656,2
T0005693657,2
T0005693658,2
T0005693661,2
T0005693662,3
T0005693664,2
T0005693671,3
T0005693675,2
T0005693676,2
T0005693679,3
T0005693680,1
T0005693683,3
T0005693687,1
T0005693692,1
T0005693695,3
T0005693699,2
T0005693707,3
T0005693710,2
T0005693712,2
T0005693715,3
T0005693716,2
T0005693728,2
T0005693732,2
T0005693733,3
T0005693736,3
T0005693740,3
T0005693742,3
T0005693743,2
T0005693744,2
T0005693746,1
T0005693747,1
T0005693748,2
T0005693749,2
T0005693753,2
T0005693756,3
T0005693758,3
T0005693760,2
T0005693761,1
T0005693763,2
T0005693766,3
T0005693768,2
T0005693769,2
T0005693771,3
T0005693773,2
T0005693776,1
T0005693778,2
T0005693781,1
T0005693784,1
T0005693786,2
T0005693788,3
T0005693791,3
T0005693792,3
T0005693793,3
T0005693797,1
T0005693799,2
T0005693803,2
T0005693807,2
T0005693808,2
T0005693809,1
T0005693811,2
T0005693814,3
T0005693816,3
T0005693818,3
T0005693819,3
T0005693821,2
T0005693824,2
T0005693825,2
T0005693828,2
T0005693830,2
T0005693834,2
T0005693837,3
T0005693838,2
T0005693841,2
T0005693842,2
T0005693847,2
T0005693849,1
T0005693850,1
T0005693851,3
T0005693854,3
T0005693859,1
T0005693862,2
T0005693870,1
T0005693871,3
T0005693875,3
T0005693877,2
T0005693880,1
T0005693885,3
T0005693890,3
T0005693892,2
T0005693893,2
T0005693897,3
T0005693900,3
T0005693903,2
T0005693906,3
T0005693907,2
T0005693908,3
T0005693909,2
T0005693911,3
T0005693913,2
T0005693916,3
T0005693921,3
T0005693922,1
T0005693929,2
T0005693931,2
T0005693932,2
T0005693935,2
T0005693941,1
T0005693944,3
T0005693947,2
T0005693948,2
T0005693954,3
T0005693956,2
T0005693959,1
T0005693960,2
T0005693964,3
T0005693968,2
T0005693970,2
T0005693972,3
T0005693978,2
T0005693981,2
T0005693983,3
T0005693989,2
T0005693999,3
T0005694007,2
T0005694008,1
T0005694009,2
T0005694011,1
T0005694012,3
T0005694015,1
