pet_id,breed_category,pet_category
ANSL_55182,1,2
ANSL_53755,0,2
ANSL_51623,0,2
ANSL_67444,0,1
ANSL_69973,0,2
ANSL_52649,0,2
ANSL_65970,0,2
ANSL_69518,0,2
ANSL_59131,0,2
ANSL_58618,1,2
ANSL_52756,0,2
ANSL_59135,0,1
ANSL_70171,1,2
ANSL_61558,1,1
ANSL_59581,0,2
ANSL_68202,0,1
ANSL_55480,1,2
ANSL_72645,0,1
ANSL_62436,0,2
ANSL_75581,0,2
ANSL_58554,0,2
ANSL_70382,1,2
ANSL_66176,0,2
ANSL_71618,0,2
ANSL_57077,1,2
ANSL_54788,1,1
ANSL_69258,0,2
ANSL_66030,0,2
ANSL_67523,0,2
ANSL_72046,0,2
ANSL_60226,0,1
ANSL_60813,0,2
ANSL_66040,0,1
ANSL_55215,1,2
ANSL_62053,1,1
ANSL_62667,0,2
ANSL_62915,0,2
ANSL_55640,0,1
ANSL_54395,2,4
ANSL_53205,0,2
ANSL_63242,0,1
ANSL_71610,0,2
ANSL_64265,1,1
ANSL_74436,1,1
ANSL_60854,1,2
ANSL_49993,0,2
ANSL_72430,0,1
ANSL_52511,1,2
ANSL_59310,0,2
ANSL_69279,0,2
ANSL_64176,0,2
ANSL_62043,1,1
ANSL_74234,0,1
ANSL_66658,2,4
ANSL_53432,0,1
ANSL_76844,1,2
ANSL_66630,1,2
ANSL_73342,1,2
ANSL_75826,1,1
ANSL_60450,0,2
ANSL_70043,0,2
ANSL_59452,1,2
ANSL_53014,1,2
ANSL_59502,0,2
ANSL_63897,1,2
ANSL_64347,1,1
ANSL_72218,0,2
ANSL_75351,0,2
ANSL_51048,0,1
ANSL_58915,1,2
ANSL_51549,1,2
ANSL_66068,1,2
ANSL_57572,0,2
ANSL_75687,1,1
ANSL_73303,0,2
ANSL_72977,2,1
ANSL_69458,0,2
ANSL_64420,1,2
ANSL_57264,1,2
ANSL_70175,0,2
ANSL_69010,0,1
ANSL_69549,0,2
ANSL_58083,0,1
ANSL_60084,1,1
ANSL_75192,0,1
ANSL_53478,0,2
ANSL_52943,1,2
ANSL_63494,0,2
ANSL_57141,1,2
ANSL_65815,0,1
ANSL_66286,1,2
ANSL_54199,0,2
ANSL_55513,0,2
ANSL_60463,0,2
ANSL_73856,2,1
ANSL_72730,0,2
ANSL_56559,1,1
ANSL_66056,1,2
ANSL_71707,0,1
ANSL_66779,0,2
ANSL_58717,1,2
ANSL_52006,0,2
ANSL_54217,0,1
ANSL_59404,1,1
ANSL_62674,2,1
ANSL_55553,0,1
ANSL_64037,0,1
ANSL_60638,0,2
ANSL_56226,1,2
ANSL_71139,0,2
ANSL_62542,0,1
ANSL_70599,2,4
ANSL_73130,1,2
ANSL_74150,1,2
ANSL_61222,0,2
ANSL_65540,0,2
ANSL_72911,1,1
ANSL_51983,0,1
ANSL_60693,0,2
ANSL_57773,1,1
ANSL_64590,0,1
ANSL_66705,0,2
ANSL_64619,2,1
ANSL_60655,1,2
ANSL_65341,1,1
ANSL_73858,0,2
ANSL_61254,0,1
ANSL_61816,0,1
ANSL_74279,0,2
ANSL_73645,0,2
ANSL_74404,0,1
ANSL_51821,0,1
ANSL_73839,0,2
ANSL_62744,0,2
ANSL_53150,1,1
ANSL_67248,0,2
ANSL_64345,1,2
ANSL_70814,2,4
ANSL_55223,0,2
ANSL_53968,1,2
ANSL_65444,1,1
ANSL_75815,1,2
ANSL_73222,0,1
ANSL_66476,1,2
ANSL_61411,0,2
ANSL_62977,0,1
ANSL_64873,1,2
ANSL_66386,0,1
ANSL_64957,1,2
ANSL_71628,0,2
ANSL_65295,0,2
ANSL_57742,1,1
ANSL_66764,1,1
ANSL_69715,1,2
ANSL_52878,0,1
ANSL_71390,0,1
ANSL_62060,0,1
ANSL_69256,2,4
ANSL_68358,0,2
ANSL_72015,0,2
ANSL_75874,0,1
ANSL_63987,0,2
ANSL_65260,0,2
ANSL_69259,2,4
ANSL_67151,2,1
ANSL_72942,1,2
ANSL_75546,0,1
ANSL_60709,1,2
ANSL_52422,0,1
ANSL_54869,0,2
ANSL_69429,2,1
ANSL_67742,1,2
ANSL_63137,1,2
ANSL_52388,0,2
ANSL_52183,0,2
ANSL_62481,1,2
ANSL_59943,1,2
ANSL_65900,1,2
ANSL_50160,0,1
ANSL_70324,1,1
ANSL_54179,1,2
ANSL_60562,1,1
ANSL_67948,2,1
ANSL_57775,1,1
ANSL_50584,0,2
ANSL_67976,0,2
ANSL_56315,0,2
ANSL_51525,2,1
ANSL_58732,1,2
ANSL_65420,0,2
ANSL_55455,0,1
ANSL_56320,1,2
ANSL_65189,0,2
ANSL_62599,1,1
ANSL_53475,0,1
ANSL_66018,0,2
ANSL_66632,0,2
ANSL_55103,0,2
ANSL_60863,0,2
ANSL_54697,0,1
ANSL_74105,0,1
ANSL_68431,0,2
ANSL_51061,0,1
ANSL_59097,0,2
ANSL_76111,0,2
ANSL_64072,0,2
ANSL_50908,1,2
ANSL_53607,1,2
ANSL_56787,1,1
ANSL_55240,0,1
ANSL_66806,0,1
ANSL_50711,0,2
ANSL_63792,0,1
ANSL_53537,1,1
ANSL_66546,0,2
ANSL_63317,0,1
ANSL_51224,1,2
ANSL_76769,1,2
ANSL_55114,1,1
ANSL_52693,1,1
ANSL_69059,0,1
ANSL_57884,0,1
ANSL_66167,1,2
ANSL_66986,0,2
ANSL_65619,0,2
ANSL_73190,1,1
ANSL_54917,0,1
ANSL_59969,0,2
ANSL_58231,2,4
ANSL_59665,0,2
ANSL_63146,0,1
ANSL_66468,2,4
ANSL_65242,1,1
ANSL_65587,1,1
ANSL_64560,1,2
ANSL_74037,0,2
ANSL_52310,0,2
ANSL_59233,1,2
ANSL_57134,0,1
ANSL_63067,1,1
ANSL_61708,0,2
ANSL_59407,1,1
ANSL_52821,1,2
ANSL_70754,1,1
ANSL_56334,2,4
ANSL_52257,2,1
ANSL_50516,0,2
ANSL_67575,2,4
ANSL_67758,1,2
ANSL_63928,1,2
ANSL_56025,1,2
ANSL_64262,0,2
ANSL_52534,0,2
ANSL_53713,0,2
ANSL_64395,1,2
ANSL_52153,0,1
ANSL_69361,0,1
ANSL_67085,0,2
ANSL_73411,0,2
ANSL_70456,0,2
ANSL_66637,1,2
ANSL_55572,1,2
ANSL_75084,0,1
ANSL_64266,1,2
ANSL_53371,0,2
ANSL_54741,0,1
ANSL_65006,1,2
ANSL_71131,1,2
ANSL_66281,2,4
ANSL_56209,1,1
ANSL_51959,1,1
ANSL_53998,2,4
ANSL_68843,2,4
ANSL_65476,0,2
ANSL_53260,1,1
ANSL_51628,1,1
ANSL_65369,0,2
ANSL_57931,0,2
ANSL_55558,0,2
ANSL_75442,0,2
ANSL_62318,0,1
ANSL_76497,0,2
ANSL_65278,1,1
ANSL_62655,1,2
ANSL_56377,0,2
ANSL_72165,1,1
ANSL_51529,0,2
ANSL_64063,0,2
ANSL_61772,0,2
ANSL_55378,0,1
ANSL_71858,1,2
ANSL_68105,2,1
ANSL_70784,1,2
ANSL_65092,0,2
ANSL_73247,2,4
ANSL_74921,1,1
ANSL_73930,0,2
ANSL_71659,0,2
ANSL_53051,0,2
ANSL_62232,1,2
ANSL_58692,0,1
ANSL_68772,2,4
ANSL_63911,0,2
ANSL_54027,2,4
ANSL_53141,0,2
ANSL_51939,2,1
ANSL_67576,0,1
ANSL_61875,0,1
ANSL_74071,2,4
ANSL_72835,0,2
ANSL_50775,2,1
ANSL_75241,0,2
ANSL_62966,0,1
ANSL_65830,0,1
ANSL_54091,1,1
ANSL_58842,0,1
ANSL_59570,0,1
ANSL_71967,1,1
ANSL_61610,1,1
ANSL_64148,1,2
ANSL_76386,0,1
ANSL_56380,1,2
ANSL_53024,0,2
ANSL_76028,0,2
ANSL_72122,0,2
ANSL_51022,1,2
ANSL_53329,2,1
ANSL_53766,0,2
ANSL_68302,1,1
ANSL_52530,0,2
ANSL_64211,1,2
ANSL_72666,1,2
ANSL_71076,0,1
ANSL_64603,0,2
ANSL_72625,0,2
ANSL_73406,1,2
ANSL_60989,1,2
ANSL_63867,1,1
ANSL_73248,0,2
ANSL_73452,0,2
ANSL_56243,0,2
ANSL_70366,0,2
ANSL_58079,0,2
ANSL_71313,0,1
ANSL_53077,0,0
ANSL_57823,2,1
ANSL_71946,0,2
ANSL_56371,1,1
ANSL_71478,1,2
ANSL_53775,0,2
ANSL_66288,1,1
ANSL_50474,1,2
ANSL_51804,1,1
ANSL_53625,1,2
ANSL_67985,0,1
ANSL_76649,0,2
ANSL_69608,2,4
ANSL_72279,0,2
ANSL_52387,1,2
ANSL_60779,0,1
ANSL_68086,0,2
ANSL_66613,0,2
ANSL_64813,0,2
ANSL_70319,2,4
ANSL_61010,0,2
ANSL_68385,0,1
ANSL_56493,0,2
ANSL_74158,0,2
ANSL_54047,1,2
ANSL_62662,1,1
ANSL_49973,0,2
ANSL_65705,0,2
ANSL_72454,1,2
ANSL_63162,1,1
ANSL_62204,1,2
ANSL_70643,0,1
ANSL_60912,2,4
ANSL_51232,0,1
ANSL_51361,1,1
ANSL_62815,1,2
ANSL_62633,1,2
ANSL_54654,0,2
ANSL_75020,1,1
ANSL_58825,0,2
ANSL_55022,1,1
ANSL_67621,1,2
ANSL_74343,0,2
ANSL_60678,1,2
ANSL_58180,1,2
ANSL_57165,1,1
ANSL_69072,0,1
ANSL_61622,1,2
ANSL_76313,1,2
ANSL_55003,0,1
ANSL_63869,0,1
ANSL_57455,0,2
ANSL_72964,0,2
ANSL_57726,0,1
ANSL_73771,1,2
ANSL_58205,0,1
ANSL_67143,0,2
ANSL_76694,1,2
ANSL_53988,0,2
ANSL_74775,0,1
ANSL_53309,1,2
ANSL_52249,1,1
ANSL_62129,0,2
ANSL_65461,1,2
ANSL_55991,1,1
ANSL_69655,0,1
ANSL_58799,0,1
ANSL_61246,0,1
ANSL_58641,1,2
ANSL_74275,0,2
ANSL_54415,0,2
ANSL_52663,0,1
ANSL_58888,1,2
ANSL_74643,0,1
ANSL_70745,1,1
ANSL_53449,1,2
ANSL_55430,0,2
ANSL_72744,2,4
ANSL_74239,0,2
ANSL_74366,0,2
ANSL_74539,0,2
ANSL_50779,1,2
ANSL_60777,1,2
ANSL_60751,0,2
ANSL_73654,1,1
ANSL_74503,1,2
ANSL_76147,0,2
ANSL_50044,0,1
ANSL_54506,1,2
ANSL_52896,1,1
ANSL_55435,2,1
ANSL_60761,0,2
ANSL_50372,0,2
ANSL_52636,0,2
ANSL_53995,1,2
ANSL_60014,1,2
ANSL_62942,0,1
ANSL_60602,1,1
ANSL_72481,0,1
ANSL_74298,0,2
ANSL_56135,1,2
ANSL_71337,0,2
ANSL_57582,0,1
ANSL_56507,1,2
ANSL_62934,1,2
ANSL_53018,0,1
ANSL_67655,0,2
ANSL_69694,2,1
ANSL_74015,2,4
ANSL_68685,0,2
ANSL_51046,1,2
ANSL_63829,0,2
ANSL_73435,0,2
ANSL_55790,0,1
ANSL_50515,0,1
ANSL_53460,0,1
ANSL_72220,1,1
ANSL_60936,0,2
ANSL_64356,0,2
ANSL_54319,1,2
ANSL_59365,0,2
ANSL_57598,0,1
ANSL_54278,0,2
ANSL_71980,0,2
ANSL_63634,0,2
ANSL_51706,1,2
ANSL_56058,1,2
ANSL_51617,2,4
ANSL_61966,0,2
ANSL_75820,1,2
ANSL_75583,1,1
ANSL_57125,0,2
ANSL_58233,0,1
ANSL_58199,1,1
ANSL_54661,0,2
ANSL_52416,1,2
ANSL_57214,1,1
ANSL_53331,0,2
ANSL_63296,2,1
ANSL_64296,0,1
ANSL_57880,0,2
ANSL_67241,1,2
ANSL_72442,0,2
ANSL_61758,0,1
ANSL_60160,1,2
ANSL_59329,1,1
ANSL_52822,0,1
ANSL_72131,1,1
ANSL_58451,2,4
ANSL_66216,0,2
ANSL_63152,0,2
ANSL_56222,0,2
ANSL_55602,1,1
ANSL_55576,0,2
ANSL_53087,1,2
ANSL_51743,0,1
ANSL_51096,2,4
ANSL_57883,0,2
ANSL_71171,0,1
ANSL_53466,0,1
ANSL_52120,0,2
ANSL_57996,0,1
ANSL_56845,0,2
ANSL_68718,0,2
ANSL_75726,1,2
ANSL_54921,0,1
ANSL_59632,0,2
ANSL_56812,0,1
ANSL_61902,1,1
ANSL_53521,1,1
ANSL_62868,0,2
ANSL_58556,0,2
ANSL_61892,1,2
ANSL_73838,2,1
ANSL_59630,0,2
ANSL_76444,2,4
ANSL_75955,1,1
ANSL_69753,0,2
ANSL_53302,0,2
ANSL_53415,1,2
ANSL_54604,0,1
ANSL_75390,0,2
ANSL_64797,0,1
ANSL_54483,1,2
ANSL_63227,1,2
ANSL_75493,0,2
ANSL_50897,1,2
ANSL_66277,0,1
ANSL_60552,1,2
ANSL_63746,2,1
ANSL_65777,0,1
ANSL_56556,1,2
